pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
2oqb,2OQB,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/2OQB.cif,verified,WAR/PRMT4/2oqb.cif,WAR/PRMT4/2oqb.cif,true,239283,,2026-06-05T08:10:29Z
3b3g,3B3G,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/3B3G.cif,verified,WAR/PRMT4/3b3g.cif,WAR/PRMT4/3b3g.cif,true,556691,,2026-06-05T08:10:29Z
3b3j,3B3J,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/3B3J.cif,verified,WAR/PRMT4/3b3j.cif,WAR/PRMT4/3b3j.cif,true,331701,,2026-06-05T08:10:29Z
5dwq,5DWQ,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5DWQ.cif,verified,WAR/PRMT4/5dwq.cif,WAR/PRMT4/5dwq.cif,true,1243041,,2026-06-05T08:10:29Z
5dxa,5DXA,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5DXA.cif,verified,WAR/PRMT4/5dxa.cif,WAR/PRMT4/5dxa.cif,true,1294568,,2026-06-05T08:10:29Z
5dxj,5DXJ,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5DXJ.cif,verified,WAR/PRMT4/5dxj.cif,WAR/PRMT4/5dxj.cif,true,1325507,,2026-06-05T08:10:29Z
5dx1,5DX1,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5DX1.cif,verified,WAR/PRMT4/5dx1.cif,WAR/PRMT4/5dx1.cif,true,1304026,,2026-06-05T08:10:29Z
5dx0,5DX0,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5DX0.cif,verified,WAR/PRMT4/5dx0.cif,WAR/PRMT4/5dx0.cif,true,1272325,,2026-06-05T08:10:29Z
3b3f,3B3F,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/3B3F.cif,verified,WAR/PRMT4/3b3f.cif,WAR/PRMT4/3b3f.cif,true,1224635,,2026-06-05T08:10:29Z
5dx8,5DX8,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5DX8.cif,verified,WAR/PRMT4/5dx8.cif,WAR/PRMT4/5dx8.cif,true,1269645,,2026-06-05T08:10:29Z
4ikp,4IKP,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/4IKP.cif,verified,WAR/PRMT4/4ikp.cif,WAR/PRMT4/4ikp.cif,true,1269537,,2026-06-05T08:10:29Z
5ih3,5IH3,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5IH3.cif,verified,WAR/PRMT4/5ih3.cif,WAR/PRMT4/5ih3.cif,true,3399799,,2026-06-05T08:10:29Z
5is8,5IS8,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5IS8.cif,verified,WAR/PRMT4/5is8.cif,WAR/PRMT4/5is8.cif,true,3216597,,2026-06-05T08:10:29Z
5is7,5IS7,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5IS7.cif,verified,WAR/PRMT4/5is7.cif,WAR/PRMT4/5is7.cif,true,3199962,,2026-06-05T08:10:29Z
5is6,5IS6,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5IS6.cif,verified,WAR/PRMT4/5is6.cif,WAR/PRMT4/5is6.cif,true,3409005,,2026-06-05T08:10:29Z
5isb,5ISB,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5ISB.cif,verified,WAR/PRMT4/5isb.cif,WAR/PRMT4/5isb.cif,true,3381728,,2026-06-05T08:10:29Z
5isa,5ISA,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5ISA.cif,verified,WAR/PRMT4/5isa.cif,WAR/PRMT4/5isa.cif,true,3217673,,2026-06-05T08:10:29Z
5is9,5IS9,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/5IS9.cif,verified,WAR/PRMT4/5is9.cif,WAR/PRMT4/5is9.cif,true,3255445,,2026-06-05T08:10:29Z
