Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
4IK,PRMT4,4ikp,A,501,4ikp_A_4IK_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=28 vs 3D=33
4R7,PRMT4,7pu8,A,501,7pu8_A_4R7_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=47 vs 3D=82; GRAPH_FULL skipped: size>80
4R7,PRMT4,7pu8,B,501,7pu8_B_4R7_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=47 vs 3D=82; GRAPH_FULL skipped: size>80
4R7,PRMT4,7pu8,C,501,7pu8_C_4R7_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=47 vs 3D=82; GRAPH_FULL skipped: size>80
4R7,PRMT4,7pu8,D,501,7pu8_D_4R7_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=47 vs 3D=82; GRAPH_FULL skipped: size>80
5N5,PRMT4,5isi,A,501,5isi_A_5N5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=19 vs 3D=33
5N5,PRMT4,5isi,B,501,5isi_B_5N5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=19 vs 3D=33
5N5,PRMT4,5isi,C,501,5isi_C_5N5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=19 vs 3D=33
5N5,PRMT4,5isi,D,501,5isi_D_5N5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=19 vs 3D=33
6CX,PRMT4,5isb,A,501,5isb_A_6CX_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=56
6CX,PRMT4,5isb,B,501,5isb_B_6CX_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=56
6CX,PRMT4,5isb,C,501,5isb_C_6CX_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=56
6CX,PRMT4,5isb,D,501,5isb_D_6CX_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=56
6CZ,PRMT4,5isd,B,504,5isd_B_6CZ_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=60
6D0,PRMT4,5isc,B,501,5isc_B_6D0_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=54
6D0,PRMT4,5isc,D,501,5isc_D_6D0_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=54
6D1,PRMT4,5is8,A,601,5is8_A_6D1_601,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=52
6D1,PRMT4,5is8,B,601,5is8_B_6D1_601,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=52
6D1,PRMT4,5is8,C,601,5is8_C_6D1_601,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=52
6D2,PRMT4,5ise,A,501,5ise_A_6D2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=61
6D2,PRMT4,5ise,B,501,5ise_B_6D2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=61
6D2,PRMT4,5ise,C,501,5ise_C_6D2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=61
6D2,PRMT4,5ise,D,501,5ise_D_6D2_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=61
6D3,PRMT4,5is9,A,501,5is9_A_6D3_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=71
6D3,PRMT4,5is9,B,501,5is9_B_6D3_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=71
6D3,PRMT4,5is9,C,501,5is9_C_6D3_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=71
6D3,PRMT4,5is9,D,501,5is9_D_6D3_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=71
6D4,PRMT4,5isf,A,501,5isf_A_6D4_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=55
6D4,PRMT4,5isf,B,501,5isf_B_6D4_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=55
6D4,PRMT4,5isf,D,501,5isf_D_6D4_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=55
6D5,PRMT4,5isa,A,501,5isa_A_6D5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=57
6D5,PRMT4,5isa,B,501,5isa_B_6D5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=57
6D5,PRMT4,5isa,C,501,5isa_C_6D5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=57
6D5,PRMT4,5isa,D,501,5isa_D_6D5_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=57
6D6,PRMT4,5isg,B,506,5isg_B_6D6_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=57
6D6,PRMT4,5isg,D,506,5isg_D_6D6_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=57
6D6,PRMT4,5isg,C,507,5isg_C_6D6_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=57
6D6,PRMT4,5isg,A,509,5isg_A_6D6_509,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=57
6L7,PRMT4,5ntc,D,504,5ntc_D_6L7_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=57
6L7,PRMT4,5ntc,C,506,5ntc_C_6L7_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=57
6L7,PRMT4,5ntc,B,507,5ntc_B_6L7_507,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=57
6L7,PRMT4,5ntc,A,508,5ntc_A_6L7_508,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=57
6RE,PRMT4,5k8v,A,501,5k8v_A_6RE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=42
6RE,PRMT4,5k8v,B,501,5k8v_B_6RE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=42
6RE,PRMT4,5k8v,C,501,5k8v_C_6RE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=42
6RE,PRMT4,5k8v,D,501,5k8v_D_6RE_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=42
6YB,PRMT4,5lkj,A,501,5lkj_A_6YB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=59
6YB,PRMT4,5lkj,B,501,5lkj_B_6YB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=59
6YB,PRMT4,5lkj,C,501,5lkj_C_6YB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=59
6YB,PRMT4,5lkj,D,501,5lkj_D_6YB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=59
6ZH,PRMT4,5k8x,A,501,5k8x_A_6ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=43
6ZH,PRMT4,5k8x,B,501,5k8x_B_6ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=43
6ZH,PRMT4,5k8x,C,501,5k8x_C_6ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=43
6ZH,PRMT4,5k8x,D,501,5k8x_D_6ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=43
765,PRMT4,5ish,A,501,5ish_A_765_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=28 vs 3D=51
765,PRMT4,5ish,B,501,5ish_B_765_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=28 vs 3D=51
765,PRMT4,5ish,C,501,5ish_C_765_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=28 vs 3D=51
765,PRMT4,5ish,D,501,5ish_D_765_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=28 vs 3D=51
78K,PRMT4,5tbh,D,504,5tbh_D_78K_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
78K,PRMT4,5tbh,B,506,5tbh_B_78K_506,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
78V,PRMT4,5tbi,B,504,5tbi_B_78V_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=57
78V,PRMT4,5tbi,D,504,5tbi_D_78V_504,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=57
7ZH,PRMT4,7ppy,A,501,7ppy_A_7ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=79
7ZH,PRMT4,7ppy,B,501,7ppy_B_7ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=79
7ZH,PRMT4,7ppy,C,501,7ppy_C_7ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=79
7ZH,PRMT4,7ppy,D,501,7ppy_D_7ZH_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=46 vs 3D=79
85U,PRMT4,7puc,A,501,7puc_A_85U_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=83; GRAPH_FULL skipped: size>80
85U,PRMT4,7puc,B,501,7puc_B_85U_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=83; GRAPH_FULL skipped: size>80
85U,PRMT4,7puc,C,501,7puc_C_85U_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=83; GRAPH_FULL skipped: size>80
85U,PRMT4,7puc,D,501,7puc_D_85U_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=83; GRAPH_FULL skipped: size>80
867,PRMT4,7puq,A,501,7puq_A_867_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=85; GRAPH_FULL skipped: size>80
867,PRMT4,7puq,B,501,7puq_B_867_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=85; GRAPH_FULL skipped: size>80
867,PRMT4,7puq,C,501,7puq_C_867_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=85; GRAPH_FULL skipped: size>80
867,PRMT4,7puq,D,501,7puq_D_867_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=85; GRAPH_FULL skipped: size>80
8ZB,PRMT4,5lgq,E,101,5lgq_E_8ZB_101,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=20 vs 3D=36
8ZB,PRMT4,5lgq,F,101,5lgq_F_8ZB_101,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=20 vs 3D=36
8ZB,PRMT4,5lgq,G,101,5lgq_G_8ZB_101,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=20 vs 3D=36
8ZB,PRMT4,5lgq,H,101,5lgq_H_8ZB_101,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=20 vs 3D=36
BW4,PRMT4,6arj,A,502,6arj_A_BW4_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=82; GRAPH_FULL skipped: size>80
BW4,PRMT4,6arj,B,502,6arj_B_BW4_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=80
