Warhead,SMILES
44T,['CCc1ccncc1CNCCCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3ccc4c3ncnc4N)O)O']
4IK,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)CN)O)O)N']
4R7,['[H]/N=C(\\NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O']
5N5,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN)O)O)N']
6CX,['c1c(nc[nH]1)CN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
6CZ,['CCOC(=O)C(=O)CN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
6D0,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CC[C@@H](C(=O)O)N)CC(=O)CBr)O)O)N']
6D1,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CC[C@@H](C(=O)O)N)CCCl)O)O)N']
6D2,['[H]/N=C(/N)\\NCCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
6D3,['c1c(nnn1CCCN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)C[C@@H](C(=O)O)N']
6D4,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CC[C@@H](C(=O)O)N)CCNNN)O)O)N']
6D5,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CCCN=[N+]=[N-])CC[C@@H](C(=O)O)N)O)O)N']
6D6,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CCCN)CC[C@@H](C(=O)O)N)O)O)N']
6L7,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[NH+](CC[C@@H](C(=O)O)[NH3+])CC[NH3+])O)O)N']
6RE,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCNC(=[NH2+])N)O)O)N']
6YB,['[H]/N=C(\\N)/NCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
6ZH,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)/C=C/CNC(=[NH2+])N)O)O)N']
765,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[N+]4(CC4)CC[C@@H](C(=O)O)N)O)O)N']
78K,['COCN1C=C(C(=NC1=O)N)CN(CC[C@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
78V,['COCN1C=CC(=NC1=O)NCCNC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
7VM,['CNCCN1CCC(CC1)c2cc(ccn2)CN(C)C(=O)c3cccc(c3)Oc4ccccc4']
7ZH,['[H]/N=C(/NCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)\\NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O']
