Target,pdb_id,Chain,Warhead,Residue_ID,SMILES,sdf_available,sdf_path,svg_plain_available,svg_exposed_available,svg_available,svg_plain_path,svg_exposed_path,artifact_status
Mpro,11ro,A,A01,401,,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/11ro_A_A01_401.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/11ro_A_A01_401_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/11ro_A_A01_401_exposed.svg,ok
Mpro,12af,A,A00,402,,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/12af_A_A00_402.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/12af_A_A00_402_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/12af_A_A00_402_exposed.svg,ok
Mpro,23lw,A,7ON,401,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23lw_A_7ON_401.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lw_A_7ON_401_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lw_A_7ON_401_exposed.svg,ok
Mpro,23lw,B,7ON,401,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23lw_B_7ON_401.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lw_B_7ON_401_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lw_B_7ON_401_exposed.svg,ok
Mpro,23lx,A,7ON,401,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23lx_A_7ON_401.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lx_A_7ON_401_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lx_A_7ON_401_exposed.svg,ok
Mpro,23ly,A,7ON,401,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23ly_A_7ON_401.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23ly_A_7ON_401_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23ly_A_7ON_401_exposed.svg,ok
Mpro,23ly,B,7ON,401,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23ly_B_7ON_401.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23ly_B_7ON_401_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23ly_B_7ON_401_exposed.svg,ok
Mpro,23lz,A,7ON,402,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23lz_A_7ON_402.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lz_A_7ON_402_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lz_A_7ON_402_exposed.svg,ok
Mpro,23lz,B,7ON,402,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23lz_B_7ON_402.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lz_B_7ON_402_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lz_B_7ON_402_exposed.svg,ok
Mpro,23lz,C,7ON,403,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SDF/23lz_C_7ON_403.sdf,True,True,True,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lz_C_7ON_403_plain.svg,/app/jobs/5a21a564/TARGET_RESULTS/MCS_Output/MCS_SVG/23lz_C_7ON_403_exposed.svg,ok
