pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
12af,12AF,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/12AF.cif,verified,WAR/Mpro/12af.cif,WAR/Mpro/12af.cif,true,380798,,2026-06-09T15:21:23Z
23lw,23LW,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23LW.cif,verified,WAR/Mpro/23lw.cif,WAR/Mpro/23lw.cif,true,598992,,2026-06-09T15:21:23Z
23ma,23MA,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MA.cif,verified,WAR/Mpro/23ma.cif,WAR/Mpro/23ma.cif,true,603518,,2026-06-09T15:21:23Z
23ly,23LY,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23LY.cif,verified,WAR/Mpro/23ly.cif,WAR/Mpro/23ly.cif,true,1202775,,2026-06-09T15:21:23Z
11ro,11RO,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/11RO.cif,verified,WAR/Mpro/11ro.cif,WAR/Mpro/11ro.cif,true,1137205,,2026-06-09T15:21:23Z
23mc,23MC,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MC.cif,verified,WAR/Mpro/23mc.cif,WAR/Mpro/23mc.cif,true,594280,,2026-06-09T15:21:23Z
23me,23ME,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23ME.cif,verified,WAR/Mpro/23me.cif,WAR/Mpro/23me.cif,true,616919,,2026-06-09T15:21:23Z
23mb,23MB,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MB.cif,verified,WAR/Mpro/23mb.cif,WAR/Mpro/23mb.cif,true,590717,,2026-06-09T15:21:23Z
23md,23MD,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MD.cif,verified,WAR/Mpro/23md.cif,WAR/Mpro/23md.cif,true,649447,,2026-06-09T15:21:23Z
23lx,23LX,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23LX.cif,verified,WAR/Mpro/23lx.cif,WAR/Mpro/23lx.cif,true,632910,,2026-06-09T15:21:23Z
23mf,23MF,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MF.cif,verified,WAR/Mpro/23mf.cif,WAR/Mpro/23mf.cif,true,624642,,2026-06-09T15:21:23Z
23lz,23LZ,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23LZ.cif,verified,WAR/Mpro/23lz.cif,WAR/Mpro/23lz.cif,true,2217442,,2026-06-09T15:21:23Z
23mg,23MG,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MG.cif,verified,WAR/Mpro/23mg.cif,WAR/Mpro/23mg.cif,true,618594,,2026-06-09T15:21:23Z
23mj,23MJ,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MJ.cif,verified,WAR/Mpro/23mj.cif,WAR/Mpro/23mj.cif,true,622657,,2026-06-09T15:21:23Z
23mh,23MH,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MH.cif,verified,WAR/Mpro/23mh.cif,WAR/Mpro/23mh.cif,true,600222,,2026-06-09T15:21:23Z
7aeh,7AEH,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/7AEH.cif,verified,WAR/Mpro/7aeh.cif,WAR/Mpro/7aeh.cif,true,605782,,2026-06-09T15:21:23Z
23mk,23MK,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MK.cif,verified,WAR/Mpro/23mk.cif,WAR/Mpro/23mk.cif,true,339502,,2026-06-09T15:21:23Z
6z2e,6Z2E,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/6Z2E.cif,verified,WAR/Mpro/6z2e.cif,WAR/Mpro/6z2e.cif,true,359221,,2026-06-09T15:21:23Z
23mi,23MI,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23MI.cif,verified,WAR/Mpro/23mi.cif,WAR/Mpro/23mi.cif,true,657702,,2026-06-09T15:21:23Z
23ml,23ML,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/23ML.cif,verified,WAR/Mpro/23ml.cif,WAR/Mpro/23ml.cif,true,589242,,2026-06-09T15:21:23Z
7aeg,7AEG,Mpro,rcsb,Mpro 6LU7 6Y2E 7BQY 7K3T,https://files.rcsb.org/download/7AEG.cif,verified,WAR/Mpro/7aeg.cif,WAR/Mpro/7aeg.cif,true,349117,,2026-06-09T15:21:23Z
