Ligand,Name,Formula,Type,SMILES,Parent_SMILES,Salt_Stripped,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
Q5T,"(4~{S})-4-[[(2~{S})-2-[[(2~{S})-2-[[(2~{S})-2-[3-[2-[2-[2-[2-[5-[(3~{a}~{S},4~{R},6~{a}~{R})-2-oxidanylidene-3,3~{a},4,6~{a}-tetrahydro-1~{H}-thieno[3,4-d]imidazol-4-yl]pentanoylamino]ethoxy]ethoxy]ethoxy]ethoxy]propanoylamino]butanoyl]amino]-3,3-dimethyl-butanoyl]amino]-4-methyl-pentanoyl]amino]-6-methylsulfonyl-hexanamide",C44 H80 N8 O13 S2,non-polymer,CC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)CCS(=O)(=O)C)C(C)(C)C)NC(=O)CCOCCOCCOCCOCCNC(=O)CCCC[C@@H]1[C@@H]2[C@H](C=S1)NC(=O)N2,CC[C@H](NC(=O)CCOCCOCCOCCOCCNC(=O)CCCC[C@H]1[SH]=C[C@@H]2NC(=O)N[C@@H]21)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)CCS(C)(=O)=O)C(C)(C)C,False,CC[C@H](NC(=O)CCOCCOCCOCCOCCNC(=O)CCCC[C@H]1[SH]=C[C@@H]2NC(=O)N[C@@H]21)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)CCS(C)(=O)=O)C(C)(C)C,"InChI=1S/C44H79N8O13S2/c1-8-31(40(56)52-39(44(4,5)6)42(58)49-32(27-29(2)3)41(57)47-30(13-14-35(45)53)16-26-67(7,60)61)48-37(55)15-18-62-20-22-64-24-25-65-23-21-63-19-17-46-36(54)12-10-9-11-34-38-33(28-66-34)50-43(59)51-38/h28-34,38-39H,8-27H2,1-7H3,(H2,45,53)(H,46,54)(H,47,57)(H,48,55)(H,49,58)(H,52,56)(H2,50,51,59)/t30-,31-,32-,33-,34+,38-,39+/m0/s1",BLJUOVGCOXGETA-ZFKAINLFSA-N,993.3009999999995,-0.038999999999998425,300.7799999999999,13,9,36,2,0,0.8181818181818182,67,0,0,0.022666005006582172,1730.4560615139221,-3.9000000000000004,59.22383147431983,31.272868433512617,25.87862409591572,0,0,2,0,1,23,257.1320999999992,nan,False,False,False,False,False,thio_aldehyd_A(3),Aliphatic_long_chain; Thiocarbonyl_group; thiol_2
R8H,"(2~{R})-5-oxidanylidene-~{N}-[(2~{R},3~{S})-3-oxidanyl-4-oxidanylidene-1-phenyl-4-(pyridin-2-ylmethylamino)butan-2-yl]-1-(phenylmethyl)pyrrolidine-2-carboxamide",C28 H30 N4 O4,non-polymer,c1ccc(cc1)C[C@H]([C@@H](C(=O)NCc2ccccn2)O)NC(=O)[C@H]3CCC(=O)N3Cc4ccccc4,O=C(NCc1ccccn1)[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@H]1CCC(=O)N1Cc1ccccc1,False,O=C(NCc1ccccn1)[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@H]1CCC(=O)N1Cc1ccccc1,"InChI=1S/C28H30N4O4/c33-25-15-14-24(32(25)19-21-11-5-2-6-12-21)27(35)31-23(17-20-9-3-1-4-10-20)26(34)28(36)30-18-22-13-7-8-16-29-22/h1-13,16,23-24,26,34H,14-15,17-19H2,(H,30,36)(H,31,35)/t23-,24-,26+/m1/s1",LGWQYJCCERJRJX-MZKUHISZSA-N,486.57200000000023,1.9773999999999996,111.62999999999998,5,3,10,4,3,0.2857142857142857,36,0,0,0.405831678187828,1157.9416747671403,-4.04,25.064891369803476,12.081649191952428,6.5450972805296,0,0,1,3,1,8,134.18119999999996,nan,True,True,True,False,True,None,None
7ON,Leritrelvir bound form,C31 H46 F3 N5 O6,non-polymer,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,"InChI=1S/C31H46F3N5O6/c32-31(33,34)30(45)38-23(17-7-2-1-3-8-17)29(44)39-16-19-9-6-12-21(19)24(39)27(42)37-22(15-18-13-14-35-26(18)41)25(40)28(43)36-20-10-4-5-11-20/h17-25,40H,1-16H2,(H,35,41)(H,36,43)(H,37,42)(H,38,45)/t18-,19-,21-,22-,23-,24-,25+/m0/s1",FMXUVDFVVNRAMG-IFCRGVKQSA-N,641.7320000000004,1.6716000000000035,156.94,6,5,10,5,0,0.8387096774193549,45,0,0,0.24443666781773296,1125.4867635363487,-2.9,33.46292413455612,14.250704781126489,7.740085439658243,0,0,5,0,5,14,154.96259999999987,nan,True,False,False,False,False,None,None
ALD,N-[(benzyloxy)carbonyl]-L-leucyl-N-[(2S)-1-hydroxy-4-methylpentan-2-yl]-L-leucinamide,C26 H43 N3 O5,non-polymer,CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,False,CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,"InChI=1S/C26H43N3O5/c1-17(2)12-21(15-30)27-24(31)22(13-18(3)4)28-25(32)23(14-19(5)6)29-26(33)34-16-20-10-8-7-9-11-20/h7-11,17-19,21-23,30H,12-16H2,1-6H3,(H,27,31)(H,28,32)(H,29,33)/t21-,22-,23-/m0/s1",WUJQMWDTZKIKQZ-VABKMULXSA-N,477.64600000000024,3.3816000000000006,116.76,5,4,14,1,1,0.6538461538461539,34,0,0,0.3277387707666165,752.0627985054899,-2.6099999999999994,29.421857279388338,15.322831274365823,12.021539314867741,0,0,0,1,0,8,132.8629,nan,True,False,True,True,True,None,None
9JT,N-phenyl-2-selanylbenzamide,C13 H11 N O Se,non-polymer,c1ccc(cc1)NC(=O)c2ccccc2[SeH],O=C(Nc1ccccc1)c1ccccc1[SeH],False,O=C(Nc1ccccc1)c1ccccc1[SeH],"InChI=1S/C13H11NOSe/c15-13(11-8-4-5-9-12(11)16)14-10-6-2-1-3-7-10/h1-9,16H,(H,14,15)",PVPUYGNPKBMXGO-UHFFFAOYSA-N,276.19699999999995,1.4649999999999994,29.1,1,1,2,2,2,0.0,16,0,0,0.82677698447013,496.2955976569277,-1.57051948051948,10.931166626558888,4.971077369611542,2.5109090659971627,0,0,0,2,0,3,67.62020000000001,nan,True,True,True,False,True,None,heavy_metal
KJI,N-(4-methylpyridin-3-yl)-N~2~-(quinolin-4-yl)glycinamide,C17 H16 N4 O,non-polymer,Cc1ccncc1NC(=O)CNc2ccnc3c2cccc3,Cc1ccncc1NC(=O)CNc1ccnc2ccccc12,False,Cc1ccncc1NC(=O)CNc1ccnc2ccccc12,"InChI=1S/C17H16N4O/c1-12-6-8-18-10-16(12)21-17(22)11-20-15-7-9-19-14-5-3-2-4-13(14)15/h2-10H,11H2,1H3,(H,19,20)(H,21,22)",OZRCAPIRQWCXDS-UHFFFAOYSA-N,292.342,2.9888200000000005,66.91,4,2,4,3,3,0.11764705882352941,22,0,0,0.7754900572702159,811.1229284169716,-2.9499999999999993,14.007002048058858,6.217756346260379,3.0336476314967005,0,0,0,3,0,5,87.83640000000003,nan,True,True,True,True,True,None,None
KJO,N-phenyl-2-(pyridin-3-yl)prop-2-enamide,C14 H12 N2 O,non-polymer,C=C(c1cccnc1)C(=O)Nc2ccccc2,C=C(C(=O)Nc1ccccc1)c1cccnc1,False,C=C(C(=O)Nc1ccccc1)c1cccnc1,"InChI=1S/C14H12N2O/c1-11(12-6-5-9-15-10-12)14(17)16-13-7-3-2-4-8-13/h2-10H,1H2,(H,16,17)",SAMABBIQJZLRPK-UHFFFAOYSA-N,224.263,2.733500000000001,41.99,2,1,3,2,2,0.0,17,0,0,0.8143559755885809,520.433177853866,-2.419999999999999,11.077000037901199,5.074231900729195,2.7830166746034615,0,0,0,2,0,3,68.34270000000002,nan,True,True,True,False,True,None,Michael_acceptor_1
KLR,(2S)-N-tert-butyl-2-[4-(2-cyanoethyl)anilino]-2-(pyridin-3-yl)acetamide,C20 H24 N4 O,non-polymer,CC(C)(C)NC(=O)[C@H](c1cccnc1)Nc2ccc(cc2)CCC#N,CC(C)(C)NC(=O)[C@@H](Nc1ccc(CCC#N)cc1)c1cccnc1,False,CC(C)(C)NC(=O)[C@@H](Nc1ccc(CCC#N)cc1)c1cccnc1,"InChI=1S/C20H24N4O/c1-20(2,3)24-19(25)18(16-7-5-13-22-14-16)23-17-10-8-15(9-11-17)6-4-12-21/h5,7-11,13-14,18,23H,4,6H2,1-3H3,(H,24,25)/t18-/m0/s1",OUPPHPJHMDQSCE-SFHVURJKSA-N,336.4390000000002,3.605680000000002,77.81,4,2,6,2,2,0.35,25,0,0,0.844601022450157,727.031737240695,-2.8699999999999997,18.468394484154953,8.294029882105344,5.923706246831852,0,0,0,2,0,5,98.87240000000006,nan,True,True,True,True,True,None,None
KL6,"1-{2-[(methanesulfonyl)amino]ethyl}-1,2,3,4-tetrahydroquinoline-7-sulfonamide",C12 H19 N3 O4 S2,non-polymer,CS(=O)(=O)NCCN1CCCc2c1cc(cc2)S(=O)(=O)N,CS(=O)(=O)NCCN1CCCc2ccc(S(N)(=O)=O)cc21,False,CS(=O)(=O)NCCN1CCCc2ccc(S(N)(=O)=O)cc21,"InChI=1S/C12H19N3O4S2/c1-20(16,17)14-6-8-15-7-2-3-10-4-5-11(9-12(10)15)21(13,18)19/h4-5,9,14H,2-3,6-8H2,1H3,(H2,13,18,19)",QNNCYWWAACHETJ-UHFFFAOYSA-N,333.43500000000006,-0.3641999999999989,109.57000000000001,5,2,5,2,1,0.5,21,0,0,0.764282127385942,728.869475914457,-1.1600000000000001,16.214667054719076,5.914587762935279,4.401581828559225,0,0,1,1,0,9,81.19570000000003,nan,True,True,True,True,True,None,None
KMX,"1-{4-[(2-benzyl-1,3-thiazol-5-yl)methyl]piperazin-1-yl}ethan-1-one",C17 H21 N3 O S,non-polymer,CC(=O)N1CCN(CC1)Cc2cnc(s2)Cc3ccccc3,CC(=O)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,False,CC(=O)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,"InChI=1S/C17H21N3OS/c1-14(21)20-9-7-19(8-10-20)13-16-12-18-17(22-16)11-15-5-3-2-4-6-15/h2-6,12H,7-11,13H2,1H3",CZSFWPWYLTWYHF-UHFFFAOYSA-N,315.442,2.3980000000000006,36.440000000000005,4,0,4,3,2,0.4117647058823529,22,0,0,0.8691319873531692,617.8441048161745,-1.7199999999999998,15.186288174982034,7.026639467131084,3.9274608115824576,0,0,1,2,1,5,88.89300000000006,nan,True,True,True,True,True,None,None
