Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
4IO,Mpro,7rc1,A,401,7rc1_A_4IO_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=32
4WI,Mpro,7uup,A,401,7uup_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,8cae,A,401,8cae_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,8dcz,A,401,8dcz_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,8dcz,B,401,8dcz_B_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,8e5c,A,502,8e5c_A_4WI_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=70
4WI,Mpro,9eev,A,401,9eev_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,9m9r,A,401,9m9r_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,9ma3,A,401,9ma3_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,9ma6,A,401,9ma6_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,9ma6,B,401,9ma6_B_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
4WI,Mpro,9z74,A,401,9z74_A_4WI_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=68
83N,Mpro,8okl,A,401,8okl_A_83N_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=73
83N,Mpro,8okl,B,401,8okl_B_83N_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=73
83W,Mpro,8okn,A,401,8okn_A_83W_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=79
83W,Mpro,8okn,B,401,8okn_B_83W_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=79
84C,Mpro,8okm,A,401,8okm_A_84C_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=76
84C,Mpro,8okm,B,401,8okm_B_84C_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=76
90I,Mpro,7q5e,A,401,7q5e_A_90I_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=74
90I,Mpro,7q5e,B,401,7q5e_B_90I_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=74
90X,Mpro,7q5f,A,401,7q5f_A_90X_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=94; GRAPH_FULL skipped: size>80
90X,Mpro,7q5f,B,401,7q5f_B_90X_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=94; GRAPH_FULL skipped: size>80
99W,Mpro,7sgh,A,401,7sgh_A_99W_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
99W,Mpro,7sgh,B,401,7sgh_B_99W_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
99W,Mpro,7sgh,C,401,7sgh_C_99W_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
99W,Mpro,7sgh,D,401,7sgh_D_99W_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
9JT,Mpro,7bfb,A,401,7bfb_A_9JT_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=16 vs 3D=12
9JT,Mpro,7bfb,A,402,7bfb_A_9JT_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=16 vs 3D=1; 3D has 0 bonds (bond perception failed)
9JT,Mpro,7bfb,A,403,7bfb_A_9JT_403,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=16 vs 3D=11
9JT,Mpro,7bfb,B,1002,7bfb_B_9JT_1002,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=16 vs 3D=11
9JT,Mpro,7bfb,B,1005,7bfb_B_9JT_1005,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=16 vs 3D=13
9M5,Mpro,8p5c,A,401,8p5c_A_9M5_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
9M5,Mpro,8p5c,B,401,8p5c_B_9M5_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=66
A00,Mpro,12af,A,402,12af_A_A00_402,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1DA8', 'A1D', 'A00'])"
A01,Mpro,11ro,A,401,11ro_A_A01_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1DAK', 'A1D', 'A01'])"
A02,Mpro,23mb,A,401,23mb_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mb,B,401,23mb_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23md,A,401,23md_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23md,B,401,23md_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mf,A,401,23mf_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mf,B,401,23mf_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mg,A,401,23mg_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mg,B,401,23mg_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mi,A,401,23mi_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mi,B,401,23mi_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A04,Mpro,8rjv,A,401,8rjv_A_A04_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=60
A05,Mpro,8rjy,A,401,8rjy_A_A05_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=72
A18,Mpro,9e7b,A,401,9e7b_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9e7s,A,401,9e7s_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9e8r,A,401,9e8r_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
