Target,pdb_id,Warhead,Residue_ID,Total_atoms,Exposed_atoms,SASA_in_complex_A2,%Exposed,%Buried,Chain,LigandX_Source,Ligand5_Source,Ligand_Resolved,Warhead_5,SMILES,Ion_Dropped,Ion_Drop_Reason,Parent_SMILES,Salt_Stripped
Mpro,23lw,7ON,401,45,14,192.222,0.311,0.689,A,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
Mpro,12af,A00,402,64,19,156.021,0.297,0.703,A,A00,A1DA8,A1DA8,A1DA8,,False,,,False
Mpro,11ro,A01,401,68,24,174.329,0.353,0.647,A,A01,A1DAK,A1DAK,A1DAK,,False,,,False
Mpro,23lx,7ON,401,45,15,197.806,0.333,0.667,A,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
Mpro,23ly,7ON,401,45,17,224.313,0.378,0.622,A,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
Mpro,23lw,7ON,401,45,17,188.145,0.378,0.622,B,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
Mpro,23ly,7ON,401,45,19,226.67,0.422,0.578,B,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
Mpro,23lz,7ON,402,45,17,203.717,0.378,0.622,A,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
Mpro,23lz,7ON,402,45,15,210.681,0.333,0.667,B,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
Mpro,23lz,7ON,403,45,16,210.468,0.356,0.644,C,7ON,7ON,7ON,,C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F,False,,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CCCCC1)[C@@H](O)C(=O)NC1CCCC1,False
