Warhead,SMILES
4IO,['c1cc(cc(c1)S(=O)(=O)n2ccc3c2ccc(c3)C(=O)Oc4cc(cnc4)Cl)[N+](=O)[O-]']
4WI,['[H]/N=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]2[C@@H]3[C@@H](C3(C)C)CN2C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F']
5ZF,['C[C@@H](c1ccccc1)NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)c4ccccc4)C(=O)CCl']
7ON,['C1CCC(CC1)[C@@H](C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)NC5CCCC5)O)NC(=O)C(F)(F)F']
83N,['CC(C)[C@@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](C[C@@H]2CCNC2=O)CO)OC)NC(=O)OC(C)(C)C']
83W,['C[C@H]([C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C[C@@H]2CCNC2=O)CO)NC(=O)OC(C)(C)C)OC(C)(C)C']
84C,['CC(C)[C@@H](C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)CO)NC(=O)OC(C)(C)C']
860,['c1ccc2c(c1)cncc2NC(=O)Cc3cccc(c3)Cl']
8ZI,['CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)CC(C)(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)N)O)C']
90H,['CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@H](C(=O)NC)O)C']
90I,['c1ccc(cc1)CCNC(=O)[C@@H]([C@H](C[C@@H]2CCNC2=O)NC(=O)[C@@H]3CCCN3C(=O)OCc4ccccc4)O']
90U,['CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)OCc3ccccc3)C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)N)O)C']
90X,['c1ccc(cc1)CCNC(=O)[C@@H]([C@H](C[C@@H]2CCNC2=O)NC(=O)[C@@H]3CCCN3C(=O)COc4ccc(cc4Cl)Cl)O']
91I,['CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)CCc3ccccc3)C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)N)O)C']
91Z,['CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)CNc3c(cc(cc3F)F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)[C@H](C(=O)N)O)C']
99W,['[H]/N=C\\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)CNc2c(cc(cc2F)F)F']
9JT,['c1ccc(cc1)NC(=O)c2ccccc2[SeH]']
9M5,['CC(C)(C)c1ccc(cc1)N([C@@H](c2cccnc2)C(=O)NC3CCCCC3)C(=O)c4c[nH]cn4']
A03,['CNC(=O)[C@@H]([C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2CC2)N3C=CC=C(C3=O)NC(=O)Nc4ccccc4)O']
A04,['[H]/N=C\\N(Cc1cccc(c1F)Cl)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3']
A05,['[H]/N=C\\N(Cc1ccc(cc1)Cl)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)c3cccs3']
A06,['c1ccc(cc1)[C@H](c2ccc(cc2)Cl)N3CCN(CC3)C(=O)c4cc(cnc4)Br']
A07,['c1ccc(cc1)[C@@H](c2ccc(cc2)Cl)N3CCN(CC3)C(=O)c4cc(cnc4)Br']
A08,['c1ccc2c(c1)CS(=O)(=O)c3ccccc3C2=C4CCN(CC4)C(=O)c5cncc6c5[nH]cc6']
A09,['CNC(=O)c1cc(cc(c1N[C@@H]2CCCC[C@@H]2NC(=O)C3=CC(=O)Nc4c3cccc4)[N+](=O)[O-])C5CC5']
A10,['c1ccc2c(c1)C(=CC(=O)N2)C(=O)N[C@H]3CCCC[C@H]3Nc4c(cc(cc4[N+](=O)[O-])Br)C(=O)N5CCOCC5']
A11,['CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OCc2ccc(cc2)OC']
A12,['c1c(cc(c(c1O)O)O)C(=O)O[C@H]2[C@H]3[C@@H]4[C@@H]([C@H](O2)COC(=O)c5cc(c(c(c5-c6c(cc(c(c6O)O)O)C(=O)O4)O)O)O)OC(=O)[C@@H]([C@H]7c8c(cc(c(c8OC(=O)[C@@H]7O)O)O)C(=O)O3)CC(=O)O']
A13,['CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCN[C@@H]1O)CN)NC(=O)c2ccc(cc2)c3ccc(nc3)F']
A14,['COc1cccc2c1cc([nH]2)C(=O)N[C@@H](CC3CC3)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C=N']
A15,['COc1cccc2c1cc([nH]2)C(=O)N[C@@H](CC3CC3)C(=O)N[C@@H](CCS(=O)(=O)C)C=N']
A16,['COc1cccc2c1cc([nH]2)C(=O)N[C@@H](CC3CC3)C(=O)N[C@@H](C[C@H]4CCNC4=O)CO']
A17,['COc1cccc2c1cc([nH]2)C(=O)N[C@@H](CC3CC3)C(=O)N[C@@H](CCS(=O)(=O)C)CO']
A18,['[H]/N=C\\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F']
A19,['Cc1cc(cnc1)C(=O)N2C[C@H]3CC[C@@H](C2)N3[C@@H](c4cccc(c4)F)c5cn(nn5)CCc6ccsc6']
A20,['Cc1cc(cnc1)C(=O)N2C[C@H]3CC[C@@H](C2)N3[C@H](c4cccc(c4)F)c5cn(nn5)CCc6ccsc6']
A21,['CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)c2cccc3c2nccc3']
