Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
Mpro,Mpro_SCAF_1,O=C(C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)CC1CCCCC1)NC1CCCC1,O=C(C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)CC1CCCCC1)NC1CCCC1,Polycyclic_Hetero,4.9695187723944356e-14,2.7557608136539128e-14,0.01665846020950694,1,1,0.002840909090909091
Mpro,Mpro_SCAF_10,c1ccc(Cc2ncc(CN3CCNCC3)s2)cc1,c1ccc(Cc2ncc(CN3CCNCC3)s2)cc1,Polycyclic_Hetero,-9.62972391885399e-15,-3.7046389348018385e-15,0.05704040061112251,1,1,0.002840909090909091
Mpro,Mpro_SCAF_100,O=C(Cc1ccccc1)Nc1cncc2cnccc12,O=C(Cc1ccccc1)Nc1cncc2cnccc12,Polycyclic_Hetero,-2.322721140003661e-14,-6.227341874488378e-15,-0.000887227386605351,1,1,0.002840909090909091
Mpro,Mpro_SCAF_101,O=C(Cc1ccccc1)Nc1cncc2ncccc12,O=C(Cc1ccccc1)Nc1cncc2ncccc12,Polycyclic_Hetero,-1.698304796456906e-14,7.569702440626068e-15,-0.0008872273865989386,1,1,0.002840909090909091
Mpro,Mpro_SCAF_102,O=C(Cc1cccc(-c2ccccc2)c1)Nc1cccnc1,O=C(Cc1cccc(-c2ccccc2)c1)Nc1cccnc1,Polycyclic_Hetero,-1.5010682755258274e-12,6.868482391029685e-13,0.008030011301682426,1,1,0.002840909090909091
Mpro,Mpro_SCAF_103,O=C(Nn1cccc1)c1n[nH]c(=O)c2ccccc12,O=C(Nn1cccc1)c1n[nH]c(=O)c2ccccc12,Polycyclic_Hetero,-1.1986580310694363e-14,-5.773159728050814e-15,-0.06005862168137877,1,1,0.002840909090909091
Mpro,Mpro_SCAF_104,C1=CC2(CC=N1)CCCCC2,C1=CC2(CC=N1)CCCCC2,Bicyclic_Hetero,4.834540887279978e-16,1.503071171800212e-15,0.01564157881009786,1,1,0.002840909090909091
Mpro,Mpro_SCAF_105,O=C(c1ccccc1)c1ccc2ccccn12,O=C(c1ccccc1)c1ccc2ccccn12,Polycyclic_Hetero,3.750967790340707e-15,7.2957513046796e-16,0.1420566366445792,1,1,0.002840909090909091
Mpro,Mpro_SCAF_106,O=C(Cc1cncc2ccccc12)Nc1cccc(Oc2ccccn2)c1,O=C(Cc1cncc2ccccc12)Nc1cccc(Oc2ccccn2)c1,Polycyclic_Hetero,8.074349270001139e-15,4.066822636226355e-15,-0.21344369805232963,1,1,0.002840909090909091
Mpro,Mpro_SCAF_107,O=C(Cc1cccc(OCc2ncno2)c1)Nc1cccnc1,O=C(Cc1cccc(OCc2ncno2)c1)Nc1cccnc1,Polycyclic_Hetero,2.3188658200819486e-14,-6.487303187134023e-15,-0.10227764659093226,1,1,0.002840909090909091
Mpro,Mpro_SCAF_108,O=C(Cc1ccccc1)Nc1cncc2nc[nH]c12,O=C(Cc1ccccc1)Nc1cncc2nc[nH]c12,Polycyclic_Hetero,1.4726571216963368e-14,-3.903687409165873e-15,-7.162729191130042e-17,1,1,0.002840909090909091
Mpro,Mpro_SCAF_109,O=C(Cn1nnc2ccccc21)N(Cc1ccccn1)c1ccc(C2CCNCC2)cc1,O=C(Cn1nnc2ccccc21)N(Cc1ccccn1)c1ccc(C2CCNCC2)cc1,Polycyclic_Hetero,-8.700415866685332e-15,-1.8758940760907817e-14,0.07993242555066628,1,1,0.002840909090909091
Mpro,Mpro_SCAF_11,O=C(NCCN1CCNCC1)c1cccc2ccccc12,O=C(NCCN1CCNCC1)c1cccc2ccccc12,Polycyclic_Hetero,3.351816179106425e-15,3.045183153257572e-15,-0.0606977952145137,1,1,0.002840909090909091
Mpro,Mpro_SCAF_110,O=C(Cc1cccc(NC2CCCC2)c1)Nc1cccnc1,O=C(Cc1cccc(NC2CCCC2)c1)Nc1cccnc1,Polycyclic_Hetero,-9.304185329160963e-14,7.659506104309278e-14,0.17305876735781053,1,1,0.002840909090909091
Mpro,Mpro_SCAF_111,O=C(Cc1ccccc1)Nn1nnc2ccccc21,O=C(Cc1ccccc1)Nn1nnc2ccccc21,Polycyclic_Hetero,-5.257443226289451e-15,-1.3215235357634927e-15,-0.14717742934590047,1,1,0.002840909090909091
Mpro,Mpro_SCAF_112,O=C(Cc1cncc2ccccc12)N(Cc1ccsc1)c1ccccc1,O=C(Cc1cncc2ccccc12)N(Cc1ccsc1)c1ccccc1,Polycyclic_Hetero,-2.1568605487490542e-14,2.89238330256322e-14,-1.4866895593389596e-14,1,1,0.002840909090909091
Mpro,Mpro_SCAF_113,O=C(Cn1nnc2ccccc21)N(Cc1ccn[nH]1)c1ccccc1,O=C(Cn1nnc2ccccc21)N(Cc1ccn[nH]1)c1ccccc1,Polycyclic_Hetero,5.881474169477659e-15,6.374304877969801e-15,0.05196683520248032,1,1,0.002840909090909091
Mpro,Mpro_SCAF_114,O=C(c1cncc2ccccc12)N1CCN(c2ccccc2)CC1,O=C(c1cncc2ccccc12)N1CCN(c2ccccc2)CC1,Polycyclic_Hetero,-2.0021452196408783e-14,4.8230153720925404e-15,0.17305876735775474,1,1,0.002840909090909091
Mpro,Mpro_SCAF_115,O=C(Cc1ccccn1)Nc1cncc2ccccc12,O=C(Cc1ccccn1)Nc1cncc2ccccc12,Polycyclic_Hetero,-1.2052312010355032e-13,-4.593631872191481e-14,-0.0008872273865820968,1,2,0.005681818181818182
Mpro,Mpro_SCAF_116,O=C(NCCOc1ccccc1)c1cncc2ccccc12,O=C(NCCOc1ccccc1)c1cncc2ccccc12,Polycyclic_Hetero,1.9633417698634347e-14,0.05704040061113831,-3.218770279551408e-14,1,1,0.002840909090909091
Mpro,Mpro_SCAF_117,O=C(Cc1cccc2ccoc12)Nc1cncc2ccccc12,O=C(Cc1cccc2ccoc12)Nc1cncc2ccccc12,Polycyclic_Hetero,9.505909573006746e-15,-0.055145795508425605,-5.9051862498981296e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_118,O=C(N/C=C\c1ccc(N2CCOCC2)s1)c1cccs1,O=C(N/C=C\c1ccc(N2CCOCC2)s1)c1cccs1,Polycyclic_Hetero,1.7763568394002505e-15,-4.485901140039484e-15,-0.05514579550841039,1,1,0.002840909090909091
Mpro,Mpro_SCAF_119,O=C(Cc1ccccc1)Nc1cncc2c1CCC2,O=C(Cc1ccccc1)Nc1cncc2c1CCC2,Polycyclic_Hetero,1.5834952396939376e-14,8.589161128367907e-15,0.06979889226925681,1,1,0.002840909090909091
Mpro,Mpro_SCAF_12,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1ccccc1,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1ccccc1,Polycyclic_Hetero,4.318540989664385e-15,3.534587588602539e-16,0.009789011659358696,1,1,0.002840909090909091
