Scaffold_ID,Recruiter_Count,Protein
Mpro_SCAF_1,1,Mpro
Mpro_SCAF_10,1,Mpro
Mpro_SCAF_100,1,Mpro
Mpro_SCAF_101,1,Mpro
Mpro_SCAF_102,1,Mpro
Mpro_SCAF_103,1,Mpro
Mpro_SCAF_104,1,Mpro
Mpro_SCAF_105,1,Mpro
Mpro_SCAF_106,1,Mpro
Mpro_SCAF_107,1,Mpro
Mpro_SCAF_108,1,Mpro
Mpro_SCAF_109,1,Mpro
Mpro_SCAF_11,1,Mpro
Mpro_SCAF_110,1,Mpro
Mpro_SCAF_111,1,Mpro
Mpro_SCAF_112,1,Mpro
Mpro_SCAF_113,1,Mpro
Mpro_SCAF_114,1,Mpro
Mpro_SCAF_115,2,Mpro
Mpro_SCAF_116,1,Mpro
Mpro_SCAF_117,1,Mpro
Mpro_SCAF_118,1,Mpro
Mpro_SCAF_119,1,Mpro
Mpro_SCAF_12,1,Mpro
Mpro_SCAF_120,1,Mpro
Mpro_SCAF_121,1,Mpro
Mpro_SCAF_122,1,Mpro
Mpro_SCAF_123,1,Mpro
Mpro_SCAF_124,1,Mpro
Mpro_SCAF_125,1,Mpro
Mpro_SCAF_126,3,Mpro
Mpro_SCAF_127,3,Mpro
Mpro_SCAF_128,1,Mpro
Mpro_SCAF_129,1,Mpro
Mpro_SCAF_13,4,Mpro
Mpro_SCAF_130,4,Mpro
Mpro_SCAF_131,1,Mpro
Mpro_SCAF_132,1,Mpro
Mpro_SCAF_133,1,Mpro
Mpro_SCAF_134,2,Mpro
Mpro_SCAF_135,1,Mpro
Mpro_SCAF_136,1,Mpro
Mpro_SCAF_137,1,Mpro
Mpro_SCAF_138,1,Mpro
Mpro_SCAF_139,1,Mpro
Mpro_SCAF_14,32,Mpro
Mpro_SCAF_140,1,Mpro
Mpro_SCAF_141,1,Mpro
Mpro_SCAF_142,1,Mpro
Mpro_SCAF_143,1,Mpro
Mpro_SCAF_144,1,Mpro
Mpro_SCAF_145,1,Mpro
Mpro_SCAF_146,1,Mpro
Mpro_SCAF_147,1,Mpro
Mpro_SCAF_148,1,Mpro
Mpro_SCAF_149,1,Mpro
Mpro_SCAF_15,1,Mpro
Mpro_SCAF_150,3,Mpro
Mpro_SCAF_151,1,Mpro
Mpro_SCAF_152,1,Mpro
Mpro_SCAF_153,1,Mpro
Mpro_SCAF_154,6,Mpro
Mpro_SCAF_155,1,Mpro
Mpro_SCAF_156,1,Mpro
Mpro_SCAF_157,1,Mpro
Mpro_SCAF_158,1,Mpro
Mpro_SCAF_159,1,Mpro
Mpro_SCAF_16,3,Mpro
Mpro_SCAF_160,1,Mpro
Mpro_SCAF_161,5,Mpro
Mpro_SCAF_162,2,Mpro
Mpro_SCAF_163,1,Mpro
Mpro_SCAF_164,1,Mpro
Mpro_SCAF_165,1,Mpro
Mpro_SCAF_166,2,Mpro
Mpro_SCAF_167,1,Mpro
Mpro_SCAF_168,1,Mpro
Mpro_SCAF_169,1,Mpro
Mpro_SCAF_17,2,Mpro
Mpro_SCAF_170,1,Mpro
Mpro_SCAF_171,2,Mpro
Mpro_SCAF_172,1,Mpro
Mpro_SCAF_173,1,Mpro
Mpro_SCAF_174,5,Mpro
Mpro_SCAF_175,1,Mpro
Mpro_SCAF_176,1,Mpro
Mpro_SCAF_177,1,Mpro
Mpro_SCAF_178,3,Mpro
Mpro_SCAF_179,1,Mpro
Mpro_SCAF_18,2,Mpro
Mpro_SCAF_180,1,Mpro
Mpro_SCAF_181,1,Mpro
Mpro_SCAF_182,1,Mpro
Mpro_SCAF_183,2,Mpro
Mpro_SCAF_184,1,Mpro
Mpro_SCAF_185,1,Mpro
Mpro_SCAF_186,1,Mpro
Mpro_SCAF_187,1,Mpro
Mpro_SCAF_188,4,Mpro
Mpro_SCAF_189,1,Mpro
Mpro_SCAF_19,2,Mpro
Mpro_SCAF_190,1,Mpro
Mpro_SCAF_191,2,Mpro
Mpro_SCAF_192,1,Mpro
Mpro_SCAF_193,2,Mpro
Mpro_SCAF_194,1,Mpro
Mpro_SCAF_195,2,Mpro
Mpro_SCAF_196,1,Mpro
Mpro_SCAF_197,1,Mpro
Mpro_SCAF_198,1,Mpro
Mpro_SCAF_199,1,Mpro
Mpro_SCAF_2,1,Mpro
Mpro_SCAF_20,1,Mpro
Mpro_SCAF_200,1,Mpro
Mpro_SCAF_201,1,Mpro
Mpro_SCAF_202,1,Mpro
Mpro_SCAF_203,1,Mpro
Mpro_SCAF_204,1,Mpro
Mpro_SCAF_205,1,Mpro
Mpro_SCAF_206,1,Mpro
Mpro_SCAF_207,1,Mpro
Mpro_SCAF_208,3,Mpro
Mpro_SCAF_209,1,Mpro
Mpro_SCAF_21,7,Mpro
Mpro_SCAF_210,1,Mpro
Mpro_SCAF_211,1,Mpro
Mpro_SCAF_212,1,Mpro
Mpro_SCAF_213,1,Mpro
Mpro_SCAF_214,1,Mpro
Mpro_SCAF_215,1,Mpro
Mpro_SCAF_216,1,Mpro
Mpro_SCAF_217,1,Mpro
Mpro_SCAF_218,1,Mpro
Mpro_SCAF_219,1,Mpro
Mpro_SCAF_22,1,Mpro
Mpro_SCAF_220,1,Mpro
Mpro_SCAF_221,1,Mpro
Mpro_SCAF_222,1,Mpro
Mpro_SCAF_223,2,Mpro
Mpro_SCAF_224,1,Mpro
Mpro_SCAF_225,1,Mpro
Mpro_SCAF_226,1,Mpro
Mpro_SCAF_227,1,Mpro
Mpro_SCAF_228,1,Mpro
Mpro_SCAF_229,1,Mpro
Mpro_SCAF_23,1,Mpro
Mpro_SCAF_230,3,Mpro
Mpro_SCAF_231,1,Mpro
Mpro_SCAF_232,1,Mpro
Mpro_SCAF_233,1,Mpro
Mpro_SCAF_234,2,Mpro
Mpro_SCAF_235,1,Mpro
Mpro_SCAF_24,1,Mpro
Mpro_SCAF_25,1,Mpro
Mpro_SCAF_26,1,Mpro
Mpro_SCAF_27,1,Mpro
Mpro_SCAF_28,1,Mpro
Mpro_SCAF_29,3,Mpro
Mpro_SCAF_3,1,Mpro
Mpro_SCAF_30,1,Mpro
Mpro_SCAF_31,1,Mpro
Mpro_SCAF_32,4,Mpro
Mpro_SCAF_33,2,Mpro
Mpro_SCAF_34,1,Mpro
Mpro_SCAF_35,1,Mpro
Mpro_SCAF_36,1,Mpro
Mpro_SCAF_37,1,Mpro
Mpro_SCAF_38,1,Mpro
Mpro_SCAF_39,1,Mpro
Mpro_SCAF_4,3,Mpro
Mpro_SCAF_40,1,Mpro
Mpro_SCAF_41,1,Mpro
Mpro_SCAF_42,1,Mpro
Mpro_SCAF_43,1,Mpro
Mpro_SCAF_44,1,Mpro
Mpro_SCAF_45,2,Mpro
Mpro_SCAF_46,1,Mpro
Mpro_SCAF_47,1,Mpro
Mpro_SCAF_48,1,Mpro
Mpro_SCAF_49,1,Mpro
Mpro_SCAF_5,1,Mpro
Mpro_SCAF_50,3,Mpro
Mpro_SCAF_51,1,Mpro
Mpro_SCAF_52,1,Mpro
Mpro_SCAF_53,1,Mpro
Mpro_SCAF_54,1,Mpro
Mpro_SCAF_55,4,Mpro
Mpro_SCAF_56,1,Mpro
Mpro_SCAF_57,1,Mpro
Mpro_SCAF_58,1,Mpro
Mpro_SCAF_59,1,Mpro
Mpro_SCAF_6,1,Mpro
Mpro_SCAF_60,2,Mpro
Mpro_SCAF_61,5,Mpro
Mpro_SCAF_62,3,Mpro
Mpro_SCAF_63,1,Mpro
Mpro_SCAF_64,3,Mpro
Mpro_SCAF_65,1,Mpro
Mpro_SCAF_66,2,Mpro
Mpro_SCAF_67,1,Mpro
Mpro_SCAF_68,1,Mpro
Mpro_SCAF_69,1,Mpro
Mpro_SCAF_7,1,Mpro
Mpro_SCAF_70,1,Mpro
Mpro_SCAF_71,1,Mpro
Mpro_SCAF_72,1,Mpro
Mpro_SCAF_73,1,Mpro
Mpro_SCAF_74,1,Mpro
Mpro_SCAF_75,1,Mpro
Mpro_SCAF_76,2,Mpro
Mpro_SCAF_77,1,Mpro
Mpro_SCAF_78,1,Mpro
Mpro_SCAF_79,1,Mpro
Mpro_SCAF_8,1,Mpro
Mpro_SCAF_80,2,Mpro
Mpro_SCAF_81,1,Mpro
Mpro_SCAF_82,1,Mpro
Mpro_SCAF_83,1,Mpro
Mpro_SCAF_84,3,Mpro
Mpro_SCAF_85,1,Mpro
Mpro_SCAF_86,1,Mpro
Mpro_SCAF_87,1,Mpro
Mpro_SCAF_88,1,Mpro
Mpro_SCAF_89,1,Mpro
Mpro_SCAF_9,1,Mpro
Mpro_SCAF_90,1,Mpro
Mpro_SCAF_91,1,Mpro
Mpro_SCAF_92,1,Mpro
Mpro_SCAF_93,3,Mpro
Mpro_SCAF_94,1,Mpro
Mpro_SCAF_95,1,Mpro
Mpro_SCAF_96,1,Mpro
Mpro_SCAF_97,1,Mpro
Mpro_SCAF_98,1,Mpro
Mpro_SCAF_99,1,Mpro
