pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
3aca,3ACA,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/3ACA.cif,verified,WAR/NUDT5/3aca.cif,WAR/NUDT5/3aca.cif,true,402454,,2026-06-05T12:16:08Z
3l85,3L85,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/3L85.cif,verified,WAR/NUDT5/3l85.cif,WAR/NUDT5/3l85.cif,true,366217,,2026-06-05T12:16:08Z
2dsc,2DSC,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/2DSC.cif,verified,WAR/NUDT5/2dsc.cif,WAR/NUDT5/2dsc.cif,true,419508,,2026-06-05T12:16:08Z
5qj5,5QJ5,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJ5.cif,verified,WAR/NUDT5/5qj5.cif,WAR/NUDT5/5qj5.cif,true,700440,,2026-06-05T12:16:08Z
5nqr,5NQR,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5NQR.cif,verified,WAR/NUDT5/5nqr.cif,WAR/NUDT5/5nqr.cif,true,385961,,2026-06-05T12:16:08Z
5qj4,5QJ4,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJ4.cif,verified,WAR/NUDT5/5qj4.cif,WAR/NUDT5/5qj4.cif,true,696106,,2026-06-05T12:16:08Z
3ac9,3AC9,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/3AC9.cif,verified,WAR/NUDT5/3ac9.cif,WAR/NUDT5/3ac9.cif,true,383700,,2026-06-05T12:16:08Z
5qj6,5QJ6,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJ6.cif,verified,WAR/NUDT5/5qj6.cif,WAR/NUDT5/5qj6.cif,true,702490,,2026-06-05T12:16:08Z
3bm4,3BM4,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/3BM4.cif,verified,WAR/NUDT5/3bm4.cif,WAR/NUDT5/3bm4.cif,true,432328,,2026-06-05T12:16:08Z
2dsd,2DSD,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/2DSD.cif,verified,WAR/NUDT5/2dsd.cif,WAR/NUDT5/2dsd.cif,true,397212,,2026-06-05T12:16:08Z
5nwh,5NWH,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5NWH.cif,verified,WAR/NUDT5/5nwh.cif,WAR/NUDT5/5nwh.cif,true,643379,,2026-06-05T12:16:08Z
2dsb,2DSB,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/2DSB.cif,verified,WAR/NUDT5/2dsb.cif,WAR/NUDT5/2dsb.cif,true,689170,,2026-06-05T12:16:08Z
5qj7,5QJ7,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJ7.cif,verified,WAR/NUDT5/5qj7.cif,WAR/NUDT5/5qj7.cif,true,708930,,2026-06-05T12:16:08Z
5qj8,5QJ8,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJ8.cif,verified,WAR/NUDT5/5qj8.cif,WAR/NUDT5/5qj8.cif,true,694178,,2026-06-05T12:16:08Z
5qja,5QJA,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJA.cif,verified,WAR/NUDT5/5qja.cif,WAR/NUDT5/5qja.cif,true,698427,,2026-06-05T12:16:08Z
5qjc,5QJC,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJC.cif,verified,WAR/NUDT5/5qjc.cif,WAR/NUDT5/5qjc.cif,true,701393,,2026-06-05T12:16:08Z
5qj9,5QJ9,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJ9.cif,verified,WAR/NUDT5/5qj9.cif,WAR/NUDT5/5qj9.cif,true,690940,,2026-06-05T12:16:08Z
5qje,5QJE,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJE.cif,verified,WAR/NUDT5/5qje.cif,WAR/NUDT5/5qje.cif,true,699274,,2026-06-05T12:16:08Z
5qjd,5QJD,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJD.cif,verified,WAR/NUDT5/5qjd.cif,WAR/NUDT5/5qjd.cif,true,709943,,2026-06-05T12:16:08Z
5qjf,5QJF,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJF.cif,verified,WAR/NUDT5/5qjf.cif,WAR/NUDT5/5qjf.cif,true,696924,,2026-06-05T12:16:08Z
5qjb,5QJB,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJB.cif,verified,WAR/NUDT5/5qjb.cif,WAR/NUDT5/5qjb.cif,true,692243,,2026-06-05T12:16:08Z
5qjg,5QJG,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJG.cif,verified,WAR/NUDT5/5qjg.cif,WAR/NUDT5/5qjg.cif,true,718792,,2026-06-05T12:16:08Z
5qjh,5QJH,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJH.cif,verified,WAR/NUDT5/5qjh.cif,WAR/NUDT5/5qjh.cif,true,684692,,2026-06-05T12:16:08Z
5qjk,5QJK,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJK.cif,verified,WAR/NUDT5/5qjk.cif,WAR/NUDT5/5qjk.cif,true,703153,,2026-06-05T12:16:08Z
5qjj,5QJJ,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJJ.cif,verified,WAR/NUDT5/5qjj.cif,WAR/NUDT5/5qjj.cif,true,699287,,2026-06-05T12:16:08Z
5qjl,5QJL,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJL.cif,verified,WAR/NUDT5/5qjl.cif,WAR/NUDT5/5qjl.cif,true,719131,,2026-06-05T12:16:08Z
5qjm,5QJM,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJM.cif,verified,WAR/NUDT5/5qjm.cif,WAR/NUDT5/5qjm.cif,true,702420,,2026-06-05T12:16:08Z
5qjq,5QJQ,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJQ.cif,verified,WAR/NUDT5/5qjq.cif,WAR/NUDT5/5qjq.cif,true,706959,,2026-06-05T12:16:09Z
