Ligand,Name,Formula,Type,SMILES,Parent_SMILES,Salt_Stripped,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
8DD,"8-oxo-7,8-dihydro-2'-deoxy-adenosine-5'-diphosphate",C10 H15 N5 O10 P2,non-polymer,c1nc(c2c(n1)N(C(=O)N2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)N,Nc1ncnc2c1[nH]c(=O)n2[C@H]1C[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O1,False,Nc1ncnc2c1[nH]c(=O)n2[C@H]1C[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O1,"InChI=1S/C10H15N5O10P2/c11-8-7-9(13-3-12-8)15(10(17)14-7)6-1-4(16)5(24-6)2-23-27(21,22)25-26(18,19)20/h3-6,16H,1-2H2,(H,14,17)(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,5+,6+/m0/s1",FEPFWQCDWZFLGY-KVQBGUIXSA-N,427.2030000000001,-1.4235000000000007,232.33999999999997,11,6,6,3,2,0.5,27,0,0,0.2907620279307083,999.9087896896614,-1.6700000000000002,20.074287709312088,7.053330082004745,4.43014647449857,0,0,1,2,1,17,86.00130000000001,nan,False,False,False,False,False,None,phosphor
APR,ADENOSINE-5-DIPHOSPHORIBOSE,C15 H23 N5 O14 P2,non-polymer,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,False,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,"InChI=1S/C15H23N5O14P2/c16-12-7-13(18-3-17-12)20(4-19-7)14-10(23)8(21)5(32-14)1-30-35(26,27)34-36(28,29)31-2-6-9(22)11(24)15(25)33-6/h3-6,8-11,14-15,21-25H,1-2H2,(H,26,27)(H,28,29)(H2,16,17,18)/t5-,6-,8-,9-,10-,11-,14-,15-/m1/s1",SRNWOUGRCWSEMX-KEOHHSTQSA-N,559.3180000000002,-3.282699999999997,291.5199999999999,17,8,9,4,2,0.6666666666666666,36,0,0,0.13965563896702518,1184.7111983996754,-1.6700000000000004,27.367079317120727,10.23912323397246,5.592301266259952,0,0,2,2,2,21,111.19200000000001,nan,False,False,False,False,False,None,phosphor
8GD,2'-deoxy-8-oxoguanosine 5'-(trihydrogen diphosphate),C10 H15 N5 O11 P2,non-polymer,C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)CO[P@](=O)(O)OP(=O)(O)O)O,Nc1nc2c([nH]c(=O)n2[C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,False,Nc1nc2c([nH]c(=O)n2[C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,"InChI=1S/C10H15N5O11P2/c11-9-13-7-6(8(17)14-9)12-10(18)15(7)5-1-3(16)4(25-5)2-24-28(22,23)26-27(19,20)21/h3-5,16H,1-2H2,(H,12,18)(H,22,23)(H2,19,20,21)(H3,11,13,14,17)/t3-,4+,5+/m0/s1",LJMLTZSNWOCYNQ-VPENINKCSA-N,443.20200000000006,-2.130199999999999,252.30999999999992,11,7,6,3,2,0.5,28,0,0,0.23582400621961047,1101.352196184098,-1.8700000000000006,20.853786482671673,7.184167763816364,4.40587866979648,0,0,1,2,1,18,88.827,nan,False,False,False,False,False,None,phosphor
ADV,ALPHA-BETA METHYLENE ADP-RIBOSE,C16 H25 N5 O13 P2,non-polymer,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(C[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](O4)O)O)O)O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)C[P@](=O)(O)OC[C@H]2O[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,False,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)C[P@](=O)(O)OC[C@H]2O[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,"InChI=1S/C16H25N5O13P2/c17-13-8-14(19-3-18-13)21(4-20-8)15-11(24)9(22)6(33-15)1-31-35(27,28)5-36(29,30)32-2-7-10(23)12(25)16(26)34-7/h3-4,6-7,9-12,15-16,22-26H,1-2,5H2,(H,27,28)(H,29,30)(H2,17,18,19)/t6-,7-,9-,10-,11-,12-,15-,16+/m1/s1",ZPZRETFSCSWNDT-DBXCYWGHSA-N,557.3460000000002,-3.1717999999999975,282.2899999999999,16,8,9,4,2,0.6875,36,0,0,0.14107274133839412,1184.5118099067754,-1.6300000000000003,27.40600608055656,10.262713825824276,5.607570033740405,0,0,2,2,2,20,114.97400000000002,nan,False,False,False,False,False,None,phosphor
K04,"(2S,3S)-3-methyl-N-(1,2,3-thiadiazol-5-yl)tetrahydrofuran-2-carboxamide (non-preferred name)",C8 H11 N3 O2 S,non-polymer,C[C@H]1CCO[C@@H]1C(=O)Nc2cnns2,C[C@H]1CCO[C@@H]1C(=O)Nc1cnns1,False,C[C@H]1CCO[C@@H]1C(=O)Nc1cnns1,"InChI=1S/C8H11N3O2S/c1-5-2-3-13-7(5)8(12)10-6-4-9-11-14-6/h4-5,7H,2-3H2,1H3,(H,10,12)/t5-,7-/m0/s1",OAYBAYPFIGUPDE-FSPLSTOPSA-N,213.262,0.9016,64.11,5,1,2,2,1,0.625,14,0,0,0.792430680670997,314.396110235108,-1.01,9.541399677396447,4.015731233505844,1.9057598492216001,0,0,1,1,1,6,52.05970000000002,nan,True,True,True,False,True,None,None
8OG,8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE,C10 H14 N5 O8 P,DNA linking,C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)O)O,Nc1nc2c([nH]c(=O)n2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,False,Nc1nc2c([nH]c(=O)n2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,"InChI=1S/C10H14N5O8P/c11-9-13-7-6(8(17)14-9)12-10(18)15(7)5-1-3(16)4(23-5)2-22-24(19,20)21/h3-5,16H,1-2H2,(H,12,18)(H2,19,20,21)(H3,11,13,14,17)/t3-,4+,5+/m0/s1",AQIVLFLYHYFRKU-VPENINKCSA-N,363.223,-2.2471999999999994,205.77999999999994,9,6,4,3,2,0.5,24,0,0,0.3216923838142615,927.4519199545495,-2.0200000000000005,16.82442762630243,5.806126996248962,3.1265646464823735,0,0,1,2,1,14,77.91669999999998,nan,True,False,False,False,False,None,phosphor
K0G,N-phenyl-N'-pyridin-3-ylurea,C12 H11 N3 O,non-polymer,c1ccc(cc1)NC(=O)Nc2cccnc2,O=C(Nc1ccccc1)Nc1cccnc1,False,O=C(Nc1ccccc1)Nc1cccnc1,"InChI=1S/C12H11N3O/c16-12(14-10-5-2-1-3-6-10)15-11-7-4-8-13-9-11/h1-9H,(H2,14,15,16)",WBKYYDBHEGTTON-UHFFFAOYSA-N,213.24,2.7256,54.02,2,2,2,2,2,0.0,16,0,0,0.8054091984666043,412.70479345074943,-2.3599999999999994,10.167785242915583,4.929027243087918,2.8139846453989157,0,0,0,2,0,4,63.32040000000003,nan,True,True,True,False,True,None,None
GQJ,"methyl (2~{S},4~{R})-1-(furan-2-ylcarbonyl)-4-oxidanyl-pyrrolidine-2-carboxylate",C11 H13 N O5,non-polymer,COC(=O)[C@@H]1C[C@H](CN1C(=O)c2ccco2)O,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1ccco1,False,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1ccco1,"InChI=1S/C11H13NO5/c1-16-11(15)8-5-7(13)6-12(8)10(14)9-3-2-4-17-9/h2-4,7-8,13H,5-6H2,1H3/t7-,8+/m1/s1",GVYWVRYDCMRUCE-SFYZADRCSA-N,239.227,0.027999999999999636,79.98,5,1,2,2,1,0.45454545454545453,17,0,0,0.7362464492341227,413.50609790613186,-1.8199999999999996,11.659158294893206,4.584375555077455,2.163807320443978,0,0,1,1,1,6,56.17230000000003,nan,True,True,True,False,True,None,None
JMM,[4-(cyclopropanecarbonyl)piperazin-1-yl](furan-2-yl)methanone,C13 H16 N2 O3,non-polymer,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCN(C(=O)C2CC2)CC1,False,O=C(c1ccco1)N1CCN(C(=O)C2CC2)CC1,"InChI=1S/C13H16N2O3/c16-12(10-3-4-10)14-5-7-15(8-6-14)13(17)11-2-1-9-18-11/h1-2,9-10H,3-8H2",SMBREKYBPARCFW-UHFFFAOYSA-N,248.28199999999993,0.9739999999999999,53.760000000000005,3,0,2,3,1,0.5384615384615384,18,0,0,0.7834388050699391,442.8112303118744,-1.78,11.318357554514222,4.476601856845875,2.1222790955214323,0,0,2,1,2,5,63.91550000000003,nan,True,True,True,False,True,None,None
ELQ,"[3,4-bis(fluoranyl)phenyl]-(4-methylpiperazin-1-yl)methanone",C12 H14 F2 N2 O,non-polymer,CN1CCN(CC1)C(=O)c2ccc(c(c2)F)F,CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1,False,CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1,"InChI=1S/C12H14F2N2O/c1-15-4-6-16(7-5-15)12(17)9-2-3-10(13)11(14)8-9/h2-3,8H,4-7H2,1H3",ZCPNSVBDWJVJSY-UHFFFAOYSA-N,240.253,1.3523999999999998,23.55,2,0,1,2,1,0.4166666666666667,17,0,0,0.739512721360527,428.51384720985055,-1.4900000000000002,11.979880229701289,4.7915150018969825,2.607615853932312,0,0,1,1,1,5,59.758500000000026,nan,True,True,True,False,True,None,None
