Warhead,SMILES
6SU,['COC(=O)c1cccc(c1)NS(=O)(=O)C']
8DD,['c1nc(c2c(n1)N(C(=O)N2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)N']
8GD,['C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)CO[P@](=O)(O)OP(=O)(O)O)O']
8OG,['C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)O)O']
ADV,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(C[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](O4)O)O)O)O)O)O)N']
APR,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)O)N']
ELQ,['CN1CCN(CC1)C(=O)c2ccc(c(c2)F)F']
GQJ,['COC(=O)[C@@H]1C[C@H](CN1C(=O)c2ccco2)O']
JH4,['CNc1ncccn1']
JJM,['Cc1cccc(c1)Nc2c3cnn(c3ncn2)C']
JMM,['c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3']
K04,['C[C@H]1CCO[C@@H]1C(=O)Nc2cnns2']
K07,['CN(C[C@H]1CCOC1)c2c(cncn2)Cl']
K0A,['Cc1c(nc(s1)C)C(=O)N2CCCC2']
K0D,['C[C@@H]1CN([C@H](CO1)C)C(=O)c2cnsn2']
K0G,['c1ccc(cc1)NC(=O)Nc2cccnc2']
K0J,['CCNC(=O)c1c[nH]nn1']
K0M,['Cc1cc(on1)C(=O)Nc2ccn(n2)C']
K0P,['CCn1cc(cn1)CNC(=O)c2cccnc2']
K0V,['CC(C)(C)NC(=O)N1CCC(CC1)C(=O)OC']
K0Y,['Cc1cc(no1)C(=O)NCC(=O)OC']
K1A,['Cc1c(c(on1)C)CN2C(=O)SC(=N2)C']
K1D,['c1[nH]c2c(n1)c(ncn2)N3CCC3']
K1G,['CC(C)N(C)c1c2cnn(c2ncn1)C']
K1J,['Cc1nc(sn1)N2CCO[C@H]([C@H]2C)C']
K1P,['Cc1nc(sn1)N2CCCNCC2']
K1S,['CCN(CC)c1cc(nc2n1ncn2)C']
K1V,['CC(=O)N1CCC[C@H](C1)C(=O)N']
K1Y,['Cc1nc(c(s1)NC(=O)OC)c2ccccc2']
K24,['Cc1ncc(s1)C(=O)NC']
K2G,['CC(C)c1ncc(c(n1)C(=O)N)Cl']
K2J,['CNc1nccc(n1)OC']
K2M,['c1cc(oc1)C(=O)N2CCN(CC2)C(=O)N']
K2P,['c1ccc(c(c1)C(=O)O)OC(F)(F)F']
K2S,['Cc1c(c(n[nH]1)C)S(=O)(=O)N(C)C']
K34,['c1csc(n1)c2[nH]ncn2']
K3A,['Cc1cc(n[nH]1)NC(=O)C']
K3D,['CCNC(=O)N1CCN(CC1)C(=O)C']
K3J,['CCNc1ccc(nn1)C']
K3M,['Cc1ccc(c(c1)F)C(=O)N']
K3P,['Cn1cc(cn1)Oc2c(cncn2)Cl']
K3S,['CCNCc1cn(nn1)C']
K3V,['COc1ccc2c(c1OC)C(=O)NN=C2']
K3Y,['Cn1cc(c(n1)[C@@H]2CCCNC2)C(=O)N']
K41,['CC(C)C(=O)Nc1nnn(n1)C']
PW7,['c1cnc(nc1C(F)(F)F)N']
PWA,['c1cc2c(cc1F)N=CNC2=O']
PWG,['c1cc(c2nnc(n2c1)C(F)F)C(F)(F)F']
PWJ,['c1cn2cc(c(c(c2n1)Cl)C#N)C(F)(F)F']
PWM,['c1cc2c(c(c1)F)C(=O)NC=N2']
W0O,['CN1CCC(CC1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N']
