Warhead,Target
6SU,['NUDT5']
8DD,['NUDT5']
8GD,['NUDT5']
8OG,['NUDT5']
ADV,['NUDT5']
APR,['NUDT5']
ELQ,['NUDT5']
GQJ,['NUDT5']
JH4,['NUDT5']
JJM,['NUDT5']
JMM,['NUDT5']
K04,['NUDT5']
K07,['NUDT5']
K0A,['NUDT5']
K0D,['NUDT5']
K0G,['NUDT5']
K0J,['NUDT5']
K0M,['NUDT5']
K0P,['NUDT5']
K0V,['NUDT5']
K0Y,['NUDT5']
K1A,['NUDT5']
K1D,['NUDT5']
K1G,['NUDT5']
K1J,['NUDT5']
K1P,['NUDT5']
K1S,['NUDT5']
K1V,['NUDT5']
K1Y,['NUDT5']
K24,['NUDT5']
K2G,['NUDT5']
K2J,['NUDT5']
K2M,['NUDT5']
K2P,['NUDT5']
K2S,['NUDT5']
K34,['NUDT5']
K3A,['NUDT5']
K3D,['NUDT5']
K3J,['NUDT5']
K3M,['NUDT5']
K3P,['NUDT5']
K3S,['NUDT5']
K3V,['NUDT5']
K3Y,['NUDT5']
K41,['NUDT5']
PW7,['NUDT5']
PWA,['NUDT5']
PWG,['NUDT5']
PWJ,['NUDT5']
PWM,['NUDT5']
W0O,['NUDT5']
