Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
NUDT5,NUDT5_SCAF_1,O=c1[nH]cnc2c1[nH]c(=O)n2[C@H]1CCCO1,O=c1[nH]cnc2c1[nH]c(=O)n2[C@H]1CCCO1,Polycyclic_Hetero,-3.004434308177924e-14,6.148927521000867e-15,0.015641578810102766,1,2,0.0392156862745098
NUDT5,NUDT5_SCAF_10,O=C(c1cnsn1)N1CCOCC1,O=C(c1cnsn1)N1CCOCC1,Bicyclic_Hetero,2.27091073218782e-15,-3.2600185177629596e-15,-0.18287043764607802,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_11,O=C(c1cscn1)N1CCCC1,O=C(c1cscn1)N1CCCC1,Bicyclic_Hetero,7.5697024406260675e-16,2.7049070054503814e-15,-0.027459946190266395,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_12,c1cc(NC[C@H]2CCOC2)ncn1,c1cc(NC[C@H]2CCOC2)ncn1,Bicyclic_Hetero,-2.049642507000289e-15,-2.596213842200366e-15,0.01564157881009933,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_13,c1c[nH]nn1,c1c[nH]nn1,Monocyclic_Hetero,3.885780586188048e-16,9.506284648352903e-16,0.11661043937002341,1,2,0.0392156862745098
NUDT5,NUDT5_SCAF_14,O=C(Nc1cc[nH]n1)c1ccno1,O=C(Nc1cc[nH]n1)c1ccno1,Bicyclic_Hetero,8.367575638227495e-15,-4.008489446804513e-15,0.06997952822643146,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_15,O=C(NCc1cn[nH]c1)c1cccnc1,O=C(NCc1cn[nH]c1)c1cccnc1,Bicyclic_Hetero,1.4210854715202004e-16,-5.071498776487715e-15,-0.0864745153919547,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_16,C1CCNCC1,C1CCNCC1,Monocyclic_Hetero,-2.7429039431915633e-16,2.3510605227356256e-16,8.685862486773283e-16,1,2,0.0392156862745098
NUDT5,NUDT5_SCAF_17,c1cnoc1,c1cnoc1,Monocyclic_Hetero,7.771561172376096e-16,7.147060721024445e-16,-7.936359902593892e-16,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_18,O=c1scnn1Cc1cnoc1,O=c1scnn1Cc1cnoc1,Bicyclic_Hetero,4.035987230696157e-15,-1.489004997732563e-15,0.244686711095255,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_19,c1ccccc1,c1ccccc1,Monocyclic,-8.511709855459534e-16,-4.255854927729767e-15,6.15537713392437e-16,1,3,0.058823529411764705
NUDT5,NUDT5_SCAF_2,O=[PH](OC[C@@H]1CCCO1)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,O=[PH](OC[C@@H]1CCCO1)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1,Polycyclic_Hetero,3.907985046680551e-16,0.13809395855115258,-2.6734170432973768e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_20,c1nc(N2CCC2)c2nc[nH]c2n1,c1nc(N2CCC2)c2nc[nH]c2n1,Polycyclic_Hetero,-4.723494322950666e-15,3.7192471324942744e-15,-1.9491983784612125e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_21,c1ccc(Nc2ncnc3[nH]ncc23)cc1,c1ccc(Nc2ncnc3[nH]ncc23)cc1,Polycyclic_Hetero,-3.0908609005564358e-15,-0.08647451539195261,-3.9790393202565614e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_22,c1ncc2cn[nH]c2n1,c1ncc2cn[nH]c2n1,Bicyclic_Hetero,-4.099285014000578e-16,4.270088556250602e-16,2.367764104440959e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_23,c1nsc(N2CCOCC2)n1,c1nsc(N2CCOCC2)n1,Bicyclic_Hetero,1.9290125052862095e-14,-5.218048215738236e-16,0.015221969564641802,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_24,c1nn[nH]n1,c1nn[nH]n1,Monocyclic_Hetero,6.344131569286608e-17,-3.3306690738754696e-16,1.784287003861859e-17,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_25,c1nsc(N2CCCNCC2)n1,c1nsc(N2CCCNCC2)n1,Bicyclic_Hetero,1.133352670971514e-15,-1.86887542478568e-15,-3.608224830031759e-16,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_26,c1cnc2ncnn2c1,c1cnc2ncnn2c1,Bicyclic_Hetero,-3.75767792950053e-16,2.3143879974878262e-14,7.0371059407009925e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_27,c1ccc(-c2cscn2)cc1,c1ccc(-c2cscn2)cc1,Bicyclic_Hetero,2.3684757858670005e-15,3.219646771412954e-15,1.6776703483224587e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_28,c1cscn1,c1cscn1,Monocyclic_Hetero,1.8318679906315083e-15,8.101158632811689e-16,0.11661043937002352,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_29,c1cncnc1,c1cncnc1,Monocyclic_Hetero,6.217248937900876e-16,-4.884981308350689e-16,-7.216449660063518e-16,1,4,0.0784313725490196
NUDT5,NUDT5_SCAF_3,O=c1[nH]c2cncnc2n1[C@H]1CCCO1,O=c1[nH]c2cncnc2n1[C@H]1CCCO1,Polycyclic_Hetero,-9.29034627006331e-15,1.09889874977398e-14,9.139355938714288e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_30,O=C(c1ccco1)N1CCNCC1,O=C(c1ccco1)N1CCNCC1,Bicyclic_Hetero,1.7855050771231618e-13,-6.282974140958685e-14,-0.08647451539186023,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_31,c1cn[nH]c1,c1cn[nH]c1,Monocyclic_Hetero,1.8750433304780422e-15,7.894919286223335e-16,-0.2707295331313965,1,2,0.0392156862745098
NUDT5,NUDT5_SCAF_32,c1n[nH]c(-c2nccs2)n1,c1n[nH]c(-c2nccs2)n1,Bicyclic_Hetero,-1.0467817089322905e-15,9.198990775465584e-16,-0.0021334792773285865,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_33,C1CNCCN1,C1CNCCN1,Monocyclic_Hetero,-5.412337245047638e-16,-6.938893903907228e-16,1.8041124150158794e-16,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_34,c1ccnnc1,c1ccnnc1,Monocyclic_Hetero,-1.9539925233402757e-15,1.0491607582707729e-15,2.575717417130363e-15,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_35,c1cc(Oc2cn[nH]c2)ncn1,c1cc(Oc2cn[nH]c2)ncn1,Bicyclic_Hetero,6.908054375445419e-16,-7.401486830834377e-16,0.020000624126857547,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_36,O=c1[nH]ncc2ccccc12,O=c1[nH]ncc2ccccc12,Bicyclic_Hetero,-1.3061447348531254e-16,-4.702121045471251e-16,-7.510332225405471e-17,1,1,0.0196078431372549
NUDT5,NUDT5_SCAF_37,c1cc([C@@H]2CCCNC2)n[nH]1,c1cc([C@@H]2CCCNC2)n[nH]1,Bicyclic_Hetero,1.8503717077085943e-16,1.0454600148553557e-15,-0.0780961142493677,1,1,0.0196078431372549
