Scaffold_ID,Recruiter_Count,Protein
NUDT5_SCAF_1,2,NUDT5
NUDT5_SCAF_10,1,NUDT5
NUDT5_SCAF_11,1,NUDT5
NUDT5_SCAF_12,1,NUDT5
NUDT5_SCAF_13,2,NUDT5
NUDT5_SCAF_14,1,NUDT5
NUDT5_SCAF_15,1,NUDT5
NUDT5_SCAF_16,2,NUDT5
NUDT5_SCAF_17,1,NUDT5
NUDT5_SCAF_18,1,NUDT5
NUDT5_SCAF_19,3,NUDT5
NUDT5_SCAF_2,1,NUDT5
NUDT5_SCAF_20,1,NUDT5
NUDT5_SCAF_21,1,NUDT5
NUDT5_SCAF_22,1,NUDT5
NUDT5_SCAF_23,1,NUDT5
NUDT5_SCAF_24,1,NUDT5
NUDT5_SCAF_25,1,NUDT5
NUDT5_SCAF_26,1,NUDT5
NUDT5_SCAF_27,1,NUDT5
NUDT5_SCAF_28,1,NUDT5
NUDT5_SCAF_29,4,NUDT5
NUDT5_SCAF_3,1,NUDT5
NUDT5_SCAF_30,1,NUDT5
NUDT5_SCAF_31,2,NUDT5
NUDT5_SCAF_32,1,NUDT5
NUDT5_SCAF_33,1,NUDT5
NUDT5_SCAF_34,1,NUDT5
NUDT5_SCAF_35,1,NUDT5
NUDT5_SCAF_36,1,NUDT5
NUDT5_SCAF_37,1,NUDT5
NUDT5_SCAF_38,2,NUDT5
NUDT5_SCAF_39,1,NUDT5
NUDT5_SCAF_4,1,NUDT5
NUDT5_SCAF_40,1,NUDT5
NUDT5_SCAF_41,1,NUDT5
NUDT5_SCAF_5,1,NUDT5
NUDT5_SCAF_6,1,NUDT5
NUDT5_SCAF_7,1,NUDT5
NUDT5_SCAF_8,1,NUDT5
NUDT5_SCAF_9,1,NUDT5
