pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
1ujj,1UJJ,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1UJJ.cif,verified,WAR/BACE1/1ujj.cif,WAR/BACE1/1ujj.cif,true,260775,,2026-06-06T07:57:48Z
1dvt,1DVT,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1DVT.cif,verified,WAR/BACE1/1dvt.cif,WAR/BACE1/1dvt.cif,true,228378,,2026-06-06T07:57:48Z
1m23,1M23,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1M23.cif,verified,WAR/BACE1/1m23.cif,WAR/BACE1/1m23.cif,true,244491,,2026-06-06T07:57:48Z
1m4h,1M4H,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1M4H.cif,verified,WAR/BACE1/1m4h.cif,WAR/BACE1/1m4h.cif,true,709985,,2026-06-06T07:57:48Z
1tqf,1TQF,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1TQF.cif,verified,WAR/BACE1/1tqf.cif,WAR/BACE1/1tqf.cif,true,386581,,2026-06-06T07:57:48Z
1fkn,1FKN,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1FKN.cif,verified,WAR/BACE1/1fkn.cif,WAR/BACE1/1fkn.cif,true,726747,,2026-06-06T07:57:48Z
1sgz,1SGZ,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1SGZ.cif,verified,WAR/BACE1/1sgz.cif,WAR/BACE1/1sgz.cif,true,1340568,,2026-06-06T07:57:48Z
1p23,1P23,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1P23.cif,verified,WAR/BACE1/1p23.cif,WAR/BACE1/1p23.cif,true,970535,,2026-06-06T07:57:48Z
1cqe,1CQE,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1CQE.cif,verified,WAR/BACE1/1cqe.cif,WAR/BACE1/1cqe.cif,true,1034864,,2026-06-06T07:57:48Z
1eqh,1EQH,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1EQH.cif,verified,WAR/BACE1/1eqh.cif,WAR/BACE1/1eqh.cif,true,1026109,,2026-06-06T07:57:48Z
1r9o,1R9O,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1R9O.cif,verified,WAR/BACE1/1r9o.cif,WAR/BACE1/1r9o.cif,true,458124,,2026-06-06T07:57:48Z
1ujk,1UJK,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1UJK.cif,verified,WAR/BACE1/1ujk.cif,WAR/BACE1/1ujk.cif,true,319451,,2026-06-06T07:57:48Z
1w51,1W51,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1W51.cif,verified,WAR/BACE1/1w51.cif,WAR/BACE1/1w51.cif,true,375549,,2026-06-06T07:57:48Z
1py1,1PY1,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1PY1.cif,verified,WAR/BACE1/1py1.cif,WAR/BACE1/1py1.cif,true,507665,,2026-06-06T07:57:48Z
1w50,1W50,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1W50.cif,verified,WAR/BACE1/1w50.cif,WAR/BACE1/1w50.cif,true,388860,,2026-06-06T07:57:48Z
1xn2,1XN2,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1XN2.cif,verified,WAR/BACE1/1xn2.cif,WAR/BACE1/1xn2.cif,true,1367074,,2026-06-06T07:57:48Z
2b8v,2B8V,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/2B8V.cif,verified,WAR/BACE1/2b8v.cif,WAR/BACE1/2b8v.cif,true,407782,,2026-06-06T07:57:49Z
1xs7,1XS7,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1XS7.cif,verified,WAR/BACE1/1xs7.cif,WAR/BACE1/1xs7.cif,true,355806,,2026-06-06T07:57:48Z
2ayl,2AYL,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/2AYL.cif,verified,WAR/BACE1/2ayl.cif,WAR/BACE1/2ayl.cif,true,1166879,,2026-06-06T07:57:49Z
1xn3,1XN3,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1XN3.cif,verified,WAR/BACE1/1xn3.cif,WAR/BACE1/1xn3.cif,true,1335827,,2026-06-06T07:57:48Z
2b8l,2B8L,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/2B8L.cif,verified,WAR/BACE1/2b8l.cif,WAR/BACE1/2b8l.cif,true,372355,,2026-06-06T07:57:49Z
1ym4,1YM4,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1YM4.cif,verified,WAR/BACE1/1ym4.cif,WAR/BACE1/1ym4.cif,true,1022218,,2026-06-06T07:57:48Z
1ym2,1YM2,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/1YM2.cif,verified,WAR/BACE1/1ym2.cif,WAR/BACE1/1ym2.cif,true,1027046,,2026-06-06T07:57:48Z
2f3e,2F3E,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/2F3E.cif,verified,WAR/BACE1/2f3e.cif,WAR/BACE1/2f3e.cif,true,999481,,2026-06-06T07:57:49Z
2irz,2IRZ,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/2IRZ.cif,verified,WAR/BACE1/2irz.cif,WAR/BACE1/2irz.cif,true,381740,,2026-06-06T07:57:49Z
2hm1,2HM1,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/2HM1.cif,verified,WAR/BACE1/2hm1.cif,WAR/BACE1/2hm1.cif,true,378420,,2026-06-06T07:57:49Z
