Ligand,PDB,Error
0GT,3vg1,Size mismatch: SMILES=35 vs 3D=48
0GT,4d83,Size mismatch: SMILES=35 vs 3D=48
0GT,4d83,Size mismatch: SMILES=35 vs 3D=48
0GT,4d83,Size mismatch: SMILES=35 vs 3D=48
0KK,4dju,Size mismatch: SMILES=21 vs 3D=20
0KK,4dju,Size mismatch: SMILES=21 vs 3D=20
0KM,4djv,Size mismatch: SMILES=29 vs 3D=28
0KM,4djv,Size mismatch: SMILES=29 vs 3D=28
0KP,4djw,Size mismatch: SMILES=27 vs 3D=26
0KP,4djw,Size mismatch: SMILES=27 vs 3D=26
0KQ,4djx,Size mismatch: SMILES=25 vs 3D=24
0KQ,4djx,Size mismatch: SMILES=25 vs 3D=24
0KR,4djy,Size mismatch: SMILES=27 vs 3D=26
0KR,4djy,Size mismatch: SMILES=27 vs 3D=26
0N1,4dpi,Size mismatch: SMILES=41 vs 3D=82
0N1,4dpi,GRAPH_FULL skipped: size>80
0V6,4frs,Size mismatch: SMILES=26 vs 3D=25
0V6,4frs,Size mismatch: SMILES=26 vs 3D=25
0VB,4fsl,Size mismatch: SMILES=34 vs 3D=33
0VB,4fsl,Size mismatch: SMILES=34 vs 3D=33
0VB,4fsl,Size mismatch: SMILES=34 vs 3D=33
0VB,4fsl,Size mismatch: SMILES=34 vs 3D=33
0XA,4gmi,Size mismatch: SMILES=37 vs 3D=74
10J,4h1e,Size mismatch: SMILES=34 vs 3D=33
10J,4h1e,Size mismatch: SMILES=34 vs 3D=33
10O,4h3f,Size mismatch: SMILES=34 vs 3D=33
10O,4h3f,Size mismatch: SMILES=34 vs 3D=33
10Q,4h3g,Size mismatch: SMILES=34 vs 3D=33
10Q,4h3g,Size mismatch: SMILES=34 vs 3D=33
10V,4h3i,Size mismatch: SMILES=34 vs 3D=33
10V,4h3i,Size mismatch: SMILES=34 vs 3D=33
10W,4h3j,Size mismatch: SMILES=33 vs 3D=32
10W,4h3j,Size mismatch: SMILES=33 vs 3D=32
13W,4ha5,Size mismatch: SMILES=24 vs 3D=23
13W,4ha5,Size mismatch: SMILES=24 vs 3D=23
1SQ,2ohk,Size mismatch: SMILES=11 vs 3D=19
1W1,4l7h,Size mismatch: SMILES=26 vs 3D=52
251,2qu2,Size mismatch: SMILES=25 vs 3D=24
2AQ,2ohl,Size mismatch: SMILES=11 vs 3D=19
310,2zdz,Size mismatch: SMILES=36 vs 3D=35
3KO,4r8y,Size mismatch: SMILES=31 vs 3D=30
3KO,4r8y,Size mismatch: SMILES=31 vs 3D=30
