Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
0GT,BACE1,3vg1,A,401,3vg1_A_0GT_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=48
0GT,BACE1,4d83,A,401,4d83_A_0GT_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=48
0GT,BACE1,4d83,B,501,4d83_B_0GT_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=48
0GT,BACE1,4d83,C,501,4d83_C_0GT_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=48
0KK,BACE1,4dju,A,501,4dju_A_0KK_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=20
0KK,BACE1,4dju,B,501,4dju_B_0KK_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=20
0KM,BACE1,4djv,A,501,4djv_A_0KM_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=28
0KM,BACE1,4djv,B,501,4djv_B_0KM_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=29 vs 3D=28
0KP,BACE1,4djw,A,501,4djw_A_0KP_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=26
0KP,BACE1,4djw,B,501,4djw_B_0KP_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=26
0KQ,BACE1,4djx,A,501,4djx_A_0KQ_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=25 vs 3D=24
0KQ,BACE1,4djx,B,501,4djx_B_0KQ_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=25 vs 3D=24
0KR,BACE1,4djy,A,501,4djy_A_0KR_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=26
0KR,BACE1,4djy,B,501,4djy_B_0KR_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=26
0N1,BACE1,4dpi,A,501,4dpi_A_0N1_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=41 vs 3D=82; GRAPH_FULL skipped: size>80
0V6,BACE1,4frs,A,501,4frs_A_0V6_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=26 vs 3D=25
0V6,BACE1,4frs,B,501,4frs_B_0V6_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=26 vs 3D=25
0VB,BACE1,4fsl,A,501,4fsl_A_0VB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
0VB,BACE1,4fsl,B,501,4fsl_B_0VB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
0VB,BACE1,4fsl,D,501,4fsl_D_0VB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
0VB,BACE1,4fsl,E,501,4fsl_E_0VB_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
0XA,BACE1,4gmi,A,401,4gmi_A_0XA_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=37 vs 3D=74
10J,BACE1,4h1e,A,501,4h1e_A_10J_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10J,BACE1,4h1e,B,501,4h1e_B_10J_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10O,BACE1,4h3f,A,502,4h3f_A_10O_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10O,BACE1,4h3f,B,503,4h3f_B_10O_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10Q,BACE1,4h3g,A,502,4h3g_A_10Q_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10Q,BACE1,4h3g,B,503,4h3g_B_10Q_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10V,BACE1,4h3i,A,502,4h3i_A_10V_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10V,BACE1,4h3i,B,503,4h3i_B_10V_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
10W,BACE1,4h3j,A,502,4h3j_A_10W_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
10W,BACE1,4h3j,B,503,4h3j_B_10W_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
13W,BACE1,4ha5,A,502,4ha5_A_13W_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=23
13W,BACE1,4ha5,B,503,4ha5_B_13W_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=24 vs 3D=23
1SQ,BACE1,2ohk,A,390,2ohk_A_1SQ_390,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=11 vs 3D=19
1W1,BACE1,4l7h,A,501,4l7h_A_1W1_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=26 vs 3D=52
251,BACE1,2qu2,A,1,2qu2_A_251_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=25 vs 3D=24
2AQ,BACE1,2ohl,A,390,2ohl_A_2AQ_390,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=11 vs 3D=19
310,BACE1,2zdz,A,1,2zdz_A_310_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=35
3KO,BACE1,4r8y,A,501,4r8y_A_3KO_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
3KO,BACE1,4r8y,B,502,4r8y_B_3KO_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
3KT,BACE1,4r91,A,502,4r91_A_3KT_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
3KT,BACE1,4r91,B,502,4r91_B_3KT_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
3KU,BACE1,4r92,A,501,4r92_A_3KU_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
3KU,BACE1,4r92,B,503,4r92_B_3KU_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
3KW,BACE1,4r95,B,502,4r95_B_3KW_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=34
3KW,BACE1,4r95,A,503,4r95_A_3KW_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=34
3RU,BACE1,3ru1,A,398,3ru1_A_3RU_398,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=46
