Ligand,AtomIndex,AtomSymbol
32P,0,C
32P,1,C
32P,2,C
32P,3,C
32P,4,C
32P,5,C
32P,6,C
32P,7,C
32P,8,F
32P,9,N
32P,10,C
32P,11,O
32P,12,C
32P,13,C
32P,14,C
32P,15,C
32P,16,C
32P,17,C
32P,18,O
32P,19,S
32P,20,O
32P,21,O
32P,22,C
32P,23,C
32P,24,C
32P,25,C
32P,26,C
32P,27,C
32P,28,C
32P,29,O
32P,30,C
32P,31,C
32P,32,O
32P,33,N
32P,34,C
32P,35,C
32P,36,C
32P,37,C
32P,38,C
32P,39,N
MMI,0,C
MMI,1,C
MMI,2,C
MMI,3,C
MMI,4,C
MMI,5,C
MMI,6,C
MMI,7,C
MMI,8,C
MMI,9,C
MMI,10,O
MMI,11,N
MMI,12,C
MMI,13,C
MMI,14,C
MMI,15,C
MMI,16,C
MMI,17,O
MMI,18,N
MMI,19,C
MMI,20,C
MMI,21,C
MMI,22,C
MMI,23,C
MMI,24,C
MMI,25,C
MMI,26,O
MMI,27,N
MMI,28,C
MMI,29,O
MMI,30,C
MMI,31,C
MMI,32,C
MMI,33,O
MMI,34,N
MMI,35,C
MMI,36,C
MMI,37,C
MMI,38,C
MMI,39,C
MMI,40,C
MMI,41,O
MMI,42,C
MMI,43,O
MMI,44,N
MMI,45,C
MMI,46,C
MMI,47,O
MMI,48,N
MMI,49,C
MMI,50,C
MMI,51,C
5HA,0,C
5HA,1,C
5HA,2,C
5HA,3,C
5HA,4,C
5HA,5,C
5HA,6,C
5HA,7,C
5HA,8,N
5HA,9,C
5HA,10,O
5HA,11,C
5HA,12,C
5HA,13,C
5HA,14,C
5HA,15,C
5HA,16,C
5HA,17,N
5HA,18,C
5HA,19,S
5HA,20,O
5HA,21,O
5HA,22,C
5HA,23,C
5HA,24,O
5HA,25,N
5HA,26,C
5HA,27,C
5HA,28,C
5HA,29,C
5HA,30,C
5HA,31,C
5HA,32,C
5HA,33,C
5HA,34,C
5HA,35,C
5HA,36,N
5HA,37,C
5HA,38,C
5HA,39,C
5HA,40,O
L01,0,C
L01,1,C
L01,2,C
L01,3,N
L01,4,C
L01,5,C
L01,6,C
L01,7,C
L01,8,O
L01,9,C
L01,10,C
L01,11,C
L01,12,C
L01,13,C
L01,14,C
L01,15,C
L01,16,O
L01,17,N
L01,18,C
L01,19,C
L01,20,C
L01,21,C
L01,22,C
L01,23,C
L01,24,C
L01,25,C
L01,26,C
L01,27,C
L01,28,N
L01,29,C
L01,30,C
L01,31,C
L01,32,C
L01,33,C
L01,34,C
L01,35,C
L01,36,O
L01,37,C
L01,38,O
3BN,0,C
3BN,1,N
3BN,2,C
3BN,3,C
3BN,4,C
3BN,5,C
3BN,6,C
3BN,7,C
3BN,8,C
3BN,9,O
3BN,10,N
3BN,11,C
3BN,12,C
3BN,13,C
3BN,14,C
3BN,15,C
