Warhead,Target
009,['BACE1']
012,['BACE1']
038,['BACE1']
091,['BACE1']
092,['BACE1']
095,['BACE1']
09A,['BACE1']
09B,['BACE1']
09D,['BACE1']
09E,['BACE1']
09F,['BACE1']
09G,['BACE1']
0B1,['BACE1']
0B3,['BACE1']
0B4,['BACE1']
0B5,['BACE1']
0B6,['BACE1']
0BI,['BACE1']
0EW,['BACE1']
0GH,['BACE1']
0GO,['BACE1']
0GS,['BACE1']
0GT,['BACE1']
0GU,['BACE1']
0K9,['BACE1']
0KK,['BACE1']
0KM,['BACE1']
0KN,['BACE1']
0KP,['BACE1']
0KQ,['BACE1']
0KR,['BACE1']
0LG,['BACE1']
0MP,['BACE1']
0N1,['BACE1']
0QQ,['BACE1']
0U4,['BACE1']
0UP,['BACE1']
0UQ,['BACE1']
0V6,['BACE1']
0VB,['BACE1']
0XA,['BACE1']
0ZA,['BACE1']
10J,['BACE1']
10O,['BACE1']
10Q,['BACE1']
10V,['BACE1']
10W,['BACE1']
13W,['BACE1']
18P,['BACE1']
1B1,['BACE1']
1B7,['BACE1']
1B8,['BACE1']
1B9,['BACE1']
1BB,['BACE1']
1BC,['BACE1']
1BE,['BACE1']
1BF,['BACE1']
1BL,['BACE1']
1BS,['BACE1']
1CH,['BACE1']
1H5,['BACE1']
1H6,['BACE1']
1H7,['BACE1']
1H8,['BACE1']
1HG,['BACE1']
1HH,['BACE1']
1HJ,['BACE1']
1HL,['BACE1']
1HM,['BACE1']
1HO,['BACE1']
1HQ,['BACE1']
1LI,['BACE1']
1M4,['BACE1']
1M5,['BACE1']
1M6,['BACE1']
1M7,['BACE1']
1QT,['BACE1']
1QU,['BACE1']
1R6,['BACE1']
1R8,['BACE1']
1SQ,['BACE1']
1W0,['BACE1']
1W1,['BACE1']
1W2,['BACE1']
1WP,['BACE1']
1YS,['BACE1']
1YT,['BACE1']
1YU,['BACE1']
23I,['BACE1']
251,['BACE1']
2AQ,['BACE1']
2EX,['BACE1']
2FB,['BACE1']
2LI,['BACE1']
2X4,['BACE1']
2X5,['BACE1']
310,['BACE1']
314,['BACE1']
316,['BACE1']
318,['BACE1']
32D,['BACE1']
32P,['BACE1']
35A,['BACE1']
3BN,['BACE1']
3J9,['BACE1']
3KO,['BACE1']
3KT,['BACE1']
3KU,['BACE1']
3KW,['BACE1']
3LL,['BACE1']
3LN,['BACE1']
3LO,['BACE1']
3MR,['BACE1']
3P5,['BACE1']
3RS,['BACE1']
3RU,['BACE1']
3TO,['BACE1']
3UT,['BACE1']
3UW,['BACE1']
3UX,['BACE1']
3UY,['BACE1']
3VO,['BACE1']
3VP,['BACE1']
3WP,['BACE1']
3YS,['BACE1']
411,['BACE1']
43K,['BACE1']
454,['BACE1']
462,['BACE1']
472,['BACE1']
4B2,['BACE1']
4FP,['BACE1']
4QA,['BACE1']
4QD,['BACE1']
4QF,['BACE1']
4RW,['BACE1']
4RX,['BACE1']
4RY,['BACE1']
4RZ,['BACE1']
508,['BACE1']
52K,['BACE1']
532,['BACE1']
54M,['BACE1']
569,['BACE1']
586,['BACE1']
591,['BACE1']
593,['BACE1']
5E7,['BACE1']
5HA,['BACE1']
5MS,['BACE1']
5T5,['BACE1']
5T6,['BACE1']
5T7,['BACE1']
5T8,['BACE1']
60S,['BACE1']
60T,['BACE1']
60U,['BACE1']
60V,['BACE1']
60W,['BACE1']
60X,['BACE1']
60Y,['BACE1']
625,['BACE1']
66F,['BACE1']
66H,['BACE1']
66J,['BACE1']
68J,['BACE1']
68K,['BACE1']
68L,['BACE1']
68M,['BACE1']
6BS,['BACE1']
6IP,['BACE1']
6T6,['BACE1']
6T9,['BACE1']
6TG,['BACE1']
6Z0,['BACE1']
712,['BACE1']
74A,['BACE1']
74B,['BACE1']
757,['BACE1']
779,['BACE1']
7F3,['BACE1']
7H3,['BACE1']
7IP,['BACE1']
842,['BACE1']
879,['BACE1']
8AP,['BACE1']
8IP,['BACE1']
8QV,['BACE1']
8T3,['BACE1']
8W4,['BACE1']
916,['BACE1']
929,['BACE1']
954,['BACE1']
957,['BACE1']
996,['BACE1']
9IP,['BACE1']
AA9,['BACE1']
AED,['BACE1']
AEF,['BACE1']
AEG,['BACE1']
AEH,['BACE1']
AFJ,['BACE1']
AR9,['BACE1']
AXF,['BACE1']
AXQ,['BACE1']
AYH,['BACE1']
B00,['BACE1']
B02,['BACE1']
B35,['BACE1']
BAV,['BACE1']
BDJ,['BACE1']
BDO,['BACE1']
BDQ,['BACE1']
BDV,['BACE1']
BDW,['BACE1']
BDX,['BACE1']
BJC,['BACE1']
BSD,['BACE1']
BUH,['BACE1']
BX2,['BACE1']
BXD,['BACE1']
BXQ,['BACE1']
C44,['BACE1']
C6A,['BACE1']
C6R,['BACE1']
C6U,['BACE1']
C7O,['BACE1']
C7X,['BACE1']
C83,['BACE1']
C86,['BACE1']
CM7,['BACE1']
CM8,['BACE1']
CMZ,['BACE1']
CS5,['BACE1']
CS7,['BACE1']
CS9,['BACE1']
D8Y,['BACE1']
D9W,['BACE1']
DJS,['BACE1']
DJV,['BACE1']
DK7,['BACE1']
DKJ,['BACE1']
DWA,['BACE1']
DWB,['BACE1']
DWD,['BACE1']
E4A,['BACE1']
E4G,['BACE1']
E4J,['BACE1']
E4Y,['BACE1']
E51,['BACE1']
E5A,['BACE1']
E5D,['BACE1']
E5P,['BACE1']
E5V,['BACE1']
E5Y,['BACE1']
E61,['BACE1']
E6J,['BACE1']
E6M,['BACE1']
E6P,['BACE1']
E6S,['BACE1']
E6V,['BACE1']
E6Y,['BACE1']
E74,['BACE1']
E77,['BACE1']
E7A,['BACE1']
EJ7,['BACE1']
EV0,['BACE1']
EV2,['BACE1']
EV3,['BACE1']
EV4,['BACE1']
EV5,['BACE1']
EV6,['BACE1']
F1H,['BACE1']
F1I,['BACE1']
F1J,['BACE1']
F1K,['BACE1']
F1L,['BACE1']
F1M,['BACE1']
F1N,['BACE1']
F2I,['BACE1']
FRP,['BACE1']
G00,['BACE1']
GHJ,['BACE1']
GMF,['BACE1']
GTU,['BACE1']
GUC,['BACE1']
GX6,['BACE1']
H24,['BACE1']
H3C,['BACE1']
HRV,['BACE1']
I02,['BACE1']
I03,['BACE1']
I21,['BACE1']
I6X,['BACE1']
III,['BACE1']
IP6,['BACE1']
IP7,['BACE1']
IXS,['BACE1']
KGG,['BACE1']
L00,['BACE1']
L01,['BACE1']
L3J,['BACE1']
L3M,['BACE1']
L4J,['BACE1']
LIQ,['BACE1']
LPD,['BACE1']
M7D,['BACE1']
MMI,['BACE1']
MV7,['BACE1']
MY9,['BACE1']
P6J,['BACE1']
P6U,['BACE1']
QBH,['BACE1']
QIN,['BACE1']
QJJ,['BACE1']
QJM,['BACE1']
QJP,['BACE1']
QJV,['BACE1']
QK7,['BACE1']
QKA,['BACE1']
QN7,['BACE1']
QUD,['BACE1']
RSV,['BACE1']
RTH,['BACE1']
RTM,['BACE1']
RTN,['BACE1']
RVI,['BACE1']
S8Z,['BACE1']
SC6,['BACE1']
SC7,['BACE1']
SI5,['BACE1']
SII,['BACE1']
SKW,['BACE1']
SL8,['BACE1']
SLK,['BACE1']
U64,['BACE1']
VG0,['BACE1']
VG3,['BACE1']
VG4,['BACE1']
VG5,['BACE1']
VG6,['BACE1']
VG7,['BACE1']
VSI,['BACE1']
VTI,['BACE1']
WM9,['BACE1']
WZV,['BACE1']
X17,['BACE1']
X45,['BACE1']
XFI,['BACE1']
XK0,['BACE1']
XLI,['BACE1']
XX4,['BACE1']
Z81,['BACE1']
ZOO,['BACE1']
ZPQ,['BACE1']
ZPX,['BACE1']
ZPY,['BACE1']
ZPZ,['BACE1']
ZQS,['BACE1']
ZR7,['BACE1']
ZRD,['BACE1']
ZY0,['BACE1']
ZY1,['BACE1']
ZY2,['BACE1']
ZY3,['BACE1']
ZY4,['BACE1']
ZYE,['BACE1']
