Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
BACE1,BACE1_SCAF_1,O=C(NCc1ccccc1)c1cccc(OS(=O)(=O)Cc2ccccc2)c1,O=C(NCc1ccccc1)c1cccc(OS(=O)(=O)Cc2ccccc2)c1,Polycyclic_Hetero,-1.4980770247496406e-14,-0.06287421514668448,2.4531101787587155e-14,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_10,O=C(CNC(=O)c1cccnc1)N[C@H](CCNCc1ccccc1)Cc1ccccc1,O=C(CNC(=O)c1cccnc1)N[C@H](CCNCc1ccccc1)Cc1ccccc1,Polycyclic_Hetero,-3.060452080085347e-14,-5.186058738757511e-15,-0.05179591696414884,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_100,O=C1NC=N[C@]1(c1ccncc1)c1cccc(-c2ccccc2)c1,O=C1NC=N[C@]1(c1ccncc1)c1cccc(-c2ccccc2)c1,Polycyclic_Hetero,9.963539964584738e-16,3.569794033025503e-15,0.027226100056361908,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_101,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CN(C(=O)c2ccccc2)CCN1)c1ccccc1,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CN(C(=O)c2ccccc2)CCN1)c1ccccc1,Polycyclic_Hetero,-1.6249296989923603e-14,-1.8819190286269046e-14,0.09705141354535757,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_102,c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,Bicyclic_Hetero,1.6283271027835629e-15,1.4299672557172018e-14,-1.8326081393145917e-14,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_103,O=C(CCCn1cnc2ccccc21)NC1CCCCC1,O=C(CCCn1cnc2ccccc21)NC1CCCCC1,Polycyclic_Hetero,6.154672731058368e-14,4.383967936147118e-13,-0.11577572275848173,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_104,O=C(CCn1cnc2ccccc21)NCC1CCCCC1,O=C(CCn1cnc2ccccc21)NCC1CCCCC1,Polycyclic_Hetero,-5.682323298763301e-15,7.547624141840908e-15,-0.11577572275831534,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_105,c1ccc(CCCCNC2(c3cccc(-n4cccn4)c3)CCCCC2)cc1,c1ccc(CCCCNC2(c3cccc(-n4cccn4)c3)CCCCC2)cc1,Polycyclic_Hetero,4.0645453104920985e-16,5.2199299496782785e-15,-0.05179591696418714,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_106,c1ccc(CCCCNC2(c3cccs3)CC2)cc1,c1ccc(CCCCNC2(c3cccs3)CC2)cc1,Polycyclic_Hetero,-7.438494264988549e-15,-0.07658237156140128,2.831068712794149e-15,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_107,O=C1NC=NC1(c1ccccc1)c1ccccc1,O=C1NC=NC1(c1ccccc1)c1ccccc1,Polycyclic_Hetero,-1.1087427272589896e-14,-7.012908772215572e-15,-0.09047805479773675,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_108,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H](NCc2cccc(C3CC3)c2)C1,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H](NCc2cccc(C3CC3)c2)C1,Polycyclic_Hetero,1.119021018405205e-14,1.1814448790350723e-15,0.10047523945016823,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_109,O=C1N[C@@H](Cc2cccc(C[C@H]3C[C@@H](NCc4ccccc4)CS(=O)(=O)C3)c2)CO1,O=C1N[C@@H](Cc2cccc(C[C@H]3C[C@@H](NCc4ccccc4)CS(=O)(=O)C3)c2)CO1,Polycyclic_Hetero,-6.941726886797651e-13,0.07993242555068916,-7.271960811294775e-14,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_11,O=C(NCc1ccccc1)c1cccc(C(=O)OCCCc2ccccc2)c1,O=C(NCc1ccccc1)c1cccc(C(=O)OCCCc2ccccc2)c1,Polycyclic_Hetero,3.040269561159791e-14,1.1291621232805268e-14,-0.09127114402122165,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_110,c1ccc(CCCCN[C@H]2C[C@H](C3CC3)Oc3ccccc32)cc1,c1ccc(CCCCN[C@H]2C[C@H](C3CC3)Oc3ccccc32)cc1,Polycyclic_Hetero,4.440892098500626e-14,-9.643701958998908e-15,-0.09526067488000634,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_111,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,Polycyclic_Hetero,1.500150766136643e-13,9.404677472520787e-14,-0.07614614777796869,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_112,c1cnc2ccc(-c3ccsc3)cc2c1,c1cnc2ccc(-c3ccsc3)cc2c1,Polycyclic_Hetero,1.0602629885170245e-14,-2.869232629265639e-15,-0.07809611424936859,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_113,c1ccc(-c2ccc3ncccc3c2)cc1,c1ccc(-c2ccc3ncccc3c2)cc1,Polycyclic_Hetero,-1.690828547132831e-14,-1.2623646983700855e-14,-0.04483790834373292,1,2,0.005449591280653951
BACE1,BACE1_SCAF_114,O=C(CCc1cnc2ccccc2c1)NC1CCCCC1,O=C(CCc1cnc2ccccc2c1)NC1CCCCC1,Polycyclic_Hetero,-2.7807213895844038e-14,1.2155651162640086e-14,0.17305876735775272,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_115,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCCCC1,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCCCC1,Polycyclic_Hetero,1.486441996743417e-14,0.10047523945016384,-1.633913130580419e-15,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_116,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCC1CCCCC1,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCC1CCCCC1,Polycyclic_Hetero,4.489266101716436e-14,-1.1296519275560968e-13,-0.08943467515728876,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_117,O=C(CCc1cnc2ccccc2c1)NCC1CCCCC1,O=C(CCc1cnc2ccccc2c1)NCC1CCCCC1,Polycyclic_Hetero,2.3169871818264135e-14,2.3207281507137377e-14,0.056239632010679746,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_118,O=C(CCn1cnc2ccccc21)NC1C2CC3CC(C2)CC1C3,O=C(CCn1cnc2ccccc21)NC1C2CC3CC(C2)CC1C3,Polycyclic_Hetero,-1.2144480432634365e-14,-4.7513013931407206e-15,0.11489697936599011,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_119,O=C1NC=N[C@]1(c1cn[nH]c1)c1cccc(-c2cncnc2)c1,O=C1NC=N[C@]1(c1cn[nH]c1)c1cccc(-c2cncnc2)c1,Polycyclic_Hetero,-9.652596182669575e-15,2.4551789173139176e-15,0.07188841377293487,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_12,c1ccc(CCc2nnc(-c3ccnc(NCC4CC4)c3)o2)cc1,c1ccc(CCc2nnc(-c3ccnc(NCC4CC4)c3)o2)cc1,Polycyclic_Hetero,-1.4937546149502105e-14,-0.11577572275829065,1.2989609388114332e-14,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_120,O=C1NC=N[C@]1(c1ccsc1)c1cccc(-c2cccnc2)c1,O=C1NC=N[C@]1(c1ccsc1)c1cccc(-c2cccnc2)c1,Polycyclic_Hetero,1.267504619780387e-15,9.930328164702789e-15,0.021858975622058782,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_121,O=C(Nc1cccc(C2N=CCNC2=O)c1)c1ccccn1,O=C(Nc1cccc(C2N=CCNC2=O)c1)c1ccccn1,Polycyclic_Hetero,1.3248661427193534e-14,3.1740042692894756e-14,0.021858975622025118,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_122,O=C1Nc2ccccc2[C@]12CCNC2,O=C1Nc2ccccc2[C@]12CCNC2,Polycyclic_Hetero,-5.337610695313253e-15,-1.2041649728626698e-15,-2.7840977386753925e-15,1,2,0.005449591280653951
