protein,pdb,chain,ligand,MW,Name
BACE1,1cqe,A,FLP,244.261,FLURBIPROFEN
BACE1,1cqe,B,FLP,244.261,FLURBIPROFEN
BACE1,1dvt,A,FLP,244.261,FLURBIPROFEN
BACE1,1eqh,A,FLP,244.261,FLURBIPROFEN
BACE1,1eqh,B,FLP,244.261,FLURBIPROFEN
BACE1,1r9o,A,FLP,244.261,FLURBIPROFEN
BACE1,1tqf,A,32P,571.66,3-{2-[(5-AMINOPENTYL)AMINO]-2-OXOETHOXY}-5-({[1-(4-FLUOROPHENYL)ETHYL]AMINO}CARBONYL)PHENYL PHENYLMETHANESULFONATE
BACE1,1w51,A,L01,531.686,"3-[({(1S,2R)-1-BENZYL-2-HYDROXY-3-[(3-METHOXYBENZYL)AMINO]PROPYL}AMINO)(HYDROXY)METHYL]-N,N-DIPROPYLBENZAMIDE"
BACE1,1xs7,D,MMI,730.934,"N-[(4S,5S,7R)-8-({(S)-1-[(BENZYLAMINO)OXOMETHYL]-2-METHYLPROPYL}AMINO)-5-HYDROXY-2,7-DIMETHYL-8-OXO-OCT-4-YL]-(4S,7S)-4 -ISOPROPYL-2,5,9-TRIOXO-1-OXA-3,6,10-TRIAZACYCLOHEXADECANE-7-CARBOXAMIDE"
BACE1,2ayl,A,FLP,244.261,FLURBIPROFEN
BACE1,2ayl,B,FLP,244.261,FLURBIPROFEN
BACE1,2ayl,A,MNH,615.58,MANGANESE PROTOPORPHYRIN IX
BACE1,2ayl,B,MNH,615.58,MANGANESE PROTOPORPHYRIN IX
BACE1,2b8l,A,5HA,578.722,"N-[(1S,2R)-1-BENZYL-3-(CYCLOPROPYLAMINO)-2-HYDROXYPROPYL]-5-[METHYL(METHYLSULFONYL)AMINO]-N'-[(1R)-1-PHENYLETHYL]ISOPHTHALAMIDE"
BACE1,2b8v,A,3BN,535.654,"3-BENZOYL-N-[(1S,2R)-1-BENZYL-3-(CYCLOPROPYLAMINO)-2-HYDROXYPROPYL]-5-[METHYL(METHYLSULFONYL)AMINO]BENZAMIDE"
BACE1,2ewy,A,DBO,504.619,"N-{(1S,2R)-1-BENZYL-2-HYDROXY-3-[(3-METHYLBENZYL)AMINO]PROPYL}DIBENZO[B,F]OXEPINE-10-CARBOXAMIDE"
BACE1,2ewy,B,DBO,504.619,"N-{(1S,2R)-1-BENZYL-2-HYDROXY-3-[(3-METHYLBENZYL)AMINO]PROPYL}DIBENZO[B,F]OXEPINE-10-CARBOXAMIDE"
BACE1,2ewy,C,DBO,504.619,"N-{(1S,2R)-1-BENZYL-2-HYDROXY-3-[(3-METHYLBENZYL)AMINO]PROPYL}DIBENZO[B,F]OXEPINE-10-CARBOXAMIDE"
BACE1,2ewy,D,DBO,504.619,"N-{(1S,2R)-1-BENZYL-2-HYDROXY-3-[(3-METHYLBENZYL)AMINO]PROPYL}DIBENZO[B,F]OXEPINE-10-CARBOXAMIDE"
BACE1,2f3e,A,AXQ,673.928,"{(E)-(3R,6S,9R)-3-[(1S,3R)-3-((S)-1 -BUTYLCARBAMOYL-2-METHYL-PROPYLCARB AMOYL)-1-HYDROXY-BUTYL]-6-METHYL-5, 8-DIOXO-1,11-DITHIA-4,7-DIAZA-CYCLO PENTADEC-13-EN-9-YL}-CARBAMIC ACID TERT-BUTYL ESTER"
BACE1,2f3e,B,AXQ,673.928,"{(E)-(3R,6S,9R)-3-[(1S,3R)-3-((S)-1 -BUTYLCARBAMOYL-2-METHYL-PROPYLCARB AMOYL)-1-HYDROXY-BUTYL]-6-METHYL-5, 8-DIOXO-1,11-DITHIA-4,7-DIAZA-CYCLO PENTADEC-13-EN-9-YL}-CARBAMIC ACID TERT-BUTYL ESTER"
