Warhead,SMILES
009,['CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@]3(CN(C(=O)N3)Cc4ccccc4)Cc5ccccc5)O']
012,['CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)N3)Cc4cccc(c4)OC)O']
038,['CC(C)C[C@@H](C(=O)NC[C@](CCc1ccccc1)(C(=O)Nc2cccc(c2)C(=O)O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)c3[nH]nnn3)N']
091,['c1ccc2c(c1)[C@]3(CCNC3)C(=O)N2']
092,['COC(=O)[C@H]1C[C@@]2(CN1)c3ccccc3NC2=O']
095,['c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OC4CCOCC4)C(=O)N2']
09A,['c1ccc(cc1)COC(=O)[C@H]2C[C@@]3(CN2)c4ccccc4NC3=O']
09B,['c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OCc4ccc(cc4)C#N)C(=O)N2']
09D,['c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)O[C@H]4CCSc5c4cc(cc5)Br)C(=O)N2']
09E,['c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)O[C@H]4CCS(=O)(=O)c5c4cc(cc5)Br)C(=O)N2']
09F,['c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OC4(CCCCC4)C#N)C(=O)N2']
09G,['c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OCc4ccc(c(c4)Br)C#N)C(=O)N2']
0B1,['CN1C(=O)C=C(N=C1N)[C@H]2C[C@H]2c3cccc(c3)c4cccc(c4)OC']
0B3,['C[C@]1(CC(=O)N(C(=N1)N)C)CCc2ccccc2']
0B4,['C[C@]1(CC(=O)N(C(=N1)N)C)[C@@H]2C[C@H]2c3ccccc3']
0B5,['C[C@]1([C@H]([C@H](OC(=N1)N)C(C)(F)F)F)c2cc(ccc2F)NC(=O)c3cnc(cn3)OCF']
0B6,['C[C@]1(C=C(OC(=N1)N)CF)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
0BI,['CC(C)c1cccc(c1)C2(CC2)NC[C@H]([C@@H]3Cc4cccc(c4)OCCCCNc5cc(cc(c5)C(=O)N3)COC)O']
0EW,['CCS(=O)(=O)[C@@]1(CC[C@@](N=C1N)(CF)c2cc(ccc2F)NC(=O)c3cc4c(cn3)OC(O4)(F)F)C']
0GH,['C[C@H](c1ccccc1)NC(=O)c2cc(cc(c2)N(C)S(=O)(=O)C)C(=O)N[C@@H](Cc3ccccc3)CN[C@@H]([C@@H](C)O)C(=O)NCC(C)C']
0GO,['CCCN1CCC[C@@]12CCN(C2=O)[C@@H](C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CNCc4cccc(c4)C(C)C)O']
0GS,['CC(c1cccc(c1)CN[C@H]2CS(=O)(=O)C[C@H]([C@@H]2O)Cc3cc(c(c(c3)Br)N)F)(F)F']
0GT,['CC(C)(C)c1cccc(c1)CN[C@H]2CS(=O)(=O)C[C@H]([C@@H]2O)Cc3ccc4c(c3)c(c[nH]4)CC(F)F']
0GU,['CC(C)(C)c1cccc(c1)CN[C@H]2CS(=O)(=O)C[C@H]([C@@H]2O)Cc3cc4c(c(c3)F)NCC45CCC(CC5)(F)F']
0K9,['C[C@H](C(=O)N[C@@H](Cc1cccc(c1)c2nccs2)[C@@H](CN[C@H]3CC4(CCC4)Oc5c3cc(cn5)CC(C)(C)C)O)OC']
0KK,['[H]/N=C/1\\NC(C(=O)N1C)(c2ccccc2)c3ccccc3']
0KM,['[H]/N=C/1\\N[C@](C(=O)N1C)(c2ccccc2)c3cccc(c3)c4cccc(c4)OC']
0KN,['C[C@H](C(=O)N[C@@H](Cc1ccc2c(c1)OCO2)[C@@H](CN[C@H]3CC4(CCC4)Oc5c3cc(cn5)CC(C)(C)C)O)OC']
0KP,['[H]/N=C/1\\N[C@](C(=O)N1C)(c2ccccc2)c3cccc(c3)c4cccnc4']
0KQ,['[H]/N=C/1\\N[C@@](C(=O)N1C)(c2cccc(c2)c3cc(cnc3)Cl)C4CC4']
0KR,['[H]/N=C/1\\N[C@@](C(=O)N1C)(c2cccc(c2)c3cc(cnc3)C#CC)C4CC4']
0LG,['CC(C)c1cccc(c1)CNC[C@H]([C@@H]2COC/C=C/C[C@H](NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N2)c4ccccc4)O']
0MP,['CC(=O)N[C@@H](Cc1ccc(cc1)F)[C@@H](CN[C@H]2CC3(CCC3)Oc4c2cc(cn4)CC(C)(C)C)O']
0N1,['Cc1cc2cc(c1)C(=O)N[C@@H](COC/C=C/C[C@@H](NC2=O)c3ccccc3)[C@@H](CNCc4cccc(c4)C(C)C)O']
0QQ,['C[C@@H]1[C@@H]([C@@](N=C(S1)N)(C)c2cc(ccc2F)NC(=O)c3cc4c(cn3)OCCO4)F']
0U4,['C[C@H](c1ccccc1)NC(=O)c2cc(cc(c2)N(C)S(=O)(=O)C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CNCCC4CCN(CC4)Cc5ccccc5)O']
0UP,['C[C@H]1C[C@]2(CCN1Cc3ccc(c(c3)OC(C)C)O)CN(S(=O)(=O)N2c4cccc(c4)F)C']
0UQ,['C[C@H]1C[C@]2(CCN1Cc3cccc(c3)OC(C)C)CN(S(=O)(=O)N2c4cccc(c4)F)C']
0V6,['[H]/N=C\\1/NC(CC(=O)N1C)(C)c2c(cc(s2)c3cc(cnc3)C#CC)Cl']
0VB,['[H]/N=C(\\NCc1cc(c(c(c1)Cl)NC(=O)C)C)/NC(=O)c2c(snc2c3ccc(cc3)OC)C']
0XA,['Cc1cc2cc(c1)C(=O)N[C@@H](COC/C=C/CCCC2=O)[C@@H](CNC(C)(C)c3ncc(o3)C(C)(C)C)O']
0ZA,['CC1(Cc2cc(ccc2C(=N1)N[C@@H](Cc3ccccc3)C4=NC(=O)ON4)Cl)C']
10J,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)C(=O)c3ccccc3)c4cc(cs4)c5cccc(c5)C#N']
10O,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3cccc(n3)OC)c4cc(cs4)c5cccc(c5)C#N']
10Q,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3c(cccn3)C#N)c4cc(cs4)c5cccc(c5)C#N']
10V,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3c(cccn3)OC)c4cc(cs4)c5cccc(c5)C#N']
10W,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3ccccc3)c4ccc(s4)c5ccc(c(c5)C#N)F']
13W,['[H]/N=C/1\\N[C@](CC(=O)N1C)(C)c2cc(cs2)c3cccc(c3)C#N']
18P,['C[C@]1(C(=O)N(CC(=N1)N)C)c2cccc(c2)NC(=O)c3ccc(cn3)Cl']
1B1,['CC#Cc1cc(cnc1)c2cccc(c2)[C@@]3(N=C(C(=N3)N)C)C4CC4']
1B7,['CCCc1cscc1C[C@@H](C(=O)O)NC2=NC(Cc3c2ccc(c3)Cl)(C)C']
1B8,['CC1(Cc2cc(ccc2C(=N1)N[C@@H](Cc3c(csc3Br)c4c[nH]nc4)C(=O)O)Cl)C']
1B9,['CC1(Cc2cc(ccc2C(=N1)N[C@@H](Cc3cscc3Br)C(=O)O)Cl)C']
1BB,['CC1(Cc2cc(ccc2C(=N1)N[C@@H](Cc3ccccc3)C4=NC(=O)C(=CN4)C#N)Cl)C']
1BC,['CCCc1c(c(cs1)c2c[nH]nc2)C[C@@H](C3=NC(=O)CC=N3)/N=C\\4/c5ccc(cc5CC(N4)(C)C)Cl']
1BE,['CCCc1c(c(cs1)c2c[nH]nc2)C[C@@H](C(=O)O)NC3=NC(Cc4c3ccc(c4)Cl)(C)C']
1BF,['CC1(Cc2cc(ccc2C(=N1)N[C@@H](Cc3cscc3c4c[nH]nc4)C(=O)O)Cl)C']
1BL,['CC(C)(C)c1cccc(c1)C2(CCCCC2)NC[C@H]([C@H](Cc3cc(cc(c3)F)F)NC(=O)CC[C@H](C(=O)O)O)O']
1BS,['CC1(Cc2cc(ccc2C(=N1)N[C@@H](Cc3ccccc3)C4=NC(=O)c5cnccc5N4)Cl)C']
1CH,['CC1(Cc2ccccc2C(=N1)N[C@@H](Cc3ccccc3)C(=O)O)C']
1H5,['c1cc(c(cc1NC(=O)c2ccc(cn2)C#N)[C@@]3([C@H](COC(=N3)N)F)CF)F']
1H6,['C[C@]1([C@@H](COC(=N1)N)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1H7,['C[C@]1([C@H](COC(=N1)N)F)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
1H8,['C[C@]1(CCOC(=N1)N)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N']
