Scaffold_ID,Recruiter_Count,Protein
BACE1_SCAF_1,1,BACE1
BACE1_SCAF_10,1,BACE1
BACE1_SCAF_100,1,BACE1
BACE1_SCAF_101,1,BACE1
BACE1_SCAF_102,1,BACE1
BACE1_SCAF_103,1,BACE1
BACE1_SCAF_104,1,BACE1
BACE1_SCAF_105,1,BACE1
BACE1_SCAF_106,1,BACE1
BACE1_SCAF_107,1,BACE1
BACE1_SCAF_108,1,BACE1
BACE1_SCAF_109,1,BACE1
BACE1_SCAF_11,1,BACE1
BACE1_SCAF_110,1,BACE1
BACE1_SCAF_111,1,BACE1
BACE1_SCAF_112,1,BACE1
BACE1_SCAF_113,2,BACE1
BACE1_SCAF_114,1,BACE1
BACE1_SCAF_115,1,BACE1
BACE1_SCAF_116,1,BACE1
BACE1_SCAF_117,1,BACE1
BACE1_SCAF_118,1,BACE1
BACE1_SCAF_119,1,BACE1
BACE1_SCAF_12,1,BACE1
BACE1_SCAF_120,1,BACE1
BACE1_SCAF_121,1,BACE1
BACE1_SCAF_122,2,BACE1
BACE1_SCAF_123,1,BACE1
BACE1_SCAF_124,3,BACE1
BACE1_SCAF_125,1,BACE1
BACE1_SCAF_126,1,BACE1
BACE1_SCAF_127,1,BACE1
BACE1_SCAF_128,1,BACE1
BACE1_SCAF_129,2,BACE1
BACE1_SCAF_13,1,BACE1
BACE1_SCAF_130,1,BACE1
BACE1_SCAF_131,1,BACE1
BACE1_SCAF_132,3,BACE1
BACE1_SCAF_133,1,BACE1
BACE1_SCAF_134,1,BACE1
BACE1_SCAF_135,1,BACE1
BACE1_SCAF_136,1,BACE1
BACE1_SCAF_137,1,BACE1
BACE1_SCAF_138,1,BACE1
BACE1_SCAF_139,1,BACE1
BACE1_SCAF_14,1,BACE1
BACE1_SCAF_140,1,BACE1
BACE1_SCAF_141,1,BACE1
BACE1_SCAF_142,2,BACE1
BACE1_SCAF_143,1,BACE1
BACE1_SCAF_144,1,BACE1
BACE1_SCAF_145,1,BACE1
BACE1_SCAF_146,1,BACE1
BACE1_SCAF_147,1,BACE1
BACE1_SCAF_148,1,BACE1
BACE1_SCAF_149,1,BACE1
BACE1_SCAF_15,1,BACE1
BACE1_SCAF_150,2,BACE1
BACE1_SCAF_151,1,BACE1
BACE1_SCAF_152,1,BACE1
BACE1_SCAF_153,1,BACE1
BACE1_SCAF_154,1,BACE1
BACE1_SCAF_155,1,BACE1
BACE1_SCAF_156,1,BACE1
BACE1_SCAF_157,1,BACE1
BACE1_SCAF_158,1,BACE1
BACE1_SCAF_159,1,BACE1
BACE1_SCAF_16,1,BACE1
BACE1_SCAF_160,2,BACE1
BACE1_SCAF_161,1,BACE1
BACE1_SCAF_162,1,BACE1
BACE1_SCAF_163,1,BACE1
BACE1_SCAF_164,1,BACE1
BACE1_SCAF_165,1,BACE1
BACE1_SCAF_166,1,BACE1
BACE1_SCAF_167,2,BACE1
BACE1_SCAF_168,2,BACE1
BACE1_SCAF_169,1,BACE1
BACE1_SCAF_17,1,BACE1
BACE1_SCAF_170,2,BACE1
BACE1_SCAF_171,1,BACE1
BACE1_SCAF_172,1,BACE1
BACE1_SCAF_173,1,BACE1
BACE1_SCAF_174,1,BACE1
BACE1_SCAF_175,1,BACE1
BACE1_SCAF_176,1,BACE1
BACE1_SCAF_177,3,BACE1
BACE1_SCAF_178,1,BACE1
BACE1_SCAF_179,1,BACE1
BACE1_SCAF_18,1,BACE1
BACE1_SCAF_180,1,BACE1
BACE1_SCAF_181,2,BACE1
BACE1_SCAF_182,3,BACE1
BACE1_SCAF_183,1,BACE1
BACE1_SCAF_184,1,BACE1
BACE1_SCAF_185,1,BACE1
BACE1_SCAF_186,1,BACE1
BACE1_SCAF_187,2,BACE1
BACE1_SCAF_188,13,BACE1
BACE1_SCAF_189,2,BACE1
BACE1_SCAF_19,1,BACE1
BACE1_SCAF_190,1,BACE1
BACE1_SCAF_191,1,BACE1
BACE1_SCAF_192,1,BACE1
BACE1_SCAF_193,1,BACE1
BACE1_SCAF_194,1,BACE1
BACE1_SCAF_195,1,BACE1
BACE1_SCAF_196,1,BACE1
BACE1_SCAF_197,1,BACE1
BACE1_SCAF_198,1,BACE1
BACE1_SCAF_199,1,BACE1
BACE1_SCAF_2,1,BACE1
BACE1_SCAF_20,1,BACE1
BACE1_SCAF_200,2,BACE1
BACE1_SCAF_201,1,BACE1
BACE1_SCAF_202,1,BACE1
BACE1_SCAF_203,1,BACE1
BACE1_SCAF_204,1,BACE1
BACE1_SCAF_205,1,BACE1
BACE1_SCAF_206,1,BACE1
BACE1_SCAF_207,1,BACE1
BACE1_SCAF_208,1,BACE1
BACE1_SCAF_209,1,BACE1
BACE1_SCAF_21,1,BACE1
BACE1_SCAF_210,1,BACE1
BACE1_SCAF_211,1,BACE1
BACE1_SCAF_212,1,BACE1
BACE1_SCAF_213,1,BACE1
BACE1_SCAF_214,1,BACE1
BACE1_SCAF_215,1,BACE1
BACE1_SCAF_216,3,BACE1
BACE1_SCAF_217,1,BACE1
BACE1_SCAF_218,1,BACE1
BACE1_SCAF_219,1,BACE1
BACE1_SCAF_22,2,BACE1
BACE1_SCAF_220,1,BACE1
BACE1_SCAF_221,1,BACE1
BACE1_SCAF_222,1,BACE1
BACE1_SCAF_223,1,BACE1
BACE1_SCAF_224,1,BACE1
BACE1_SCAF_225,1,BACE1
BACE1_SCAF_226,5,BACE1
BACE1_SCAF_227,1,BACE1
BACE1_SCAF_228,1,BACE1
BACE1_SCAF_229,1,BACE1
BACE1_SCAF_23,1,BACE1
BACE1_SCAF_230,2,BACE1
BACE1_SCAF_231,4,BACE1
BACE1_SCAF_232,2,BACE1
BACE1_SCAF_233,1,BACE1
BACE1_SCAF_234,1,BACE1
BACE1_SCAF_235,1,BACE1
BACE1_SCAF_236,1,BACE1
BACE1_SCAF_237,1,BACE1
BACE1_SCAF_238,1,BACE1
BACE1_SCAF_239,1,BACE1
BACE1_SCAF_24,1,BACE1
BACE1_SCAF_240,1,BACE1
BACE1_SCAF_241,2,BACE1
BACE1_SCAF_242,1,BACE1
BACE1_SCAF_243,1,BACE1
BACE1_SCAF_244,1,BACE1
BACE1_SCAF_245,1,BACE1
BACE1_SCAF_246,1,BACE1
BACE1_SCAF_247,1,BACE1
BACE1_SCAF_248,1,BACE1
BACE1_SCAF_249,1,BACE1
BACE1_SCAF_25,1,BACE1
BACE1_SCAF_250,1,BACE1
BACE1_SCAF_251,1,BACE1
BACE1_SCAF_252,1,BACE1
BACE1_SCAF_253,1,BACE1
BACE1_SCAF_254,1,BACE1
BACE1_SCAF_255,1,BACE1
BACE1_SCAF_256,1,BACE1
BACE1_SCAF_257,1,BACE1
BACE1_SCAF_258,1,BACE1
BACE1_SCAF_259,1,BACE1
BACE1_SCAF_26,1,BACE1
BACE1_SCAF_260,1,BACE1
BACE1_SCAF_261,1,BACE1
BACE1_SCAF_262,1,BACE1
BACE1_SCAF_263,1,BACE1
BACE1_SCAF_264,1,BACE1
