Target,pdb_id,Warhead,Residue_ID,Total_atoms,Exposed_atoms,SASA_in_complex_A2,%Exposed,%Buried,Chain,LigandX_Source,Ligand5_Source,Ligand_Resolved,Warhead_5,SMILES,Ion_Dropped,Ion_Drop_Reason,Parent_SMILES,Salt_Stripped
HER2,4d1o,GD,1482,1,1,120.572,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,4d1o,GD,1482,1,1,76.992,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9cw7,GD3,510,1,1,119.119,1.0,0.0,A,GD3,GD3,GD3,,,True,inorganic_small_no_carbon,,False
HER2,9cw7,GD3,511,2,2,194.658,1.0,0.0,B,GD3,GD3,GD3,,,True,inorganic_small_no_carbon,,False
HER2,9cw7,GD3,509,1,1,74.086,1.0,0.0,D,GD3,GD3,GD3,,,True,inorganic_small_no_carbon,,False
HER2,9cwk,GD3,511,1,1,116.214,1.0,0.0,A,GD3,GD3,GD3,,,True,inorganic_small_no_carbon,,False
HER2,9cwk,GD3,509,1,1,76.992,1.0,0.0,B,GD3,GD3,GD3,,,True,inorganic_small_no_carbon,,False
HER2,9cwk,GD3,509,1,1,116.214,1.0,0.0,C,GD3,GD3,GD3,,,True,inorganic_small_no_carbon,,False
HER2,9cwk,GD3,509,1,1,74.086,1.0,0.0,D,GD3,GD3,GD3,,,True,inorganic_small_no_carbon,,False
HER2,9mwn,GD,509,1,1,114.761,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwn,GD,508,1,1,76.992,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwn,GD,509,1,1,74.086,1.0,0.0,D,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwp,GD,511,1,1,117.666,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwp,GD,511,1,1,74.086,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwr,GD,511,1,1,117.666,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwr,GD,509,1,1,74.086,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwr,GD,510,1,1,120.572,1.0,0.0,C,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwr,GD,509,1,1,75.539,1.0,0.0,D,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwt,GD,511,2,2,241.144,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwt,GD,508,1,1,68.276,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwt,GD,509,1,1,116.214,1.0,0.0,C,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwt,GD,510,1,1,76.992,1.0,0.0,D,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwu,GD,511,1,1,117.666,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwu,GD,510,1,1,76.992,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwv,GD,511,1,1,117.666,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwv,GD,511,1,1,72.634,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mwv,GD,510,1,1,74.086,1.0,0.0,D,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mww,GD,510,1,1,75.539,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mww,GD,511,1,1,117.666,1.0,0.0,C,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mww,GD,512,2,2,194.658,1.0,0.0,D,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mz3,GD,512,1,1,117.666,1.0,0.0,A,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mz3,GD,510,1,1,76.992,1.0,0.0,B,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mz3,GD,511,1,1,119.119,1.0,0.0,C,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
HER2,9mz3,GD,511,1,1,75.539,1.0,0.0,D,GD,GD,GD,,,True,inorganic_small_no_carbon,,False
