Ligand,Name,Formula,Type,SMILES,Parent_SMILES,Salt_Stripped,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
AF3,ALUMINUM FLUORIDE,Al F3,non-polymer,F[Al](F)F,F[Al](F)F,False,F[Al](F)F,InChI=1S/Al.3FH/h;3*1H/q+3;;;/p-3,KLZUFWVZNOTSEM-UHFFFAOYSA-K,83.97600000000001,0.8798,0.0,0,0,0,0,0,0.0,4,0,0,0.3819633611952561,8.0,0.3224675324675323,4.322467532467531,1.6234486527427145,39.06139055781152,0,0,0,0,0,4,9.078000000000001,nan,True,True,True,False,False,None,None
CYN,CYANIDE ION,C N,non-polymer,[C-]#N,[C-]#N,False,[C-]#N,InChI=1S/CN/c1-2/q-1,XFXPMWWXUTWYJX-UHFFFAOYSA-N,26.018,0.09637,23.79,1,0,0,0,0,0.0,2,0,-1,0.3443743454706558,6.754887502163469,-0.51,1.49,0.49000000000000005,-4.47078431372549,0,0,0,0,0,1,4.968,nan,True,True,True,False,False,None,Carbo_cation/anion
DDQ,"DECYLAMINE-N,N-DIMETHYL-N-OXIDE",C12 H27 N O,non-polymer,CCCCCCCCCC[N+](C)(C)[O-],CCCCCCCCCC[N+](C)(C)[O-],False,CCCCCCCCCC[N+](C)(C)[O-],"InChI=1S/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3",ZRKZFNZPJKEWPC-UHFFFAOYSA-N,201.35399999999998,3.7013000000000025,23.06,1,0,9,0,0,1.0,14,0,0,0.3167398219742193,117.98036176408122,-0.08,13.92,8.246646493541963,11.920000000000002,0,0,0,0,0,2,62.95240000000006,nan,True,True,True,False,True,None,Aliphatic_long_chain; Oxygen-nitrogen_single_bond; quaternary_nitrogen_2
ORO,OROTIC ACID,C5 H4 N2 O4,non-polymer,C1=C(NC(=O)NC1=O)C(=O)O,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,False,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)",PXQPEWDEAKTCGB-UHFFFAOYSA-N,156.09699999999998,-1.2386000000000001,103.02,3,3,1,1,1,0.0,11,0,0,0.472751724776492,359.7091580824157,-1.85,7.259289617486338,2.409451488383525,1.5395541210403427,0,0,0,1,0,6,34.64269999999999,nan,True,True,True,False,False,None,None
UCK,"(2S,4R)-1-(2-chlorophenyl)carbonyl-N-[(4-chlorophenyl)methyl]-4-oxidanyl-pyrrolidine-2-carboxamide",C19 H18 Cl2 N2 O3,non-polymer,c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,O=C(NCc1ccc(Cl)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1Cl,False,O=C(NCc1ccc(Cl)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1Cl,"InChI=1S/C19H18Cl2N2O3/c20-13-7-5-12(6-8-13)10-22-18(25)17-9-14(24)11-23(17)19(26)15-3-1-2-4-16(15)21/h1-8,14,17,24H,9-11H2,(H,22,25)/t14-,17+/m1/s1",POSPLUDREYFAQC-PBHICJAKSA-N,393.27,2.8852000000000007,69.64,3,2,4,3,2,0.2631578947368421,26,0,0,0.8395595278092016,810.6864614788276,-2.079999999999999,18.703393347050756,8.079273836199967,4.177633061223353,0,0,1,2,1,7,100.19900000000003,nan,True,True,True,True,True,None,None
FMN,FLAVIN MONONUCLEOTIDE,C17 H21 N4 O9 P,non-polymer,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,False,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,"InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1",FVTCRASFADXXNN-SCRDCRAPSA-N,456.34800000000007,-1.6065600000000007,208.08999999999997,10,6,7,3,1,0.4117647058823529,31,0,0,0.17602034933594105,1250.741503811513,-2.5100000000000002,23.15938807824662,8.5533120621065,5.0469206072538855,0,0,2,1,0,14,106.53120000000001,nan,True,False,False,False,False,None,phosphor; Polycyclic_aromatic_hydrocarbon_2
R2C,5-METHOXY-2-[(4-PHENOXYPHENYL)AMINO]BENZOIC ACID,C20 H17 N O4,non-polymer,COc1ccc(c(c1)C(=O)O)Nc2ccc(cc2)Oc3ccccc3,COc1ccc(Nc2ccc(Oc3ccccc3)cc2)c(C(=O)O)c1,False,COc1ccc(Nc2ccc(Oc3ccccc3)cc2)c(C(=O)O)c1,"InChI=1S/C20H17NO4/c1-24-17-11-12-19(18(13-17)20(22)23)21-14-7-9-16(10-8-14)25-15-5-3-2-4-6-15/h2-13,21H,1H3,(H,22,23)",YJRDHMUPONVWTE-UHFFFAOYSA-N,335.3590000000001,4.929300000000003,67.79,4,2,6,3,3,0.05,25,0,0,0.6683878959398957,860.6244478342722,-3.469999999999999,16.38996681362184,7.3998907740486715,4.087106229695139,0,0,0,3,0,5,96.19400000000002,nan,True,True,True,True,True,anthranil_acid_G(1),None
ARG,ARGININE,C6 H15 N4 O2,L-peptide linking,C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,NC(=[NH2+])NCCC[C@H](N)C(=O)O,False,NC(=[NH2+])NCCC[C@H](N)C(=O)O,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-O,175.212,-3.1580999999999992,126.96,2,5,5,0,0,0.6666666666666666,12,0,1,0.1711366296479456,170.93102051518318,-1.3,10.7,5.363379355687048,5.482229779997874,0,0,0,0,0,6,43.96769999999999,nan,True,True,True,False,False,None,Aliphatic_long_chain; imine_1; imine_2
TG0,"(2S,4R)-1-(3-amino-2-methylbenzoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",C24 H26 N4 O3 S,non-polymer,Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)c2cccc(N)c2C)cc1,False,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)c2cccc(N)c2C)cc1,"InChI=1S/C24H26N4O3S/c1-14-19(4-3-5-20(14)25)24(31)28-12-18(29)10-21(28)23(30)26-11-16-6-8-17(9-7-16)22-15(2)27-13-32-22/h3-9,13,18,21,29H,10-12,25H2,1-2H3,(H,26,30)/t18-,21+/m1/s1",AFUSGLDYQSDIEU-NQIIRXRSSA-N,450.5640000000002,2.9009400000000016,108.55000000000001,6,3,5,4,3,0.2916666666666667,32,0,0,0.5181487231129919,1142.4010224816598,-3.2299999999999986,21.981493254604107,9.097831358849913,4.37163983151679,0,0,1,3,1,8,125.17340000000002,nan,True,True,True,True,True,None,aniline
H4B,"5,6,7,8-TETRAHYDROBIOPTERIN",C9 H15 N5 O3,non-polymer,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,False,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,"InChI=1S/C9H15N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3-4,6,12,15-16H,2H2,1H3,(H4,10,11,13,14,17)/t3-,4+,6-/m0/s1",FNKQXYHWGSIFBK-RPDRRWSUSA-N,241.25100000000003,-1.7001999999999988,136.29,7,6,2,2,1,0.5555555555555556,17,0,0,0.3628643483841515,472.1893969400922,-1.7999999999999998,11.678585581466239,4.2247933884297515,2.1711949375410913,0,0,1,1,0,8,62.8581,nan,True,True,False,False,False,None,None
6T4,"~{N}-(4-methyl-1,3-thiazol-2-yl)ethanamide",C6 H8 N2 O S,non-polymer,Cc1csc(n1)NC(=O)C,CC(=O)Nc1nc(C)cs1,False,CC(=O)Nc1nc(C)cs1,"InChI=1S/C6H8N2OS/c1-4-3-10-6(7-4)8-5(2)9/h3H,1-2H3,(H,7,8,9)",DPDJXTANWGNJOE-UHFFFAOYSA-N,156.21,1.4099199999999998,41.99,3,1,1,1,1,0.3333333333333333,10,0,0,0.6675729203055834,243.65078463636775,-0.9000000000000001,7.20989010989011,2.78888737108121,1.8044600778635338,0,0,0,1,0,4,41.15470000000001,nan,True,True,True,False,False,None,None
