Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
9QY,HER2,5vyy,A,301,5vyy_A_9QY_301,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=27 vs 3D=46
GD,HER2,4d1o,A,1482,4d1o_A_GD_1482,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,4d1o,B,1482,4d1o_B_GD_1482,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwn,B,508,9mwn_B_GD_508,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwn,A,509,9mwn_A_GD_509,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwn,D,509,9mwn_D_GD_509,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwp,A,511,9mwp_A_GD_511,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwp,B,511,9mwp_B_GD_511,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwr,B,509,9mwr_B_GD_509,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwr,D,509,9mwr_D_GD_509,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwr,C,510,9mwr_C_GD_510,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwr,A,511,9mwr_A_GD_511,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwt,A,508,9mwt_A_GD_508,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwt,B,508,9mwt_B_GD_508,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwt,C,509,9mwt_C_GD_509,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwt,D,510,9mwt_D_GD_510,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwt,A,511,9mwt_A_GD_511,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwu,B,510,9mwu_B_GD_510,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
GD,HER2,9mwu,A,511,9mwu_A_GD_511,NO_2D_OUTPUT_ALL,,MISSING_2D,Missing SMILES (tried ['GD'])
