Target,pdb_id,Chain,Warhead,Residue_ID,pdb_path,reason
HER2,9cw7,A,A00,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cw7_A_A00.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9cw7,B,A00,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cw7_B_A00.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9cw7,C,A00,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cw7_C_A00.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9cw7,D,A00,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cw7_D_A00.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9cwk,A,A01,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cwk_A_A01.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9cwk,B,A01,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cwk_B_A01.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9cwk,C,A01,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cwk_C_A01.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9cwk,D,A01,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9cwk_D_A01.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9i64,A,A02,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9i64_A_A02.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwp,A,A03,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwp_A_A03.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwp,B,A03,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwp_B_A03.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwr,A,A04,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwr_A_A04.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwr,B,A04,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwr_B_A04.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwr,C,A04,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwr_C_A04.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwr,D,A04,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwr_D_A04.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwt,A,A05,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwt_A_A05.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwt,B,A05,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwt_B_A05.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwt,C,A05,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwt_C_A05.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwt,D,A05,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwt_D_A05.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwu,A,A06,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwu_A_A06.pdb,No unique matching SDF in MCS_Output/MCS_SDF
HER2,9mwu,B,A06,,/app/jobs/8c9ee94e/WAR_PDB/HER2/9mwu_B_A06.pdb,No unique matching SDF in MCS_Output/MCS_SDF
