Rank,Ligand_Resolved,PDB_List,Count
1,0WM,['4g5j'],1
2,0WN,['4g5j'],1
3,6T4,['5b8d'],1
4,6T5,['5kh9'],1
5,9QY,['5vyy'],1
6,9ZV,['5wbn'],1
7,A1A0C,['9cwk'],1
8,A1A0E,['9cw7'],1
9,A1B7W,['9o0r'],1
10,A1BT1,['9mwp'],1
11,A1BT2,['9mwu'],1
12,A1BT6,['9mwt'],1
13,A1BT9,['9mwv'],1
14,A1BTV,['9mwr'],1
15,A1BTW,['9mww'],1
16,A1BUH,['9mz3'],1
17,A1CII,['9piz'],1
18,A1I0H,['9i64'],1
19,AF3,['1g4u'],1
20,ARG,['4d1o'],1
21,COA,['6ehj'],1
22,CYN,"['1d5l', '1d7w']",2
23,DDQ,['2prl'],1
24,FMN,['2prl'],1
25,FRZ,['5v61'],1
26,GSH,['7bia'],1
27,H44,['9mwn'],1
28,H4B,"['4d1o', '9cw7', '9cwk', '9mwn', '9mwp', '9mwr', '9mwt', '9mwu', '9mwv', '9mww', '9mz3']",11
29,MRD,['5li9'],1
30,MYA,['6ehj'],1
31,NL7,['6p0i'],1
32,NLJ,['6p0l'],1
33,NLM,['6p0m'],1
34,NLS,['6p0n'],1
35,NLV,['6p0k'],1
36,ORO,['2prl'],1
37,PRO,['6ehj'],1
38,Q0A,['6u65'],1
39,R27,['6vcu'],1
40,R2C,['2prl'],1
41,SER,['6ehj'],1
42,TG0,['4b9k'],1
43,TVQ,['7bia'],1
44,UCK,['4b95'],1
45,VJH,['7nzn'],1
46,W49,['8ouu'],1
