base,error,detail
4d1o_A_GD_1482,missing_smiles,smiles_id=
4d1o_B_GD_1482,missing_smiles,smiles_id=
9mwn_B_GD_508,missing_smiles,smiles_id=
9mwn_A_GD_509,missing_smiles,smiles_id=
9mwn_D_GD_509,missing_smiles,smiles_id=
9mwp_A_GD_511,missing_smiles,smiles_id=
9mwp_B_GD_511,missing_smiles,smiles_id=
9mwr_B_GD_509,missing_smiles,smiles_id=
9mwr_D_GD_509,missing_smiles,smiles_id=
9mwr_C_GD_510,missing_smiles,smiles_id=
9mwr_A_GD_511,missing_smiles,smiles_id=
9mwt_A_GD_508,missing_smiles,smiles_id=
9mwt_B_GD_508,missing_smiles,smiles_id=
9mwt_C_GD_509,missing_smiles,smiles_id=
9mwt_D_GD_510,missing_smiles,smiles_id=
9mwt_A_GD_511,missing_smiles,smiles_id=
9mwu_B_GD_510,missing_smiles,smiles_id=
9mwu_A_GD_511,missing_smiles,smiles_id=
9mwv_D_GD_510,missing_smiles,smiles_id=
9mwv_A_GD_511,missing_smiles,smiles_id=
9mwv_B_GD_511,missing_smiles,smiles_id=
9mww_D_GD_501,missing_smiles,smiles_id=
9mww_B_GD_510,missing_smiles,smiles_id=
9mww_C_GD_511,missing_smiles,smiles_id=
9mww_D_GD_512,missing_smiles,smiles_id=
9mz3_B_GD_510,missing_smiles,smiles_id=
9mz3_C_GD_511,missing_smiles,smiles_id=
9mz3_D_GD_511,missing_smiles,smiles_id=
9mz3_A_GD_512,missing_smiles,smiles_id=
9cw7_B_GD3_509,missing_smiles,smiles_id=
9cw7_D_GD3_509,missing_smiles,smiles_id=
9cw7_A_GD3_510,missing_smiles,smiles_id=
9cw7_B_GD3_511,missing_smiles,smiles_id=
9cwk_B_GD3_509,missing_smiles,smiles_id=
9cwk_C_GD3_509,missing_smiles,smiles_id=
9cwk_D_GD3_509,missing_smiles,smiles_id=
9cwk_A_GD3_511,missing_smiles,smiles_id=
