Target,pdb_id,Warhead,Residue_ID,Total_atoms,Exposed_atoms,SASA_in_complex_A2,%Exposed,%Buried,Chain,LigandX_Source,Ligand5_Source,Ligand_Resolved,Warhead_5,SMILES,Ion_Dropped,Ion_Drop_Reason,Parent_SMILES,Salt_Stripped
HER2,1d7w,CYN,1603,2,2,73.116,1.0,0.0,A,CYN,CYN,CYN,,[C-]#N,False,,[C-]#N,False
HER2,1d5l,CYN,2602,2,2,73.8,1.0,0.0,A,CYN,CYN,CYN,,[C-]#N,False,,[C-]#N,False
HER2,1d5l,CYN,1603,2,2,70.177,1.0,0.0,B,CYN,CYN,CYN,,[C-]#N,False,,[C-]#N,False
HER2,1d7w,CYN,205,2,2,73.458,1.0,0.0,B,CYN,CYN,CYN,,[C-]#N,False,,[C-]#N,False
HER2,1g4u,AF3,1002,4,3,27.965,0.75,0.25,R,AF3,AF3,AF3,,F[Al](F)F,False,,F[Al](F)F,False
HER2,2prl,DDQ,700,14,12,128.926,0.857,0.143,A,DDQ,DDQ,DDQ,,CCCCCCCCCC[N+](C)(C)[O-],False,,CCCCCCCCCC[N+](C)(C)[O-],False
HER2,2prl,FMN,398,31,8,17.75,0.258,0.742,A,FMN,FMN,FMN,,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,False,,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,False
HER2,2prl,ORO,399,11,9,27.868,0.818,0.182,A,ORO,ORO,ORO,,C1=C(NC(=O)NC1=O)C(=O)O,False,,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,False
HER2,4b95,UCK,1206,26,14,184.002,0.538,0.462,C,UCK,UCK,UCK,,c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,False,,O=C(NCc1ccc(Cl)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1Cl,False
HER2,4b95,UCK,1206,26,15,190.179,0.577,0.423,F,UCK,UCK,UCK,,c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,False,,O=C(NCc1ccc(Cl)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1Cl,False
HER2,4b95,UCK,1206,26,14,203.756,0.538,0.462,I,UCK,UCK,UCK,,c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,False,,O=C(NCc1ccc(Cl)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1Cl,False
HER2,4b95,UCK,1206,26,15,188.832,0.577,0.423,L,UCK,UCK,UCK,,c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,False,,O=C(NCc1ccc(Cl)cc1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccccc1Cl,False
HER2,2prl,R2C,400,25,8,28.847,0.32,0.68,A,R2C,R2C,R2C,,COc1ccc(c(c1)C(=O)O)Nc2ccc(cc2)Oc3ccccc3,False,,COc1ccc(Nc2ccc(Oc3ccccc3)cc2)c(C(=O)O)c1,False
HER2,4b9k,TG0,1203,32,17,228.456,0.531,0.469,C,TG0,TG0,TG0,,Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,False,,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)c2cccc(N)c2C)cc1,False
HER2,4b9k,TG0,1210,32,16,239.303,0.5,0.5,F,TG0,TG0,TG0,,Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,False,,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)c2cccc(N)c2C)cc1,False
HER2,4b9k,TG0,1206,32,17,237.617,0.531,0.469,I,TG0,TG0,TG0,,Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,False,,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)c2cccc(N)c2C)cc1,False
HER2,4b9k,TG0,1209,32,16,228.935,0.5,0.5,L,TG0,TG0,TG0,,Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,False,,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)c2cccc(N)c2C)cc1,False
HER2,4d1o,ARG,700,309,190,2532.31,0.615,0.385,A,ARG,ARG,ARG,,C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,False,,NC(=[NH2+])NCCC[C@H](N)C(=O)O,False
HER2,4d1o,H4B,1481,17,13,170.643,0.765,0.235,A,H4B,H4B,H4B,,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,False,,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,False
HER2,4d1o,H4B,1481,17,14,181.192,0.824,0.176,B,H4B,H4B,H4B,,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,False,,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,False
HER2,4d1o,ARG,700,309,186,2604.41,0.602,0.398,B,ARG,ARG,ARG,,C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,False,,NC(=[NH2+])NCCC[C@H](N)C(=O)O,False
HER2,5b8d,6T4,1306,10,7,89.291,0.7,0.3,A,6T4,6T4,6T4,,Cc1csc(n1)NC(=O)C,False,,CC(=O)Nc1nc(C)cs1,False
HER2,4g5j,0WN,1101,34,17,197.35,0.5,0.5,A,0WN,0WN,0WN,,CN(C)CCCC(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,False,,CN(C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,False
HER2,5kh9,6T5,1305,18,13,263.878,0.722,0.278,A,6T5,6T5,6T5,,CC1=NNC(=O)N=C1Nc2ccc(cc2)C(C)C,False,,Cc1n[nH]c(=O)nc1Nc1ccc(C(C)C)cc1,False
HER2,4g5j,0WM,1103,68,62,962.706,0.912,0.088,A,0WM,0WM,0WM,,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,False,,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,False
HER2,5v61,FRZ,801,25,24,493.037,0.96,0.04,I,FRZ,FRZ,FRZ,,c1ccc(cc1)c2c(c3ccccn3n2)c4cc5c(n[nH]c5nn4)N,False,,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,False
HER2,5wbn,9ZV,1304,27,14,187.221,0.519,0.481,A,9ZV,9ZV,9ZV,,c1ccc(cc1)CC2=NN3C(=Nc4ccccc4C3=NC2=O)CCC(=O)O,False,,O=C(O)CCc1nc2ccccc2c2nc(=O)c(Cc3ccccc3)nn12,False
HER2,5vyy,9QY,301,46,11,85.757,0.239,0.761,A,9QY,9QY,9QY,,COC(=O)c1c(cc(c(c1CCc2nccn2Cc3ccccc3)Cl)O)O,False,,COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccccc1,False
HER2,5li9,MRD,610,8,5,90.418,0.625,0.375,A,MRD,MRD,MRD,,C[C@H](CC(C)(C)O)O,False,,C[C@@H](O)CC(C)(C)O,False
HER2,6ehj,COA,513,48,22,197.846,0.458,0.542,A,COA,COA,COA,,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,False,,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,False
HER2,6ehj,MYA,503,63,22,177.903,0.349,0.651,A,MYA,MYA,MYA,,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,False,,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,False
HER2,6ehj,PRO,510,175,95,1024.25,0.543,0.457,A,PRO,PRO,PRO,,C1C[C@H](NC1)C(=O)O,False,,O=C(O)[C@@H]1CCCN1,False
