Warhead,Target
0WM,['HER2']
0WN,['HER2']
6T4,['HER2']
6T5,['HER2']
9QY,['HER2']
9ZV,['HER2']
A00,['HER2']
A01,['HER2']
A03,['HER2']
A04,['HER2']
A05,['HER2']
A06,['HER2']
A07,['HER2']
A08,['HER2']
A09,['HER2']
A10,['HER2']
AF3,['HER2']
ARG,['HER2']
COA,['HER2']
CYN,['HER2']
DDQ,['HER2']
FMN,['HER2']
FRZ,['HER2']
GSH,['HER2']
H44,['HER2']
H4B,['HER2']
MRD,['HER2']
MYA,['HER2']
NL7,['HER2']
NLJ,['HER2']
NLM,['HER2']
NLS,['HER2']
NLV,['HER2']
ORO,['HER2']
PRO,['HER2']
Q0A,['HER2']
R27,['HER2']
R2C,['HER2']
SER,['HER2']
TG0,['HER2']
TVQ,['HER2']
UCK,['HER2']
VJH,['HER2']
W49,['HER2']
