SMILES,Warhead
C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,['GSH']
C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,['ARG']
C([C@@H](C(=O)O)N)O,['SER']
C1=C(NC(=O)NC1=O)C(=O)O,['ORO']
C1C[C@H](NC1)C(=O)O,['PRO']
CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,['COA']
CC1=NNC(=O)N=C1Nc2ccc(cc2)C(C)C,['6T5']
CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,['MYA']
CCCCCCCCCC[N+](C)(C)[O-],['DDQ']
CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,['0WM']
CN(C)CCCC(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,['0WN']
CN1CCC[C@H]1COc2nc3c(c(n2)N4CCN([C@H](C4)CC#N)C(=O)C(=C)F)CCN(C3)c5cccc6c5c(ccc6)Cl,['A10']
COC(=O)c1c(cc(c(c1CCc2nccn2Cc3ccccc3)Cl)O)O,['9QY']
COc1c(cccn1)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,['NLJ']
COc1cc(cnc1)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,['NL7']
COc1ccc(c(c1)C(=O)O)Nc2ccc(cc2)Oc3ccccc3,['R2C']
CS(=O)CCCN=C=S,['TVQ']
C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,['H4B']
C[C@@H](c1ccccc1)N2C=C(C(=O)NC2=O)c3cc(cc4c3[nH]nc4C#C)F,['W49']
C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](C/C(=N/NC(=O)C)/[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,['R27']
C[C@H](CC(C)(C)O)O,['MRD']
Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,['TG0']
Cc1cc([nH]n1)Nc2cc(nc(n2)Nc3ccc(cc3)CC(=O)Nc4cccc(c4)F)c5cnn(c5)CCN(C)C,['VJH']
Cc1cc(nc(c1)N)c2cc(cc(c2F)F)CCNC,['A01']
Cc1cc(nc(c1)N)c2cc(cnc2)CNC,['A00']
Cc1cc(nc2c1cc(c(c2)c3ccc(cc3O)CCN)F)N,['A09']
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,['FMN']
Cc1csc(n1)NC(=O)C,['6T4']
F[Al](F)F,['AF3']
[C-]#N,['CYN']
[H]/N=C(/c1ccco1)\Nc2cccc(c2)CCNCc3cccc(c3)N/C(=N/[H])/c4ccco4,['A05']
[H]/N=C(/c1cccs1)\Nc2ccc(cc2)CCNCc3cccc(c3)N/C(=N/[H])/c4cccs4,['H44']
[H]/N=C(\c1ccco1)/Nc2cccc(c2)CNCCc3ccc(cc3CN)c4ccccc4,['A06']
[H]/N=C(\c1cccs1)/Nc2cccc(c2)CNCCc3ccc(cc3CN)c4ccccc4,['A07']
[H]/N=C(\c1ccoc1)/Nc2ccc(cc2)CCNCc3cccc(c3)N/C(=N\[H])/c4ccoc4,['A03']
[H]/N=C(\c1cncs1)/Nc2cccc(c2)CNCCc3ccc(cc3CN)c4ccccc4,['A08']
[H]/N=C(\c1nccs1)/Nc2ccc(cc2)CCNCc3cccc(c3)N/C(=N\[H])/c4nccs4,['A04']
c1cc(c(nc1)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O)Cl,['NLM']
c1cc(nc(c1)Cl)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,['NLV']
c1cc(nc(c1)F)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,['NLS']
c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,['UCK']
c1ccc(cc1)CC2=NN3C(=Nc4ccccc4C3=NC2=O)CCC(=O)O,['9ZV']
c1ccc(cc1)CCSc2ccc(c(c2)C(=O)O)NS(=O)(=O)N3CCN(CC3)Cc4ccc(cc4)F,['Q0A']
c1ccc(cc1)c2c(c3ccccn3n2)c4cc5c(n[nH]c5nn4)N,['FRZ']
