Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
HER2,CYN,[C-]#N,HER2_SCAF_1,,838cefda
HER2,AF3,F[Al](F)F,HER2_SCAF_2,,000eef24
HER2,DDQ,CCCCCCCCCC[N+](C)(C)[O-],HER2_SCAF_3,,f35e9414
HER2,FMN,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,HER2_SCAF_4,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,d3f2f215
HER2,ORO,C1=C(NC(=O)NC1=O)C(=O)O,HER2_SCAF_5,O=c1cc[nH]c(=O)[nH]1,ec1d64b5
HER2,UCK,c1ccc(c(c1)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)Cl)O)Cl,HER2_SCAF_6,O=C(NCc1ccccc1)[C@@H]1CCCN1C(=O)c1ccccc1,74c61762
HER2,R2C,COc1ccc(c(c1)C(=O)O)Nc2ccc(cc2)Oc3ccccc3,HER2_SCAF_7,c1ccc(Nc2ccc(Oc3ccccc3)cc2)cc1,0c932bc6
HER2,TG0,Cc1c(cccc1N)C(=O)N2C[C@@H](C[C@H]2C(=O)NCc3ccc(cc3)c4c(ncs4)C)O,HER2_SCAF_8,O=C(NCc1ccc(-c2cncs2)cc1)[C@@H]1CCCN1C(=O)c1ccccc1,7853869a
HER2,ARG,C(C[C@@H](C(=O)O)N)CNC(=[NH2+])N,HER2_SCAF_9,,1efbb560
HER2,H4B,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,HER2_SCAF_10,O=c1[nH]cnc2c1NCCN2,88e509bc
HER2,6T4,Cc1csc(n1)NC(=O)C,HER2_SCAF_11,c1cscn1,1bfde91c
HER2,0WN,CN(C)CCCC(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,HER2_SCAF_12,c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1,f86c20e7
HER2,6T5,CC1=NNC(=O)N=C1Nc2ccc(cc2)C(C)C,HER2_SCAF_13,O=c1nc(Nc2ccccc2)cn[nH]1,69d42dff
HER2,0WM,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,HER2_SCAF_12,c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1,f86c20e7
HER2,FRZ,c1ccc(cc1)c2c(c3ccccn3n2)c4cc5c(n[nH]c5nn4)N,HER2_SCAF_14,c1ccc(-c2nn3ccccc3c2-c2cc3cn[nH]c3nn2)cc1,0cf04cc9
HER2,9ZV,c1ccc(cc1)CC2=NN3C(=Nc4ccccc4C3=NC2=O)CCC(=O)O,HER2_SCAF_15,O=c1nc2c3ccccc3ncn2nc1Cc1ccccc1,61ce348f
HER2,9QY,COC(=O)c1c(cc(c(c1CCc2nccn2Cc3ccccc3)Cl)O)O,HER2_SCAF_16,c1ccc(CCc2nccn2Cc2ccccc2)cc1,a853b5c0
HER2,MRD,C[C@H](CC(C)(C)O)O,HER2_SCAF_17,,01a21b86
HER2,COA,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,HER2_SCAF_18,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
HER2,MYA,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,HER2_SCAF_18,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
HER2,PRO,C1C[C@H](NC1)C(=O)O,HER2_SCAF_19,C1CCNC1,0c9c5086
HER2,SER,C([C@@H](C(=O)O)N)O,HER2_SCAF_20,,cc8bd527
HER2,NL7,COc1cc(cnc1)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,HER2_SCAF_21,O=S(=O)(Nc1cccnc1)c1ccccc1,dc5a1bab
HER2,NLV,c1cc(nc(c1)Cl)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,HER2_SCAF_22,O=S(=O)(Nc1ccccn1)c1ccccc1,e0534dde
HER2,NLJ,COc1c(cccn1)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,HER2_SCAF_21,O=S(=O)(Nc1cccnc1)c1ccccc1,dc5a1bab
HER2,Q0A,c1ccc(cc1)CCSc2ccc(c(c2)C(=O)O)NS(=O)(=O)N3CCN(CC3)Cc4ccc(cc4)F,HER2_SCAF_23,O=S(=O)(Nc1ccc(SCCc2ccccc2)cc1)N1CCN(Cc2ccccc2)CC1,b99ef1a2
HER2,NLM,c1cc(c(nc1)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O)Cl,HER2_SCAF_22,O=S(=O)(Nc1ccccn1)c1ccccc1,e0534dde
HER2,NLS,c1cc(nc(c1)F)NS(=O)(=O)c2ccc(cc2)S(=O)(=O)O,HER2_SCAF_22,O=S(=O)(Nc1ccccn1)c1ccccc1,e0534dde
HER2,R27,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](C/C(=N/NC(=O)C)/[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,HER2_SCAF_24,N=C1C/C=C/CCCC[C@@H]2CCCC(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C=C/C2CCCCC2)CCC1,f0d08a2a
HER2,GSH,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,HER2_SCAF_25,,e18f9f7a
HER2,TVQ,CS(=O)CCCN=C=S,HER2_SCAF_26,,d6dca598
HER2,W49,C[C@@H](c1ccccc1)N2C=C(C(=O)NC2=O)c3cc(cc4c3[nH]nc4C#C)F,HER2_SCAF_27,O=c1[nH]c(=O)n(Cc2ccccc2)cc1-c1cccc2cn[nH]c12,41e58e48
HER2,A1A0E,Cc1cc(nc(c1)N)c2cc(cnc2)CNC,HER2_SCAF_28,c1ccc(-c2cccnc2)nc1,98e4593c
HER2,VJH,Cc1cc([nH]n1)Nc2cc(nc(n2)Nc3ccc(cc3)CC(=O)Nc4cccc(c4)F)c5cnn(c5)CCN(C)C,HER2_SCAF_29,O=C(Cc1ccc(Nc2nc(Nc3ccn[nH]3)cc(-c3cn[nH]c3)n2)cc1)Nc1ccccc1,76ceef99
HER2,A1A0C,Cc1cc(nc(c1)N)c2cc(cc(c2F)F)CCNC,HER2_SCAF_30,c1ccc(-c2ccccn2)cc1,b90527ca
HER2,H44,[H]/N=C(/c1cccs1)\Nc2ccc(cc2)CCNCc3cccc(c3)N/C(=N/[H])/c4cccs4,HER2_SCAF_31,N=C(Nc1ccc(CCNCc2cccc(NC(=N)c3cccs3)c2)cc1)c1cccs1,b15b4f7a
HER2,A1BT1,[H]/N=C(\c1ccoc1)/Nc2ccc(cc2)CCNCc3cccc(c3)N/C(=N\[H])/c4ccoc4,HER2_SCAF_32,N=C(Nc1ccc(CCNCc2cccc(NC(=N)c3ccoc3)c2)cc1)c1ccoc1,8818a12c
HER2,A1BTV,[H]/N=C(\c1nccs1)/Nc2ccc(cc2)CCNCc3cccc(c3)N/C(=N\[H])/c4nccs4,HER2_SCAF_33,N=C(Nc1ccc(CCNCc2cccc(NC(=N)c3nccs3)c2)cc1)c1nccs1,9b6eca80
HER2,A1BT6,[H]/N=C(/c1ccco1)\Nc2cccc(c2)CCNCc3cccc(c3)N/C(=N/[H])/c4ccco4,HER2_SCAF_34,N=C(Nc1cccc(CCNCc2cccc(NC(=N)c3ccco3)c2)c1)c1ccco1,29c30972
HER2,A1BT2,[H]/N=C(\c1ccco1)/Nc2cccc(c2)CNCCc3ccc(cc3CN)c4ccccc4,HER2_SCAF_35,N=C(Nc1cccc(CNCCc2ccc(-c3ccccc3)cc2)c1)c1ccco1,d09b8e1c
HER2,A1BT9,[H]/N=C(\c1cccs1)/Nc2cccc(c2)CNCCc3ccc(cc3CN)c4ccccc4,HER2_SCAF_36,N=C(Nc1cccc(CNCCc2ccc(-c3ccccc3)cc2)c1)c1cccs1,929703c1
HER2,A1BTW,[H]/N=C(\c1cncs1)/Nc2cccc(c2)CNCCc3ccc(cc3CN)c4ccccc4,HER2_SCAF_37,N=C(Nc1cccc(CNCCc2ccc(-c3ccccc3)cc2)c1)c1cncs1,243e150f
HER2,A1BUH,Cc1cc(nc2c1cc(c(c2)c3ccc(cc3O)CCN)F)N,HER2_SCAF_38,c1ccc(-c2ccc3cccnc3c2)cc1,7dd33d75
HER2,A1B7W,CN1CCC[C@H]1COc2nc3c(c(n2)N4CCN([C@H](C4)CC#N)C(=O)C(=C)F)CCN(C3)c5cccc6c5c(ccc6)Cl,HER2_SCAF_39,c1ccc2c(N3CCc4c(nc(OC[C@@H]5CCCN5)nc4N4CCNCC4)C3)cccc2c1,df05b0de
