Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
HER2,HER2_SCAF_1,,,Unknown,,,,1,1,0.022727272727272728
HER2,HER2_SCAF_10,O=c1[nH]cnc2c1NCCN2,O=c1[nH]cnc2c1NCCN2,Bicyclic_Hetero,-4.51101144742432e-15,-4.7447426105033005e-15,-2.3197817935588798e-15,1,1,0.022727272727272728
HER2,HER2_SCAF_11,c1cscn1,c1cscn1,Monocyclic_Hetero,1.8318679906315083e-15,8.101158632811689e-16,0.11661043937002352,1,1,0.022727272727272728
HER2,HER2_SCAF_12,c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1,c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1,Polycyclic_Hetero,-1.689759443479488e-14,-1.1712852909795402e-15,-0.07658237156140087,1,2,0.045454545454545456
HER2,HER2_SCAF_13,O=c1nc(Nc2ccccc2)cn[nH]1,O=c1nc(Nc2ccccc2)cn[nH]1,Bicyclic_Hetero,-4.198661620400592e-15,-3.588038956856756e-15,3.0278809762504267e-16,1,1,0.022727272727272728
HER2,HER2_SCAF_14,c1ccc(-c2nn3ccccc3c2-c2cc3cn[nH]c3nn2)cc1,c1ccc(-c2nn3ccccc3c2-c2cc3cn[nH]c3nn2)cc1,Polycyclic_Hetero,6.053182646484047e-14,-2.0563797578334845e-14,0.1842135431201621,1,1,0.022727272727272728
HER2,HER2_SCAF_15,O=c1nc2c3ccccc3ncn2nc1Cc1ccccc1,O=c1nc2c3ccccc3ncn2nc1Cc1ccccc1,Polycyclic_Hetero,-1.2343067744362034e-14,-1.436759208338438e-16,-0.0124213411588424,1,1,0.022727272727272728
HER2,HER2_SCAF_16,c1ccc(CCc2nccn2Cc2ccccc2)cc1,c1ccc(CCc2nccn2Cc2ccccc2)cc1,Polycyclic_Hetero,-1.8020672673389384e-14,0.05704040061112453,9.379193328428708e-15,1,1,0.022727272727272728
HER2,HER2_SCAF_17,,,Unknown,,,,1,1,0.022727272727272728
HER2,HER2_SCAF_18,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn([C@H]3CCCO3)c2n1,Polycyclic_Hetero,2.5905203907920318e-15,1.1677580199117206e-15,6.661338147750939e-16,1,2,0.045454545454545456
HER2,HER2_SCAF_19,C1CCNC1,C1CCNC1,Monocyclic_Hetero,-1.7446361815538174e-16,1.2291754915492804e-15,3.489272363107635e-16,1,1,0.022727272727272728
HER2,HER2_SCAF_2,,,Unknown,,,,1,1,0.022727272727272728
HER2,HER2_SCAF_20,,,Unknown,,,,1,1,0.022727272727272728
HER2,HER2_SCAF_21,O=S(=O)(Nc1cccnc1)c1ccccc1,O=S(=O)(Nc1cccnc1)c1ccccc1,Bicyclic_Hetero,-6.823601512888462e-15,-1.5585823230314697e-15,0.02329150578743675,1,2,0.045454545454545456
HER2,HER2_SCAF_22,O=S(=O)(Nc1ccccn1)c1ccccc1,O=S(=O)(Nc1ccccn1)c1ccccc1,Bicyclic_Hetero,4.659520632580657e-14,-4.697097411875662e-15,0.015641578810076568,1,3,0.06818181818181818
HER2,HER2_SCAF_23,O=S(=O)(Nc1ccc(SCCc2ccccc2)cc1)N1CCN(Cc2ccccc2)CC1,O=S(=O)(Nc1ccc(SCCc2ccccc2)cc1)N1CCN(Cc2ccccc2)CC1,Polycyclic_Hetero,-2.4636030920206752e-14,0.04861003070347561,-1.822403794356015e-14,1,1,0.022727272727272728
