Scaffold_ID,Recruiter_Count,Protein
HER2_SCAF_1,1,HER2
HER2_SCAF_10,1,HER2
HER2_SCAF_11,1,HER2
HER2_SCAF_12,2,HER2
HER2_SCAF_13,1,HER2
HER2_SCAF_14,1,HER2
HER2_SCAF_15,1,HER2
HER2_SCAF_16,1,HER2
HER2_SCAF_17,1,HER2
HER2_SCAF_18,2,HER2
HER2_SCAF_19,1,HER2
HER2_SCAF_2,1,HER2
HER2_SCAF_20,1,HER2
HER2_SCAF_21,2,HER2
HER2_SCAF_22,3,HER2
HER2_SCAF_23,1,HER2
HER2_SCAF_24,1,HER2
HER2_SCAF_25,1,HER2
HER2_SCAF_26,1,HER2
HER2_SCAF_27,1,HER2
HER2_SCAF_28,1,HER2
HER2_SCAF_29,1,HER2
HER2_SCAF_3,1,HER2
HER2_SCAF_30,1,HER2
HER2_SCAF_31,1,HER2
HER2_SCAF_32,1,HER2
HER2_SCAF_33,1,HER2
HER2_SCAF_34,1,HER2
HER2_SCAF_35,1,HER2
HER2_SCAF_36,1,HER2
HER2_SCAF_37,1,HER2
HER2_SCAF_38,1,HER2
HER2_SCAF_39,1,HER2
HER2_SCAF_4,1,HER2
HER2_SCAF_5,1,HER2
HER2_SCAF_6,1,HER2
HER2_SCAF_7,1,HER2
HER2_SCAF_8,1,HER2
HER2_SCAF_9,1,HER2
