protein,pdb,chain,ligand,MW,Name
HER2,1d5l,A,CYN,26.017,CYANIDE ION
HER2,1d5l,B,CYN,26.017,CYANIDE ION
HER2,1d5l,C,CYN,26.017,CYANIDE ION
HER2,1d5l,D,CYN,26.017,CYANIDE ION
HER2,1d7w,A,CYN,26.017,CYANIDE ION
HER2,1d7w,B,CYN,26.017,CYANIDE ION
HER2,1g4u,R,AF3,83.977,ALUMINUM FLUORIDE
HER2,2prl,A,FMN,456.344,FLAVIN MONONUCLEOTIDE
HER2,2prl,A,ORO,156.096,OROTIC ACID
HER2,2prl,A,R2C,335.353,5-METHOXY-2-[(4-PHENOXYPHENYL)AMINO]BENZOIC ACID
HER2,2prl,A,DDQ,201.349,"DECYLAMINE-N,N-DIMETHYL-N-OXIDE"
HER2,3szb,A,I1E,134.175,1-phenylpropan-1-one
HER2,3szb,B,I1E,134.175,1-phenylpropan-1-one
HER2,4b95,C,UCK,393.264,"(2S,4R)-1-(2-chlorophenyl)carbonyl-N-[(4-chlorophenyl)methyl]-4-oxidanyl-pyrrolidine-2-carboxamide"
HER2,4b95,F,UCK,393.264,"(2S,4R)-1-(2-chlorophenyl)carbonyl-N-[(4-chlorophenyl)methyl]-4-oxidanyl-pyrrolidine-2-carboxamide"
HER2,4b95,I,UCK,393.264,"(2S,4R)-1-(2-chlorophenyl)carbonyl-N-[(4-chlorophenyl)methyl]-4-oxidanyl-pyrrolidine-2-carboxamide"
HER2,4b95,L,UCK,393.264,"(2S,4R)-1-(2-chlorophenyl)carbonyl-N-[(4-chlorophenyl)methyl]-4-oxidanyl-pyrrolidine-2-carboxamide"
HER2,4b9k,C,TG0,450.553,"(2S,4R)-1-(3-amino-2-methylbenzoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide"
HER2,4b9k,F,TG0,450.553,"(2S,4R)-1-(3-amino-2-methylbenzoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide"
HER2,4b9k,I,TG0,450.553,"(2S,4R)-1-(3-amino-2-methylbenzoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide"
HER2,4b9k,L,TG0,450.553,"(2S,4R)-1-(3-amino-2-methylbenzoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide"
HER2,4d1o,A,ARG,175.209,ARGININE
HER2,4d1o,B,ARG,175.209,ARGININE
HER2,4d1o,A,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,4d1o,B,H4B,241.247,"5,6,7,8-TETRAHYDROBIOPTERIN"
HER2,4d1o,A,GD,157.25,GADOLINIUM ATOM
HER2,4d1o,B,GD,157.25,GADOLINIUM ATOM
HER2,4g5j,A,0WN,487.954,N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-tetrahydrofuran-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)butanamide
HER2,4g5j,A,0WM,485.938,(2E)-N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-tetrahydrofuran-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide
HER2,5b8d,A,6T4,156.206,"~{N}-(4-methyl-1,3-thiazol-2-yl)ethanamide"
HER2,5kh9,A,6T5,244.292,"6-methyl-5-[(4-propan-2-ylphenyl)amino]-2~{H}-1,2,4-triazin-3-one"
HER2,5v61,I,FRZ,327.343,"5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE"
