Ligand,Name,Formula,Type,SMILES,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
6EL,,,,c1ccc2c(c1)C(=O)N(C2=O)[C@@H]3CCC(=O)NC3=O,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)/t9-/m1/s1",UEJJHQNACJXSKW-SECBINFHSA-N,258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,1,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,1,6,63.113700000000016,,True,True,True,False,True,None,phthalimide
EF2,,,,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)/t9-/m0/s1",UEJJHQNACJXSKW-VIFPVBQESA-N,258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,1,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,1,6,63.113700000000016,,True,True,True,False,True,None,phthalimide
A1CAW,,,,c1cn2c(cnc2c3c1C4(CCNCC4)CO3)N5C=CC(=O)NC5=O,O=c1ccn(-c2cnc3c4c(ccn23)C2(CCNCC2)CO4)c(=O)[nH]1,"InChI=1S/C17H17N5O3/c23-12-2-8-22(16(24)20-12)13-9-19-15-14-11(1-7-21(13)15)17(10-25-14)3-5-18-6-4-17/h1-2,7-9,18H,3-6,10H2,(H,20,23,24)",HITBHRNBPVUXHP-UHFFFAOYSA-N,339.355,0.18709999999999988,93.41999999999999,5,2,1,5,3,0.35294117647058826,25,0,0,0.6599906431261493,1087.5917667966687,-2.87,14.471101463743134,5.06138796185016,2.003211154765003,1,0,2,3,1,8,90.68640000000005,,True,True,True,True,True,None,None
F4U,,,,c1cc2c(cc1O)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,O=C1CC[C@H](N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1,"InChI=1S/C13H10N2O5/c16-6-1-2-7-8(5-6)13(20)15(12(7)19)9-3-4-10(17)14-11(9)18/h1-2,5,9,16H,3-4H2,(H,14,17,18)/t9-/m0/s1",LJBQRRQTZUJWRC-VIFPVBQESA-N,274.23199999999997,-0.20659999999999984,103.78,5,2,1,3,1,0.23076923076923078,20,1,0,0.6897104264939818,666.7254037184465,-2.7,12.339759456629707,4.156092539947064,1.6687362991962202,0,0,2,1,1,7,64.77850000000002,,True,True,True,True,True,None,phthalimide
A1CAC,,,,c1cc2c(cc1c3cc(c4cc[nH]c4n3)CN5CCCC5)CN(C2=O)[C@H]6CCC(=O)NC6=O,O=C1CC[C@H](N2Cc3cc(-c4cc(CN5CCCC5)c5cc[nH]c5n4)ccc3C2=O)C(=O)N1,"InChI=1S/C25H25N5O3/c31-22-6-5-21(24(32)28-22)30-14-16-11-15(3-4-19(16)25(30)33)20-12-17(13-29-9-1-2-10-29)18-7-8-26-23(18)27-20/h3-4,7-8,11-12,21H,1-2,5-6,9-10,13-14H2,(H,26,27)(H,28,31,32)/t21-/m0/s1",SNZGVVSAMPFNLQ-NRFANRHFSA-N,443.5070000000003,2.5867000000000004,98.4,5,2,4,6,3,0.36,33,1,0,0.6042576112541136,1290.4344316674158,-3.5200000000000005,20.112818514112224,7.808826777215944,3.5051948385306653,0,0,3,3,2,8,122.08590000000007,,True,True,True,True,True,None,phthalimide
A1A0J,,,,CN1c2ccccc2N(C1=O)[C@H]3CCC(=O)NC3=O,Cn1c(=O)n([C@H]2CCC(=O)NC2=O)c2ccccc21,"InChI=1S/C13H13N3O3/c1-15-8-4-2-3-5-9(8)16(13(15)19)10-6-7-11(17)14-12(10)18/h2-5,10H,6-7H2,1H3,(H,14,17,18)/t10-/m0/s1",VFDZUWPTOYTMAL-JTQLQIEISA-N,259.265,0.3176999999999997,73.1,3,1,1,3,2,0.3076923076923077,19,1,0,0.7493907241729947,741.1616657367214,-2.37,11.70535246511652,4.0813602859858555,1.675474675413138,0,0,1,2,1,6,68.59970000000001,,True,True,True,False,True,None,phthalimide
A1CBH,,,,Cn1ccc2c1nc(cc2CN3CCCC3)c4ccc5c(c4)CN(C5=O)[C@H]6CCC(=O)NC6=O,Cn1ccc2c(CN3CCCC3)cc(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)nc21,"InChI=1S/C26H27N5O3/c1-29-11-8-19-18(14-30-9-2-3-10-30)13-21(27-24(19)29)16-4-5-20-17(12-16)15-31(26(20)34)22-6-7-23(32)28-25(22)33/h4-5,8,11-13,22H,2-3,6-7,9-10,14-15H2,1H3,(H,28,32,33)/t22-/m0/s1",KVQJAVVPCZGJEN-QFIPXVFZSA-N,457.5340000000003,2.5971,87.53999999999999,5,1,4,6,3,0.38461538461538464,34,1,0,0.6088295186319552,1337.6997690718624,-3.52,21.04275984437618,8.056255873176054,3.4918489839052076,0,0,3,3,2,8,126.70620000000007,,True,True,True,True,True,None,phthalimide
A1CBG,,,,c1cc2c(cc1c3cc(c4ccn(c4n3)C5COC5)CN6CCCC6)CN(C2=O)[C@H]7CCC(=O)NC7=O,O=C1CC[C@H](N2Cc3cc(-c4cc(CN5CCCC5)c5ccn(C6COC6)c5n4)ccc3C2=O)C(=O)N1,"InChI=1S/C28H29N5O4/c34-25-6-5-24(27(35)30-25)33-14-18-11-17(3-4-22(18)28(33)36)23-12-19(13-31-8-1-2-9-31)21-7-10-32(26(21)29-23)20-15-37-16-20/h3-4,7,10-12,20,24H,1-2,5-6,8-9,13-16H2,(H,30,34,35)/t24-/m0/s1",OZSNWUQQBQCHTP-DEOSSOPVSA-N,499.5710000000004,2.6314,96.77000000000001,6,1,5,7,3,0.42857142857142855,37,1,0,0.5424782931405534,1435.8403733923546,-3.5600000000000005,22.62320585560936,8.77802895247339,3.843020259092678,0,0,4,3,3,9,135.5812,,True,True,True,False,True,None,phthalimide
A1A8N,,,,c1ccc(cc1)CN2CCC3(CC2)COc4c3ccc5c4CN(C5=O)[C@H]6CCC(=O)NC6=O,O=C1CC[C@H](N2Cc3c(ccc4c3OCC43CCN(Cc4ccccc4)CC3)C2=O)C(=O)N1,"InChI=1S/C26H27N3O4/c30-22-9-8-21(24(31)27-22)29-15-19-18(25(29)32)6-7-20-23(19)33-16-26(20)10-12-28(13-11-26)14-17-4-2-1-3-5-17/h1-7,21H,8-16H2,(H,27,30,31)/t21-/m0/s1",HZXUBAMXBADXJI-NRFANRHFSA-N,445.51900000000023,2.3738,78.95,5,1,3,6,2,0.4230769230769231,33,1,0,0.7342892354587204,1137.7260475240525,-3.19,20.41928101424064,7.695188308916671,3.3340662956903295,1,0,4,2,2,7,120.61320000000008,,True,True,True,True,True,None,phthalimide
A1CAV,,,,c1cc2c(c3c1C(=O)N(C3)[C@H]4CCC(=O)NC4=O)OCC25CCNCC5,O=C1CC[C@H](N2Cc3c(ccc4c3OCC43CCNCC3)C2=O)C(=O)N1,"InChI=1S/C19H21N3O4/c23-15-4-3-14(17(24)21-15)22-9-12-11(18(22)25)1-2-13-16(12)26-10-19(13)5-7-20-8-6-19/h1-2,14,20H,3-10H2,(H,21,23,24)/t14-/m0/s1",PMZFUWXTXQRRQU-AWEZNQCLSA-N,355.3940000000002,0.46119999999999967,87.74000000000001,5,2,1,5,1,0.5263157894736842,26,1,0,0.7149371125467253,828.3182929159823,-2.41,15.814555939433644,5.541760815722175,2.127600451282727,1,0,4,1,2,7,91.76390000000004,,True,True,True,True,True,None,phthalimide
