Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
CRBN,6EL,c1ccc2c(c1)C(=O)N(C2=O)[C@@H]3CCC(=O)NC3=O,CRBN_SCAF_1,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,ca830c99
CRBN,EF2,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,CRBN_SCAF_2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,855910bc
CRBN,A1CAW,c1cn2c(cnc2c3c1C4(CCNCC4)CO3)N5C=CC(=O)NC5=O,CRBN_SCAF_3,O=c1ccn(-c2cnc3c4c(ccn23)C2(CCNCC2)CO4)c(=O)[nH]1,7543ab79
CRBN,F4U,c1cc2c(cc1O)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,CRBN_SCAF_2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,855910bc
CRBN,A1CAC,c1cc2c(cc1c3cc(c4cc[nH]c4n3)CN5CCCC5)CN(C2=O)[C@H]6CCC(=O)NC6=O,CRBN_SCAF_4,O=C1CC[C@H](N2Cc3cc(-c4cc(CN5CCCC5)c5cc[nH]c5n4)ccc3C2=O)C(=O)N1,013ee1af
CRBN,A1A0J,CN1c2ccccc2N(C1=O)[C@H]3CCC(=O)NC3=O,CRBN_SCAF_5,O=C1CC[C@H](n2c(=O)[nH]c3ccccc32)C(=O)N1,3b2c7ad4
CRBN,A1CBH,Cn1ccc2c1nc(cc2CN3CCCC3)c4ccc5c(c4)CN(C5=O)[C@H]6CCC(=O)NC6=O,CRBN_SCAF_4,O=C1CC[C@H](N2Cc3cc(-c4cc(CN5CCCC5)c5cc[nH]c5n4)ccc3C2=O)C(=O)N1,013ee1af
CRBN,A1CBG,c1cc2c(cc1c3cc(c4ccn(c4n3)C5COC5)CN6CCCC6)CN(C2=O)[C@H]7CCC(=O)NC7=O,CRBN_SCAF_6,O=C1CC[C@H](N2Cc3cc(-c4cc(CN5CCCC5)c5ccn(C6COC6)c5n4)ccc3C2=O)C(=O)N1,bc7f71e6
CRBN,A1A8N,c1ccc(cc1)CN2CCC3(CC2)COc4c3ccc5c4CN(C5=O)[C@H]6CCC(=O)NC6=O,CRBN_SCAF_7,O=C1CC[C@H](N2Cc3c(ccc4c3OCC43CCN(Cc4ccccc4)CC3)C2=O)C(=O)N1,a2c61e2d
CRBN,A1CAV,c1cc2c(c3c1C(=O)N(C3)[C@H]4CCC(=O)NC4=O)OCC25CCNCC5,CRBN_SCAF_8,O=C1CC[C@H](N2Cc3c(ccc4c3OCC43CCNCC3)C2=O)C(=O)N1,b1612e7c
CRBN,Y70,c1cc2c(c(c1)N)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,CRBN_SCAF_2,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,855910bc
CRBN,LVY,c1cc2c(c(c1)N)CN(C2=O)[C@H]3CCC(=O)NC3=O,CRBN_SCAF_9,O=C1CC[C@H](N2Cc3ccccc3C2=O)C(=O)N1,43f1414e
