protein,pdb,chain,ligand,MW,Name
CRBN,4ci3,B,Y70,273.244,S-Pomalidomide
CRBN,5amh,A,EF2,258.229,S-Thalidomide
CRBN,4tzc,A,EF2,258.229,S-Thalidomide
CRBN,4tzc,B,EF2,258.229,S-Thalidomide
CRBN,4tzc,C,EF2,258.229,S-Thalidomide
CRBN,4tzc,D,EF2,258.229,S-Thalidomide
CRBN,4v2y,A,EF2,258.229,S-Thalidomide
CRBN,4v2y,B,EF2,258.229,S-Thalidomide
CRBN,4v2y,C,EF2,258.229,S-Thalidomide
CRBN,4v32,A,EF2,258.229,S-Thalidomide
CRBN,4v32,B,EF2,258.229,S-Thalidomide
CRBN,4v32,C,EF2,258.229,S-Thalidomide
CRBN,4v2z,A,Y70,273.244,S-Pomalidomide
CRBN,4v2z,B,Y70,273.244,S-Pomalidomide
CRBN,4v2z,C,Y70,273.244,S-Pomalidomide
CRBN,4ci1,B,EF2,258.229,S-Thalidomide
CRBN,4ci2,B,LVY,259.261,S-Lenalidomide
CRBN,4tz4,C,LVY,259.261,S-Lenalidomide
CRBN,5ami,A,EF2,258.229,S-Thalidomide
CRBN,5ami,B,EF2,258.229,S-Thalidomide
CRBN,10ay,B,A1C4S,539.569,"N-{6-[(3R)-2,6-dioxopiperidin-3-yl]naphthalen-1-yl}-N'-{2-[6-(trifluoromethyl)-1-benzothiophen-2-yl]propan-2-yl}urea"
CRBN,10ay,E,A1C4S,539.569,"N-{6-[(3R)-2,6-dioxopiperidin-3-yl]naphthalen-1-yl}-N'-{2-[6-(trifluoromethyl)-1-benzothiophen-2-yl]propan-2-yl}urea"
CRBN,4v31,A,DUR,228.202,2'-DEOXYURIDINE
CRBN,4v31,B,DUR,228.202,2'-DEOXYURIDINE
CRBN,4v31,C,DUR,228.202,2'-DEOXYURIDINE
CRBN,5amj,A,EF2,258.229,S-Thalidomide
CRBN,5amj,B,EF2,258.229,S-Thalidomide
CRBN,4tzu,A,Y70,273.244,S-Pomalidomide
CRBN,4tzu,B,Y70,273.244,S-Pomalidomide
CRBN,4tzu,C,Y70,273.244,S-Pomalidomide
CRBN,4tzu,D,Y70,273.244,S-Pomalidomide
CRBN,5amk,A,EF2,258.229,S-Thalidomide
CRBN,5amk,B,EF2,258.229,S-Thalidomide
CRBN,5oh9,A,OD3,117.126,"1,3-thiazolidine-2,4-dione"
CRBN,5oh9,B,OD3,117.126,"1,3-thiazolidine-2,4-dione"
CRBN,5oh9,C,OD3,117.126,"1,3-thiazolidine-2,4-dione"
CRBN,5oh4,A,9UZ,113.115,"piperidine-2,6-dione"
CRBN,5oh4,B,9UZ,113.115,"piperidine-2,6-dione"
CRBN,5oh4,C,9UZ,113.115,"piperidine-2,6-dione"
CRBN,5oh3,A,9V2,141.168,"(3~{S})-3-ethyl-3-methyl-pyrrolidine-2,5-dione"
CRBN,5oh3,B,9V2,141.168,"(3~{S})-3-ethyl-3-methyl-pyrrolidine-2,5-dione"
CRBN,5oh2,A,BAQ,85.104,pyrrolidin-2-one
CRBN,5oh2,B,BAQ,85.104,pyrrolidin-2-one
CRBN,5oh2,C,BAQ,85.104,pyrrolidin-2-one
CRBN,4v30,A,LVY,259.261,S-Lenalidomide
CRBN,4v30,B,LVY,259.261,S-Lenalidomide
CRBN,4v30,C,LVY,259.261,S-Lenalidomide
CRBN,5oha,A,9UW,114.126,2-sulfanylideneimidazol-4-one
CRBN,5oha,B,9UW,114.126,2-sulfanylideneimidazol-4-one
CRBN,5oha,C,9UW,114.126,2-sulfanylideneimidazol-4-one
CRBN,5fqd,B,LVY,259.261,S-Lenalidomide
CRBN,5fqd,E,LVY,259.261,S-Lenalidomide
CRBN,5yiz,A,EF2,258.229,S-Thalidomide
CRBN,5yiz,D,EF2,258.229,S-Thalidomide
CRBN,5yiz,G,EF2,258.229,S-Thalidomide
CRBN,5yiz,J,EF2,258.229,S-Thalidomide
CRBN,5yiz,M,EF2,258.229,S-Thalidomide
CRBN,5yiz,P,EF2,258.229,S-Thalidomide
CRBN,5yiz,S,EF2,258.229,S-Thalidomide
CRBN,5yiz,V,EF2,258.229,S-Thalidomide
CRBN,5yiz,Y,EF2,258.229,S-Thalidomide
CRBN,5yiz,b,EF2,258.229,S-Thalidomide
