pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
1b41,1B41,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1B41.cif,verified,WAR/Acetylcholinesterase/1b41.cif,WAR/Acetylcholinesterase/1b41.cif,true,564220,,2026-06-05T09:52:42Z
1c7j,1C7J,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1C7J.cif,verified,WAR/Acetylcholinesterase/1c7j.cif,WAR/Acetylcholinesterase/1c7j.cif,true,446520,,2026-06-05T09:52:42Z
1akn,1AKN,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1AKN.cif,verified,WAR/Acetylcholinesterase/1akn.cif,WAR/Acetylcholinesterase/1akn.cif,true,460077,,2026-06-05T09:52:42Z
1acj,1ACJ,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1ACJ.cif,verified,WAR/Acetylcholinesterase/1acj.cif,WAR/Acetylcholinesterase/1acj.cif,true,458058,,2026-06-05T09:52:42Z
1ax9,1AX9,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1AX9.cif,verified,WAR/Acetylcholinesterase/1ax9.cif,WAR/Acetylcholinesterase/1ax9.cif,true,464810,,2026-06-05T09:52:42Z
1e66,1E66,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1E66.cif,verified,WAR/Acetylcholinesterase/1e66.cif,WAR/Acetylcholinesterase/1e66.cif,true,555126,,2026-06-05T09:52:42Z
1ea5,1EA5,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1EA5.cif,verified,WAR/Acetylcholinesterase/1ea5.cif,WAR/Acetylcholinesterase/1ea5.cif,true,581615,,2026-06-05T09:52:42Z
1c2b,1C2B,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1C2B.cif,verified,WAR/Acetylcholinesterase/1c2b.cif,WAR/Acetylcholinesterase/1c2b.cif,true,440528,,2026-06-05T09:52:42Z
1acl,1ACL,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1ACL.cif,verified,WAR/Acetylcholinesterase/1acl.cif,WAR/Acetylcholinesterase/1acl.cif,true,457968,,2026-06-05T09:52:42Z
1eve,1EVE,Acetylcholinesterase,rcsb,"Acetylcholinesterase 6-[4-[(7-chloranyl-1,2,3,4-tetrahydroacridin-9-yl)amino]butyl]-2-[(oxidanylamino)methyl]pyridin-3-ol E2W 2-acetamido-2-deoxy-beta-D-glucopyranose NAG bound inhibitor Tetronarce californica",https://files.rcsb.org/download/1EVE.cif,verified,WAR/Acetylcholinesterase/1eve.cif,WAR/Acetylcholinesterase/1eve.cif,true,530862,,2026-06-05T09:52:42Z
