Warhead,SMILES
03S,['CS(=O)(=O)O']
1PG,['COCCOCCOCCOCCOCCO']
4VV,['C1N(/C(=C/NO)/N=C1)CCCCCCCN2/C(=C/NO)/N=CC2']
8U2,['COc1cc(ccc1O)CNC(=O)Cc2cn(nn2)CCCCC3CC4Cc5c(c(c6ccc(cc6n5)Cl)N)C(C4)C3']
8U5,['CC1C[C@@H]2CC(C1)Cc3c2c(c4ccc(cc4n3)Cl)NCCCCCCCCCC(=O)NCc5ccc(c(c5)OC)O']
8UE,['CC1=C[C@@H]2C[C@H](C1)Cc3c2c(c4ccc(cc4n3)Cl)NCc5ccc(cc5)CC(=O)NCc6ccc(c(c6)OC)O']
8UH,['CC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)NCCCCCC(=O)NCc5ccc(c(c5)OC)O)[C@@H](C2)C1']
8UK,['CC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)NCCCCCCC(=O)NCc5ccc(c(c5)OC)O)[C@@H](C2)C1']
8UQ,['CC1C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)NCCCCCCCC(=O)NCc5ccc(c(c5)OC)O)[C@@H](C2)C1']
9A5,['c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)NCCCCCCNc3c4ccc(cc4nc5c3CCCC5)Cl)N']
A1E,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@@H]4CCCC5=C4C=CC(=O)N5']
A2E,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@H]4CCCC5=C4C=CC(=O)N5']
A8B,['c1ccc2c(c1)c(ccn2)NCCCCCCCCNc3c4ccccc4nc5c3CCCC5']
A8N,['c1ccc2c(c1)c(c3c([nH+]2)CCCC3)NCCCCCCCC[NH3+]']
AA7,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCNc4c5ccccc5nc6c4CCCC6']
ACH,['CC(=O)OCC[N+](C)(C)C']
AE4,['CCOCCOCCOCCOCCOCCO']
AFT,['COc1cc2c(c3c1C4=C(C(=O)CC4)C(=O)O3)[C@@H]5C=CO[C@@H]5O2']
AT3,['CC(=O)SCC[N+](C)(C)C']
BM4,['CC[C@]1(CCCC[N@](C1)CCCCCCCCC[N@]2CCCC[C@](C2)(CC)c3cccc(c3)O)c4cccc(c4)O']
C6H,['COc1c2cc[nH]c2c(cc1C(=O)CCC3CCN(CC3)CC4CCCCC4)Cl']
C6K,['COc1c2cc[nH]c2c(cc1C(=O)CCC3CCN(CC3)Cc4ccccc4)Cl']
CCD,['C[C@H](CCC[N+](C)(C)C)O']
CFQ,['C[As+](C)(C)CCO[C@@H](c1ccccc1[N+](=O)O)C(F)(F)F']
CHH,['CC(=O)CCC[N+](C)(C)C']
CP0,['CCc1c2cc(ccc2nc3c1CN4C3=CC5=C(C4=O)COC(=O)[C@@]5(CC)O)OC(=O)N6CCC(CC6)N7CCCCC7']
DME,['C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C']
DQ5,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)/C=N/O)O']
DZ0,['COc1ccc2c(c1)C/C(=C\\C3CCN(CC3)Cc4ccccc4)/C2=O']
DZ7,['COc1cc2c(cc1OC)C(=O)/C(=C/C3CCN(CC3)Cc4ccccc4)/C2']
E0Z,['COc1cc(ccc1O)CNC(=O)Cc2cn(nn2)CCNc3c4ccccc4nc5c3ccc(c5)Cl']
E10,['C1C[C@@H](C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCN[C@H]3CCCC4=C3C=CC(=O)N4']
E12,['C1C[C@@H](C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCCCN[C@H]3CCCC4=C3C=CC(=O)N4']
E1K,['C[n+]1c2cc(ccc2c(c3c1CCCC3)N)Cl']
E1N,['CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4[n+]3C)Cl)N)[C@@H](C2)C1']
E20,['COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3CCN(CC3)Cc4ccccc4']
E2W,['c1cc2c(cc1Cl)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)CNO)O']
EBW,['C[N+](C)(CC=C)c1ccc(cc1)CCC(=O)CCc2ccc(cc2)[N+](C)(C)CC=C']
EDR,['CC[N+](C)(C)c1cccc(c1)O']
ELT,['CCOP(=O)(N(C)C)O']
EMM,['CN(C=C)C(=O)O']
ETM,['C[N+](C)(C)CCS']
F11,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCNc4c5ccccc5nc6c4CCCC6']
FBQ,['Cc1c(c(c2c(n1)cccc2F)N)CSCc3cccc(c3)C(C(F)(F)F)(O)O']
FJK,['c1cc2c(c(c1)NC(=O)Nc3cc(ccn3)COCc4cn(nn4)CCNC5=C6C=CC=CC6=NC7C5CCCC7)[C@H]8CCCCN8C2=O']
FJN,['C[NH+](Cc1ccnc(c1)NC(=O)Nc2cccc3c2[C@@H]4CCCCN4C3=O)Cc5cn(nn5)CCNC6=C7C=CC=CC7=NC8C6CCCC8']
FP1,['CN\\1C=CC=C/C1=C/NO']
FW8,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCn4cc(nn4)c5ccnc(c5)NC(=O)Nc6cccc7c6[C@@H]8CCCCN8C7=O']
FWN,['CCOCCOCCOCCO']
G3X,['COc1ccc2c3c1O[C@@H]4[C@@]3(CC[N@](C2)CCCN5CCCCC5)C=C[C@@H](C4)O']
G6X,['COc1ccc2c3c1O[C@@H]4[C@@]3(CC[N@@](C2)CCCCCCN5C(=O)c6ccccc6S5(=O)=O)C=C[C@@H](C4)O']
GB,['CP(=O)(O)O']
GD8,['C[C@H](C(C)(C)C)O[P@H](=O)C']
GL8,['COc1ccc2c3c1O[C@@H]4[C@@]3(CC[N+](=C2)CCCCCCCCN5C(=O)c6ccccc6C5=O)C=C[C@@H](C4)O']
GNT,['C[N@@]1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O']
GSG,['CCc1ccccc1NC(=O)Oc2ccc3c(c2)[C@]4(CC[N@+]([C@@H]4[N@]3C)(C)[O-])C']
HBP,['c1cc[n+](c(c1)\\C=N\\O)CCCCCCC[n+]2ccccc2\\C=N\\O']
HTB,['c1ccc2c(c1)cc(o2)CNCCCCCCCNc3c4ccccc4nc5c3CCCC5']
HUB,['CC1=C[C@H]2CC3=C(C=CC(=O)N3)[C@@]4(C1)[C@@H]2CCCN4']
HUP,['C/C=C/1\\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3']
HUX,['CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)N)[C@@H](C2)C1']
JDS,['c1cc2c(cc1Cl)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)/C=N\\O)O']
MBT,['CN(C)c1ccc2c(c1)[s+]c3cc(ccc3n2)N(C)C']
MF2,['C[C@@H]1CN(C[C@@H](O1)C)CCCCCCCCNC=O']
N8T,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCSc4c5ccccc5nc6c4CCCC6']
N9T,['COc1cc2c(cc1OC)OC(=O)C(=C2)NC(=O)[C@@H]3CCC[C@@H](C3)NCc4ccccc4']
NAF,['C[N+](C)(C)c1cccc(c1)C(C(F)(F)F)(O)O']
NHG,['C[C@@]12CCN[C@@H]1Nc3c2cc(cc3)O']
NTJ,['CCO[P@H](=O)N(C)C']
NWA,['CC(CCC[N+](C)(C)C)(O)O']
OMI,['CN1CC(=O)c2c1cccc2']
PE7,['C(COCCOCCOCCOCCOCCOCCS)O']
RM0,['c1cc(c(nc1CCCCCN2CCOCC2)/C=N/O)O']
SAF,['C[C@@H](c1cccc(c1)O)N(C)C']
TFL,['C[n+]1c2ccc(cc2sc1c3ccc(cc3)N(C)C)O']
THA,['c1ccc2c(c1)c(c3c(n2)CCCC3)N']
TJH,['c1cc2c(c(c1)O)C(=O)C=C(C2=O)NCCNc3c4ccc(cc4nc5c3CCCC5)Cl']
TNH,['c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCNC(=O)c4cccnc4']
VX,['CCO[P@](=O)(C)O']
VXA,['C[P@H](=O)[O-]']
