Warhead,Target
03S,['Acetylcholinesterase']
1PG,['Acetylcholinesterase']
4VV,['Acetylcholinesterase']
8U2,['Acetylcholinesterase']
8U5,['Acetylcholinesterase']
8UE,['Acetylcholinesterase']
8UH,['Acetylcholinesterase']
8UK,['Acetylcholinesterase']
8UQ,['Acetylcholinesterase']
9A5,['Acetylcholinesterase']
A1E,['Acetylcholinesterase']
A2E,['Acetylcholinesterase']
A8B,['Acetylcholinesterase']
A8N,['Acetylcholinesterase']
AA7,['Acetylcholinesterase']
ACH,['Acetylcholinesterase']
AE4,['Acetylcholinesterase']
AFT,['Acetylcholinesterase']
AT3,['Acetylcholinesterase']
BM4,['Acetylcholinesterase']
C6H,['Acetylcholinesterase']
C6K,['Acetylcholinesterase']
CCD,['Acetylcholinesterase']
CFQ,['Acetylcholinesterase']
CHH,['Acetylcholinesterase']
CP0,['Acetylcholinesterase']
DME,['Acetylcholinesterase']
DQ5,['Acetylcholinesterase']
DZ0,['Acetylcholinesterase']
DZ7,['Acetylcholinesterase']
E0Z,['Acetylcholinesterase']
E10,['Acetylcholinesterase']
E12,['Acetylcholinesterase']
E1K,['Acetylcholinesterase']
E1N,['Acetylcholinesterase']
E20,['Acetylcholinesterase']
E2W,['Acetylcholinesterase']
EBW,['Acetylcholinesterase']
EDR,['Acetylcholinesterase']
ELT,['Acetylcholinesterase']
EMM,['Acetylcholinesterase']
ETM,['Acetylcholinesterase']
F11,['Acetylcholinesterase']
FBQ,['Acetylcholinesterase']
FJK,['Acetylcholinesterase']
FJN,['Acetylcholinesterase']
FP1,['Acetylcholinesterase']
FW8,['Acetylcholinesterase']
FWN,['Acetylcholinesterase']
G3X,['Acetylcholinesterase']
G6X,['Acetylcholinesterase']
GB,['Acetylcholinesterase']
GD8,['Acetylcholinesterase']
GL8,['Acetylcholinesterase']
GNT,['Acetylcholinesterase']
GSG,['Acetylcholinesterase']
HBP,['Acetylcholinesterase']
HTB,['Acetylcholinesterase']
HUB,['Acetylcholinesterase']
HUP,['Acetylcholinesterase']
HUX,['Acetylcholinesterase']
JDS,['Acetylcholinesterase']
MBT,['Acetylcholinesterase']
MF2,['Acetylcholinesterase']
N8T,['Acetylcholinesterase']
N9T,['Acetylcholinesterase']
NAF,['Acetylcholinesterase']
NHG,['Acetylcholinesterase']
NTJ,['Acetylcholinesterase']
NWA,['Acetylcholinesterase']
OMI,['Acetylcholinesterase']
PE7,['Acetylcholinesterase']
RM0,['Acetylcholinesterase']
SAF,['Acetylcholinesterase']
TFL,['Acetylcholinesterase']
THA,['Acetylcholinesterase']
TJH,['Acetylcholinesterase']
TNH,['Acetylcholinesterase']
VX,['Acetylcholinesterase']
VXA,['Acetylcholinesterase']
