Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
Acetylcholinesterase,DME,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Acetylcholinesterase_SCAF_1,,9d77a688
Acetylcholinesterase,THA,c1ccc2c(c1)c(c3c(n2)CCCC3)N,Acetylcholinesterase_SCAF_2,c1ccc2nc3c(cc2c1)CCCC3,e360f1c0
Acetylcholinesterase,NAF,C[N+](C)(C)c1cccc(c1)C(C(F)(F)F)(O)O,Acetylcholinesterase_SCAF_3,c1ccccc1,84480431
Acetylcholinesterase,EDR,CC[N+](C)(C)c1cccc(c1)O,Acetylcholinesterase_SCAF_3,c1ccccc1,84480431
Acetylcholinesterase,GB,CP(=O)(O)O,Acetylcholinesterase_SCAF_4,,53da5b57
Acetylcholinesterase,GNT,C[N@@]1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O,Acetylcholinesterase_SCAF_5,C1=C[C@@]23CCNCc4cccc(c42)O[C@H]3CC1,d2b78014
Acetylcholinesterase,HUX,CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)N)[C@@H](C2)C1,Acetylcholinesterase_SCAF_6,C1=C[C@@H]2Cc3nc4ccccc4cc3[C@H](C1)C2,801d4945
Acetylcholinesterase,EBW,C[N+](C)(CC=C)c1ccc(cc1)CCC(=O)CCc2ccc(cc2)[N+](C)(C)CC=C,Acetylcholinesterase_SCAF_7,O=C(CCc1ccccc1)CCc1ccccc1,6c91cd6e
Acetylcholinesterase,E20,COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3CCN(CC3)Cc4ccccc4,Acetylcholinesterase_SCAF_8,O=C1c2ccccc2C[C@H]1CC1CCN(Cc2ccccc2)CC1,62438aa4
Acetylcholinesterase,HUP,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,Acetylcholinesterase_SCAF_9,C=C1C2CC=C[C@H]1Cc1[nH]c(=O)ccc12,3976875d
Acetylcholinesterase,HUB,CC1=C[C@H]2CC3=C(C=CC(=O)N3)[C@@]4(C1)[C@@H]2CCCN4,Acetylcholinesterase_SCAF_10,O=c1ccc2c([nH]1)C[C@@H]1C=CC[C@]23NCCC[C@H]13,2465cced
Acetylcholinesterase,EMM,CN(C=C)C(=O)O,Acetylcholinesterase_SCAF_11,,5b477fb1
Acetylcholinesterase,SAF,C[C@@H](c1cccc(c1)O)N(C)C,Acetylcholinesterase_SCAF_3,c1ccccc1,84480431
Acetylcholinesterase,E10,C1C[C@@H](C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCN[C@H]3CCCC4=C3C=CC(=O)N4,Acetylcholinesterase_SCAF_12,O=c1ccc2c([nH]1)CCC[C@@H]2NCCCCCCCCCCN[C@H]1CCCc2[nH]c(=O)ccc21,c1b00a30
Acetylcholinesterase,E12,C1C[C@@H](C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCCCN[C@H]3CCCC4=C3C=CC(=O)N4,Acetylcholinesterase_SCAF_13,O=c1ccc2c([nH]1)CCC[C@@H]2NCCCCCCCCCCCCN[C@H]1CCCc2[nH]c(=O)ccc21,f73fd282
Acetylcholinesterase,PE7,C(COCCOCCOCCOCCOCCOCCS)O,Acetylcholinesterase_SCAF_14,,f3ab4c1f
Acetylcholinesterase,MF2,C[C@@H]1CN(C[C@@H](O1)C)CCCCCCCCNC=O,Acetylcholinesterase_SCAF_15,C1COCCN1,d28d1202
Acetylcholinesterase,FBQ,Cc1c(c(c2c(n1)cccc2F)N)CSCc3cccc(c3)C(C(F)(F)F)(O)O,Acetylcholinesterase_SCAF_16,c1ccc(CSCc2cnc3ccccc3c2)cc1,9f5a1ef9
Acetylcholinesterase,VXA,C[P@H](=O)[O-],Acetylcholinesterase_SCAF_17,,5266e595
Acetylcholinesterase,A8B,c1ccc2c(c1)c(ccn2)NCCCCCCCCNc3c4ccccc4nc5c3CCCC5,Acetylcholinesterase_SCAF_18,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,1a0f1664
Acetylcholinesterase,A8N,c1ccc2c(c1)c(c3c([nH+]2)CCCC3)NCCCCCCCC[NH3+],Acetylcholinesterase_SCAF_19,c1ccc2[nH+]c3c(cc2c1)CCCC3,53355f9f
Acetylcholinesterase,CP0,CCc1c2cc(ccc2nc3c1CN4C3=CC5=C(C4=O)COC(=O)[C@@]5(CC)O)OC(=O)N6CCC(CC6)N7CCCCC7,Acetylcholinesterase_SCAF_20,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,86bf2cae
Acetylcholinesterase,GL8,COc1ccc2c3c1O[C@@H]4[C@@]3(CC[N+](=C2)CCCCCCCCN5C(=O)c6ccccc6C5=O)C=C[C@@H](C4)O,Acetylcholinesterase_SCAF_21,O=C1c2ccccc2C(=O)N1CCCCCCCC[N+]1=Cc2cccc3c2[C@@]2(C=CCC[C@@H]2O3)CC1,3674b668
Acetylcholinesterase,VX,CCO[P@](=O)(C)O,Acetylcholinesterase_SCAF_22,,98271b54
Acetylcholinesterase,A1E,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@@H]4CCCC5=C4C=CC(=O)N5,Acetylcholinesterase_SCAF_23,O=c1ccc2c([nH]1)CCC[C@H]2NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,d4571a39
Acetylcholinesterase,ACH,CC(=O)OCC[N+](C)(C)C,Acetylcholinesterase_SCAF_24,,c0538594
Acetylcholinesterase,A2E,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@H]4CCCC5=C4C=CC(=O)N5,Acetylcholinesterase_SCAF_25,O=c1ccc2c([nH]1)CCC[C@@H]2NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,d90850ec
Acetylcholinesterase,GSG,CCc1ccccc1NC(=O)Oc2ccc3c(c2)[C@]4(CC[N@+]([C@@H]4[N@]3C)(C)[O-])C,Acetylcholinesterase_SCAF_26,O=C(Nc1ccccc1)Oc1ccc2c(c1)C1CC[NH2+][C@@H]1N2,1fc74bdf
Acetylcholinesterase,AT3,CC(=O)SCC[N+](C)(C)C,Acetylcholinesterase_SCAF_27,,36b91794
Acetylcholinesterase,CHH,CC(=O)CCC[N+](C)(C)C,Acetylcholinesterase_SCAF_28,,19dc2451
Acetylcholinesterase,ETM,C[N+](C)(C)CCS,Acetylcholinesterase_SCAF_29,,daf66386
Acetylcholinesterase,NWA,CC(CCC[N+](C)(C)C)(O)O,Acetylcholinesterase_SCAF_30,,ea03d37a
Acetylcholinesterase,N8T,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCSc4c5ccccc5nc6c4CCCC6,Acetylcholinesterase_SCAF_31,c1ccc2c(NCCCCCCCCSc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,4f115d7a
Acetylcholinesterase,AA7,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCNc4c5ccccc5nc6c4CCCC6,Acetylcholinesterase_SCAF_32,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,ceed7d99
Acetylcholinesterase,F11,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCNc4c5ccccc5nc6c4CCCC6,Acetylcholinesterase_SCAF_33,c1ccc2c(NCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,4bc25d61
Acetylcholinesterase,CFQ,C[As+](C)(C)CCO[C@@H](c1ccccc1[N+](=O)O)C(F)(F)F,Acetylcholinesterase_SCAF_3,c1ccccc1,84480431
Acetylcholinesterase,TFL,C[n+]1c2ccc(cc2sc1c3ccc(cc3)N(C)C)O,Acetylcholinesterase_SCAF_34,c1ccc(-c2[nH+]c3ccccc3s2)cc1,1726e28a
Acetylcholinesterase,CCD,C[C@H](CCC[N+](C)(C)C)O,Acetylcholinesterase_SCAF_35,,9bde64cb
