Scaffold_ID,Recruiter_Count,Protein
Acetylcholinesterase_SCAF_1,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_10,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_11,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_12,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_13,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_14,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_15,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_16,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_17,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_18,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_19,2,Acetylcholinesterase
Acetylcholinesterase_SCAF_2,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_20,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_21,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_22,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_23,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_24,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_25,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_26,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_27,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_28,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_29,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_3,4,Acetylcholinesterase
Acetylcholinesterase_SCAF_30,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_31,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_32,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_33,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_34,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_35,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_36,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_37,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_38,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_39,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_4,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_40,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_41,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_42,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_43,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_44,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_45,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_46,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_47,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_48,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_49,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_5,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_50,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_51,2,Acetylcholinesterase
Acetylcholinesterase_SCAF_52,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_53,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_54,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_55,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_56,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_57,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_58,3,Acetylcholinesterase
Acetylcholinesterase_SCAF_59,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_6,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_60,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_61,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_62,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_63,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_64,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_65,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_66,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_67,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_68,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_69,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_7,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_70,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_71,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_72,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_73,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_8,1,Acetylcholinesterase
Acetylcholinesterase_SCAF_9,1,Acetylcholinesterase
