pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
10zb,10ZB,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/10ZB.cif,verified,WAR/SHMT/10zb.cif,WAR/SHMT/10zb.cif,true,784792,,2026-06-05T11:15:47Z
1cj0,1CJ0,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1CJ0.cif,verified,WAR/SHMT/1cj0.cif,WAR/SHMT/1cj0.cif,true,745211,,2026-06-05T11:15:47Z
1eji,1EJI,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1EJI.cif,verified,WAR/SHMT/1eji.cif,WAR/SHMT/1eji.cif,true,1560364,,2026-06-05T11:15:47Z
1eqb,1EQB,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1EQB.cif,verified,WAR/SHMT/1eqb.cif,WAR/SHMT/1eqb.cif,true,1367699,,2026-06-05T11:15:47Z
1dfo,1DFO,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1DFO.cif,verified,WAR/SHMT/1dfo.cif,WAR/SHMT/1dfo.cif,true,1359447,,2026-06-05T11:15:47Z
10nm,10NM,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/10NM.cif,verified,WAR/SHMT/10nm.cif,WAR/SHMT/10nm.cif,true,825749,,2026-06-05T11:15:47Z
1kkj,1KKJ,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1KKJ.cif,verified,WAR/SHMT/1kkj.cif,WAR/SHMT/1kkj.cif,true,383924,,2026-06-05T11:15:47Z
1kl2,1KL2,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1KL2.cif,verified,WAR/SHMT/1kl2.cif,WAR/SHMT/1kl2.cif,true,674621,,2026-06-05T11:15:47Z
1kkp,1KKP,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1KKP.cif,verified,WAR/SHMT/1kkp.cif,WAR/SHMT/1kkp.cif,true,386460,,2026-06-05T11:15:47Z
1bj4,1BJ4,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1BJ4.cif,verified,WAR/SHMT/1bj4.cif,WAR/SHMT/1bj4.cif,true,398291,,2026-06-05T11:15:47Z
1kl1,1KL1,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1KL1.cif,verified,WAR/SHMT/1kl1.cif,WAR/SHMT/1kl1.cif,true,386970,,2026-06-05T11:15:47Z
10yn,10YN,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/10YN.cif,verified,WAR/SHMT/10yn.cif,WAR/SHMT/10yn.cif,true,1588538,,2026-06-05T11:15:47Z
1ps6,1PS6,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1PS6.cif,verified,WAR/SHMT/1ps6.cif,WAR/SHMT/1ps6.cif,true,554564,,2026-06-05T11:15:48Z
1rvu,1RVU,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1RVU.cif,verified,WAR/SHMT/1rvu.cif,WAR/SHMT/1rvu.cif,true,761610,,2026-06-05T11:15:48Z
1ptm,1PTM,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1PTM.cif,verified,WAR/SHMT/1ptm.cif,WAR/SHMT/1ptm.cif,true,580216,,2026-06-05T11:15:48Z
1ps7,1PS7,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1PS7.cif,verified,WAR/SHMT/1ps7.cif,WAR/SHMT/1ps7.cif,true,1076089,,2026-06-05T11:15:48Z
1ls3,1LS3,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1LS3.cif,verified,WAR/SHMT/1ls3.cif,WAR/SHMT/1ls3.cif,true,1501601,,2026-06-05T11:15:48Z
1yjs,1YJS,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1YJS.cif,verified,WAR/SHMT/1yjs.cif,WAR/SHMT/1yjs.cif,true,378097,,2026-06-05T11:15:48Z
1rv3,1RV3,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1RV3.cif,verified,WAR/SHMT/1rv3.cif,WAR/SHMT/1rv3.cif,true,761788,,2026-06-05T11:15:48Z
1rv4,1RV4,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1RV4.cif,verified,WAR/SHMT/1rv4.cif,WAR/SHMT/1rv4.cif,true,760969,,2026-06-05T11:15:48Z
1yjz,1YJZ,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1YJZ.cif,verified,WAR/SHMT/1yjz.cif,WAR/SHMT/1yjz.cif,true,378440,,2026-06-05T11:15:48Z
1rvy,1RVY,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1RVY.cif,verified,WAR/SHMT/1rvy.cif,WAR/SHMT/1rvy.cif,true,768670,,2026-06-05T11:15:48Z
1yjy,1YJY,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/1YJY.cif,verified,WAR/SHMT/1yjy.cif,WAR/SHMT/1yjy.cif,true,379025,,2026-06-05T11:15:48Z
2vgs,2VGS,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/2VGS.cif,verified,WAR/SHMT/2vgs.cif,WAR/SHMT/2vgs.cif,true,394999,,2026-06-05T11:15:48Z
2vgt,2VGT,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/2VGT.cif,verified,WAR/SHMT/2vgt.cif,WAR/SHMT/2vgt.cif,true,422748,,2026-06-05T11:15:48Z
2vi8,2VI8,SHMT,rcsb,Serine_hydroxymethyltransferase,https://files.rcsb.org/download/2VI8.cif,verified,WAR/SHMT/2vi8.cif,WAR/SHMT/2vi8.cif,true,427402,,2026-06-05T11:15:48Z
