Ligand,Name,Formula,Type,SMILES,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
OPW,,,,CC(=O)Nc1cc(cnc1)c2nc3cc(ccc3s2)OC,COc1ccc2sc(-c3cncc(NC(C)=O)c3)nc2c1,"InChI=1S/C15H13N3O2S/c1-9(19)17-11-5-10(7-16-8-11)15-18-13-6-12(20-2)3-4-14(13)21-15/h3-8H,1-2H3,(H,17,19)",JLUXIHDOQQZMIZ-UHFFFAOYSA-N,299.355,3.3253000000000013,64.11,5,1,3,3,3,0.13333333333333333,21,0,0,0.8054437389990399,813.5388742740762,-2.4699999999999993,13.510186765284027,5.492887816106243,2.8479135999068816,0,0,0,3,0,6,83.70670000000004,,True,True,True,True,True,None,None
CC9,,,,COc1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c2cc(c(cc2)O)OC)O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,"InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+",VFLDPWHFBUODDF-FCXRPNKRSA-N,368.38500000000005,3.3699000000000026,93.06000000000002,6,2,8,2,2,0.14285714285714285,27,0,0,0.5481228320623275,822.0399999194264,-3.54,19.780378892165626,9.238837190939822,5.7434025122363215,0,0,0,2,0,6,102.01660000000003,,True,True,True,True,True,None,beta-keto/anhydride; Michael_acceptor_1
AJG,,,,CC(=O)N=C1Nc2ccc(cc2S1)C#N,CC(=O)N=c1[nH]c2ccc(C#N)cc2s1,"InChI=1S/C10H7N3OS/c1-6(14)12-10-13-8-3-2-7(5-11)4-9(8)15-10/h2-4H,1H3,(H,12,13,14)",JGSLDMQYARUFDJ-UHFFFAOYSA-N,217.253,1.54828,69.00999999999999,3,1,0,2,2,0.1,15,0,0,0.7269092358011894,629.890298917162,-1.9299999999999997,9.6183800411083,3.6720430734581426,1.9474106613965938,0,0,0,2,0,5,57.13470000000001,,True,True,True,False,True,None,None
RKK,,,,CCCCc1nc2ccc(nc2n1CCCC)c3cc(nc(c3)N)N,CCCCc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CCCC,"InChI=1S/C19H26N6/c1-3-5-7-18-22-15-9-8-14(13-11-16(20)24-17(21)12-13)23-19(15)25(18)10-6-4-2/h8-9,11-12H,3-7,10H2,1-2H3,(H4,20,21,24)",IQINXSAAPBBCLN-UHFFFAOYSA-N,338.45900000000006,3.8004000000000016,95.64,5,2,7,3,3,0.42105263157894735,25,0,0,0.6828710338312429,847.4719755488017,-2.6300000000000003,17.201406932752132,7.5063276243254355,3.7289758591490783,0,0,0,3,0,6,103.10380000000004,,True,True,True,True,True,None,None
RHZ,,,,COc1cc(ccc1Cl)c2ccnc(c2)N,COc1cc(-c2ccnc(N)c2)ccc1Cl,"InChI=1S/C12H11ClN2O/c1-16-11-6-8(2-3-10(11)13)9-4-5-15-12(14)7-9/h2-7H,1H3,(H2,14,15)",XNQXYTWAWZWTHH-UHFFFAOYSA-N,234.686,2.992800000000001,48.14,3,1,2,2,2,0.08333333333333333,16,0,0,0.8691303957164851,514.1219889797812,-1.74,10.767069253086303,4.40958728956281,2.0917777936869433,0,0,0,2,0,4,65.64740000000002,,True,True,True,False,True,None,None
B7B,,,,CN1c2cnc(nc2N([C@@H]3CCC[C@@H]3C1=O)C4CCCC4)Nc5ccc(cc5)C(=O)N,CN1C(=O)[C@H]2CCC[C@H]2N(C2CCCC2)c2nc(Nc3ccc(C(N)=O)cc3)ncc21,"InChI=1S/C23H28N6O2/c1-28-19-13-25-23(26-15-11-9-14(10-12-15)20(24)30)27-21(19)29(16-5-2-3-6-16)18-8-4-7-17(18)22(28)31/h9-13,16-18H,2-8H2,1H3,(H2,24,30)(H,25,26,27)/t17-,18+/m0/s1",VJDBYVPTQWPRPA-ZWKOTPCHSA-N,420.51700000000017,3.2132000000000005,104.45,6,2,4,5,2,0.4782608695652174,31,2,0,0.7870109213712396,1001.626330965016,-3.1599999999999997,19.782817100578267,7.830422366640194,3.494652292273622,0,0,3,2,2,8,119.54860000000004,,True,True,True,True,True,None,None
EHB,,,,CCN\1c2cc(ccc2S/C1=C\C(=O)C)O,CCN1/C(=C/C(C)=O)Sc2ccc(O)cc21,"InChI=1S/C12H13NO2S/c1-3-13-10-7-9(15)4-5-11(10)16-12(13)6-8(2)14/h4-7,15H,3H2,1-2H3/b12-6-",GCSZJMUFYOAHFY-SDQBBNPISA-N,235.30799999999996,2.7546000000000013,40.540000000000006,4,1,2,2,1,0.25,16,0,0,0.8001465605284483,468.0866066240906,-1.42,11.077000037901195,4.215151387724074,1.92797509967126,0,0,1,1,0,4,65.74780000000001,,True,True,True,False,True,None,Michael_acceptor_1
QYH,,,,COc1ccc(cc1)c2cc(nc(n2)N)N,COc1ccc(-c2cc(N)nc(N)n2)cc1,"InChI=1S/C11H12N4O/c1-16-8-4-2-7(3-5-8)9-6-10(12)15-11(13)14-9/h2-6H,1H3,(H4,12,13,14,15)",JVWGRSYEFVJHCX-UHFFFAOYSA-N,216.24399999999997,1.3165999999999995,87.05,5,2,2,2,2,0.09090909090909091,16,0,0,0.7899908660013798,475.58779118342477,-2.3000000000000003,10.225706881392012,4.057277882797731,2.0280897515480927,0,0,0,2,0,5,62.844800000000006,,True,True,True,False,True,None,None
3RA,,,,c1ccc(cc1)NC2=NC(=O)C(=N2)Cc3ccc4c(c3)OCO4,O=C1N=C(Nc2ccccc2)N=C1Cc1ccc2c(c1)OCO2,"InChI=1S/C17H13N3O3/c21-16-13(8-11-6-7-14-15(9-11)23-10-22-14)19-17(20-16)18-12-4-2-1-3-5-12/h1-7,9H,8,10H2,(H,18,20,21)",ZDINVWCJHPMIKS-UHFFFAOYSA-N,307.309,2.4071,72.28,5,1,3,4,2,0.11764705882352941,23,0,0,0.9448586165946287,828.2321660711171,-3.15,13.508614597149139,5.565664810992264,2.7833765857222916,0,0,2,2,0,6,86.21070000000003,,True,True,True,True,True,None,None
6ZV,,,,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,"InChI=1S/C27H32F2N8/c1-5-35-8-10-36(11-9-35)16-19-6-7-24(30-14-19)33-27-31-15-22(29)25(34-27)20-12-21(28)26-23(13-20)37(17(2)3)18(4)32-26/h6-7,12-15,17H,5,8-11,16H2,1-4H3,(H,30,31,33,34)",UZWDCWONPYILKI-UHFFFAOYSA-N,506.6050000000003,4.936920000000004,75.0,7,1,7,5,4,0.4074074074074074,37,0,0,0.38068830735885517,1392.0510651500408,-3.4999999999999996,25.162222222222223,10.469320672023375,5.303824393666944,0,0,1,4,1,10,140.70769999999987,,True,True,True,False,True,None,None
