Rank,Ligand_Resolved,PDB_List,Count
1,2C3,['4mq1'],1
2,2C4,['4mq2'],1
3,2K2,['4nct'],1
4,39I,['7oy6'],1
5,3NG,['7z5n'],1
6,3RA,['4aze'],1
7,4E1,['4ylj'],1
8,4E2,['4ylk'],1
9,4E3,['4yll'],1
10,4H5,['4yu2'],1
11,4VZ,['7fhs'],1
12,4WD,['7fht'],1
13,5PW,['5a54'],1
14,6SD,['7a4z'],1
15,6ZV,['7o7k'],1
16,7QQ,['5a4e'],1
17,9OF,['6a1f'],1
18,9OL,['6a1g'],1
19,A1A04,['9cy5'],1
20,A1IE6,['9ft2'],1
21,A1IE7,['9ft3'],1
22,A1IE8,['9ft6'],1
23,A1IFJ,['9ft4'],1
24,A1IFO,['9fuf'],1
25,AJG,['5a4t'],1
26,AWR,['5aik'],1
27,B5T,['6eif'],1
28,B5Z,['6eij'],1
29,B6B,['6eil'],1
30,B6H,['6eir'],1
31,B6N,['6eis'],1
32,B6Q,['6eiv'],1
33,B6Z,['6eiq'],1
34,B7B,['6eip'],1
35,B7W,['6ej4'],1
36,CC9,['9fpx'],1
37,CUE,['8yev'],1
38,D15,"['2vx3', '2wo6']",2
39,EHB,['3anq'],1
40,EKU,['6ln1'],1
41,HRM,['3anr'],1
42,IWU,['7zh8'],1
43,JHW,['6qu2'],1
44,KQE,['6s11'],1
45,KQK,['6s17'],1
46,KQW,['6s14'],1
47,KQZ,['6s1h'],1
48,KR8,['6s1i'],1
49,KRK,['6s1j'],1
50,KRQ,['6s1b'],1
51,MFR,['7a5b'],1
52,MLW,['6t6a'],1
53,OPW,['6yf8'],1
54,Q8J,['6uip'],1
55,QIV,['5a3x'],1
56,QKG,['6uwy'],1
57,QS0,['8c3g'],1
58,QY8,['7a4r'],1
59,QYB,['7a52'],1
60,QYE,['7a4s'],1
61,QYH,['7a4w'],1
62,QYK,['7a51'],1
63,QYW,['7a5d'],1
64,QYZ,['7a53'],1
65,QZ2,['7a55'],1
66,QZW,['7a5l'],1
67,R05,['7a5n'],1
68,R7O,['8c3r'],1
69,RHH,['7ak2'],1
70,RHT,['7aj7'],1
71,RHW,['7aj5'],1
72,RHZ,['7aj4'],1
73,RJ2,['7aja'],1
74,RJ5,['7aj2'],1
75,RJ8,['7aj8'],1
76,RJZ,['7akb'],1
77,RK2,['7aka'],1
78,RK5,['7akl'],1
79,RK8,['7ake'],1
80,RKH,['7ajs'],1
81,RKK,['7ajv'],1
82,RKQ,['7ajw'],1
83,RKW,['7ajm'],1
84,RKZ,['7ajy'],1
85,RUT,['8c3q'],1
86,XIR,['8t2h'],1
87,Y3L,['5a4q'],1
88,YOX,['8r8e'],1
89,ZC3,['5a4l'],1
