Scaffold_ID,Recruiter_Count,Protein
DYRK1A_SCAF_1,1,DYRK1A
DYRK1A_SCAF_10,1,DYRK1A
DYRK1A_SCAF_11,1,DYRK1A
DYRK1A_SCAF_12,1,DYRK1A
DYRK1A_SCAF_13,1,DYRK1A
DYRK1A_SCAF_14,2,DYRK1A
DYRK1A_SCAF_15,1,DYRK1A
DYRK1A_SCAF_16,2,DYRK1A
DYRK1A_SCAF_17,1,DYRK1A
DYRK1A_SCAF_18,5,DYRK1A
DYRK1A_SCAF_19,3,DYRK1A
DYRK1A_SCAF_2,1,DYRK1A
DYRK1A_SCAF_20,1,DYRK1A
DYRK1A_SCAF_21,2,DYRK1A
DYRK1A_SCAF_22,1,DYRK1A
DYRK1A_SCAF_23,1,DYRK1A
DYRK1A_SCAF_24,1,DYRK1A
DYRK1A_SCAF_25,5,DYRK1A
DYRK1A_SCAF_26,1,DYRK1A
DYRK1A_SCAF_27,1,DYRK1A
DYRK1A_SCAF_28,1,DYRK1A
DYRK1A_SCAF_29,4,DYRK1A
DYRK1A_SCAF_3,1,DYRK1A
DYRK1A_SCAF_30,4,DYRK1A
DYRK1A_SCAF_31,1,DYRK1A
DYRK1A_SCAF_32,1,DYRK1A
DYRK1A_SCAF_33,1,DYRK1A
DYRK1A_SCAF_34,2,DYRK1A
DYRK1A_SCAF_35,1,DYRK1A
DYRK1A_SCAF_36,1,DYRK1A
DYRK1A_SCAF_37,3,DYRK1A
DYRK1A_SCAF_38,1,DYRK1A
DYRK1A_SCAF_39,1,DYRK1A
DYRK1A_SCAF_4,1,DYRK1A
DYRK1A_SCAF_40,1,DYRK1A
DYRK1A_SCAF_41,2,DYRK1A
DYRK1A_SCAF_42,1,DYRK1A
DYRK1A_SCAF_43,1,DYRK1A
DYRK1A_SCAF_44,1,DYRK1A
DYRK1A_SCAF_45,1,DYRK1A
DYRK1A_SCAF_46,2,DYRK1A
DYRK1A_SCAF_47,1,DYRK1A
DYRK1A_SCAF_48,1,DYRK1A
DYRK1A_SCAF_49,1,DYRK1A
DYRK1A_SCAF_5,2,DYRK1A
DYRK1A_SCAF_50,1,DYRK1A
DYRK1A_SCAF_51,1,DYRK1A
DYRK1A_SCAF_52,1,DYRK1A
DYRK1A_SCAF_53,1,DYRK1A
DYRK1A_SCAF_54,1,DYRK1A
DYRK1A_SCAF_55,1,DYRK1A
DYRK1A_SCAF_56,1,DYRK1A
DYRK1A_SCAF_57,1,DYRK1A
DYRK1A_SCAF_58,1,DYRK1A
DYRK1A_SCAF_59,1,DYRK1A
DYRK1A_SCAF_6,1,DYRK1A
DYRK1A_SCAF_60,1,DYRK1A
DYRK1A_SCAF_61,1,DYRK1A
DYRK1A_SCAF_62,1,DYRK1A
DYRK1A_SCAF_63,1,DYRK1A
DYRK1A_SCAF_64,1,DYRK1A
DYRK1A_SCAF_7,1,DYRK1A
DYRK1A_SCAF_8,1,DYRK1A
DYRK1A_SCAF_9,1,DYRK1A
