Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
DYRK1A,OPW,CC(=O)Nc1cc(cnc1)c2nc3cc(ccc3s2)OC,DYRK1A_SCAF_1,c1cncc(-c2nc3ccccc3s2)c1,fd8de6dc
DYRK1A,CC9,COc1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c2cc(c(cc2)O)OC)O,DYRK1A_SCAF_2,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,40dc57cd
DYRK1A,AJG,CC(=O)N=C1Nc2ccc(cc2S1)C#N,DYRK1A_SCAF_3,N=c1[nH]c2ccccc2s1,13d69016
DYRK1A,RKK,CCCCc1nc2ccc(nc2n1CCCC)c3cc(nc(c3)N)N,DYRK1A_SCAF_4,c1cc(-c2ccc3nc[nH]c3n2)ccn1,3f9de810
DYRK1A,RHZ,COc1cc(ccc1Cl)c2ccnc(c2)N,DYRK1A_SCAF_5,c1ccc(-c2ccncc2)cc1,0674939e
DYRK1A,B7B,CN1c2cnc(nc2N([C@@H]3CCC[C@@H]3C1=O)C4CCCC4)Nc5ccc(cc5)C(=O)N,DYRK1A_SCAF_6,O=C1Nc2cnc(Nc3ccccc3)nc2N(C2CCCC2)[C@@H]2CCC[C@H]12,a0bfe4ea
DYRK1A,EHB,CCN\1c2cc(ccc2S/C1=C\C(=O)C)O,DYRK1A_SCAF_7,C=C1Nc2ccccc2S1,0beaba0c
DYRK1A,QYH,COc1ccc(cc1)c2cc(nc(n2)N)N,DYRK1A_SCAF_8,c1ccc(-c2ccncn2)cc1,e32c98a7
DYRK1A,3RA,c1ccc(cc1)NC2=NC(=O)C(=N2)Cc3ccc4c(c3)OCO4,DYRK1A_SCAF_9,O=C1N=C(Nc2ccccc2)N=C1Cc1ccc2c(c1)OCO2,e332e194
DYRK1A,6ZV,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F,DYRK1A_SCAF_10,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc(CN3CCNCC3)cn2)n1,2c35b5db
DYRK1A,3NG,c1cc(cc(c1)Cl)Nc2c3ccncc3c4ccc(cc4n2)C(=O)O,DYRK1A_SCAF_11,c1ccc(Nc2nc3ccccc3c3cnccc23)cc1,ec116a8a
DYRK1A,QY8,c1c[nH]c2c1C(=O)NC(=N2)N,DYRK1A_SCAF_12,O=c1[nH]cnc2[nH]ccc12,4b18425e
DYRK1A,B6N,c1cc2c(cc1c3c[nH]nc3)c4c(cn2)C=CC(=O)N4c5ccc(cc5C(F)(F)F)F,DYRK1A_SCAF_13,O=c1ccc2cnc3ccc(-c4cn[nH]c4)cc3c2n1-c1ccccc1,9243f05f
DYRK1A,RKQ,Cc1nc2ccc(nc2n1CCOc3ccccc3)c4cc(nc(c4)N)N,DYRK1A_SCAF_14,c1ccc(OCCn2cnc3ccc(-c4ccncc4)nc32)cc1,06fab83d
DYRK1A,B5Z,c1cc(cc(c1)NC(=O)NCCN2CCOCC2)c3ccc4c(n3)sc(n4)NC(=O)C5CC5,DYRK1A_SCAF_15,O=C(NCCN1CCOCC1)Nc1cccc(-c2ccc3nc(NC(=O)C4CC4)sc3n2)c1,566f825b
DYRK1A,B7W,c1cc(cc(c1)N)c2cc3c(c[nH]c3nc2)c4cccnc4,DYRK1A_SCAF_16,c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1,3eb21c13
DYRK1A,QYB,c1ccc(cc1)c2c3c(n[nH]2)N=CNC3=O,DYRK1A_SCAF_17,O=c1[nH]cnc2n[nH]c(-c3ccccc3)c12,4aab6efd
DYRK1A,B5T,c1cc(cnc1)c2c[nH]c3c2cc(cn3)c4ccc(cc4)S(=O)(=O)N,DYRK1A_SCAF_16,c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1,3eb21c13
DYRK1A,Y3L,CC(=O)Nc1nc2ccc(cc2s1)Cl,DYRK1A_SCAF_18,c1ccc2scnc2c1,d04a9143
DYRK1A,B6H,CCC(=O)Nc1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3OC)N4CCN(CC4)C)N,DYRK1A_SCAF_19,O=C(c1ccccc1)c1cnc(Nc2ccc(N3CCNCC3)cc2)s1,f6b8a260
DYRK1A,KR8,CN(c1ccccc1)c2nccc(n2)c3cnn4c3cccn4,DYRK1A_SCAF_20,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,945a033f
DYRK1A,4WD,COc1ccc(cc1C#C)/C=C\2/C(=O)NC(=S)S2,DYRK1A_SCAF_21,O=C1NC(=S)S/C1=C\c1ccccc1,585b16be
DYRK1A,QS0,Cn1cc(c2c1cncc2)c3ccnc(n3)Nc4ccc(cc4OC)N5CCN(CC5)C,DYRK1A_SCAF_22,c1cc2c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)c[nH]c2cn1,73d14322
DYRK1A,2K2,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)N(C)C(=O)c9ccccc9)OC,DYRK1A_SCAF_23,O=C(N[C@H]1CC2O[C@H](C1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O)c1ccccc1,9be49091
DYRK1A,KQE,c1cc(cc(c1)OC(F)(F)F)c2cnc3n2nc(cc3)c4ccncc4,DYRK1A_SCAF_24,c1ccc(-c2cnc3ccc(-c4ccncc4)nn23)cc1,66a7037d
DYRK1A,4VZ,CCOc1cc(ccc1O)/C=C\2/C(=O)NC(=S)S2,DYRK1A_SCAF_21,O=C1NC(=S)S/C1=C\c1ccccc1,585b16be
DYRK1A,RKH,Cc1cc2cc(ccc2o1)c3cc(nc(c3)N)N,DYRK1A_SCAF_25,c1cc(-c2ccc3occc3c2)ccn1,1667eb9c
DYRK1A,B6Q,CCC(=O)Nc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)N4CCN(CC4)C)N,DYRK1A_SCAF_19,O=C(c1ccccc1)c1cnc(Nc2ccc(N3CCNCC3)cc2)s1,f6b8a260
DYRK1A,RJ2,c1cc2c(cco2)cc1c3ccnc(c3)N4CCNCC4,DYRK1A_SCAF_26,c1cc(-c2ccc3occc3c2)cc(N2CCNCC2)n1,4109a35b
DYRK1A,2C3,COc1ncc2c(n1)NC(=O)C(=C2)C(=O)Nc3cc(ccc3Cl)C(=O)N[C@H](CCN)c4cccc(c4)Cl,DYRK1A_SCAF_27,O=C(NCc1ccccc1)c1cccc(NC(=O)c2cc3cncnc3[nH]c2=O)c1,bb6327a4
DYRK1A,RHW,c1cc2c(cco2)cc1c3cc(nc(c3)N)N,DYRK1A_SCAF_25,c1cc(-c2ccc3occc3c2)ccn1,1667eb9c
DYRK1A,RUT,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(Oc4cc(cc(c4C3=O)O)O)c5ccc(c(c5)O)O)O)O)O)O)O)O,DYRK1A_SCAF_28,O=c1c(O[C@H]2CCC[C@@H](CO[C@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,62d697c4
DYRK1A,HRM,Cc1c2c(ccn1)c3ccc(cc3[nH]2)OC,DYRK1A_SCAF_29,c1ccc2c(c1)[nH]c1cnccc12,11430021
DYRK1A,RK8,Cc1nc2ccc(nc2n1C[C@H](C)Oc3cccc(n3)Br)c4cc(nc(c4)N)N,DYRK1A_SCAF_30,c1ccc(OCCn2cnc3ccc(-c4ccncc4)nc32)nc1,be483996
