protein,pdb,chain,ligand,MW,Name
DYRK1A,4ylk,A,4E2,422.604,"10-chloro-2-iodo-11H-indolo[3,2-c]quinoline-6-carboxylic acid"
DYRK1A,3anq,A,EHB,235.302,"(1Z)-1-(3-ethyl-5-hydroxy-1,3-benzothiazol-2(3H)-ylidene)propan-2-one"
DYRK1A,3anq,B,EHB,235.302,"(1Z)-1-(3-ethyl-5-hydroxy-1,3-benzothiazol-2(3H)-ylidene)propan-2-one"
DYRK1A,3anq,C,EHB,235.302,"(1Z)-1-(3-ethyl-5-hydroxy-1,3-benzothiazol-2(3H)-ylidene)propan-2-one"
DYRK1A,3anq,D,EHB,235.302,"(1Z)-1-(3-ethyl-5-hydroxy-1,3-benzothiazol-2(3H)-ylidene)propan-2-one"
DYRK1A,3anr,A,HRM,212.247,7-METHOXY-1-METHYL-9H-BETA-CARBOLINE
DYRK1A,3anr,B,HRM,212.247,7-METHOXY-1-METHYL-9H-BETA-CARBOLINE
DYRK1A,3anr,C,HRM,212.247,7-METHOXY-1-METHYL-9H-BETA-CARBOLINE
DYRK1A,3anr,D,HRM,212.247,7-METHOXY-1-METHYL-9H-BETA-CARBOLINE
DYRK1A,4yu2,A,4H5,271.702,(1-chloro-7-methoxy-9H-beta-carbolin-9-yl)acetonitrile
DYRK1A,4yu2,B,4H5,271.702,(1-chloro-7-methoxy-9H-beta-carbolin-9-yl)acetonitrile
DYRK1A,4yu2,C,4H5,271.702,(1-chloro-7-methoxy-9H-beta-carbolin-9-yl)acetonitrile
DYRK1A,4yu2,D,4H5,271.702,(1-chloro-7-methoxy-9H-beta-carbolin-9-yl)acetonitrile
DYRK1A,4yll,A,4E3,467.055,"10-bromo-2-iodo-11H-indolo[3,2-c]quinoline-6-carboxylic acid"
DYRK1A,4aze,A,3RA,307.303,"5-(1,3-benzodioxol-5-ylmethyl)-2-(phenylamino)-4H-imidazol-4-one"
DYRK1A,4aze,B,3RA,307.303,"5-(1,3-benzodioxol-5-ylmethyl)-2-(phenylamino)-4H-imidazol-4-one"
DYRK1A,4aze,C,3RA,307.303,"5-(1,3-benzodioxol-5-ylmethyl)-2-(phenylamino)-4H-imidazol-4-one"
DYRK1A,4mq2,A,2C4,388.762,"methyl 4-chloro-3-{[(2-methoxy-7-oxo-7,8-dihydropyrido[2,3-d]pyrimidin-6-yl)carbonyl]amino}benzoate"
DYRK1A,4mq2,B,2C4,388.762,"methyl 4-chloro-3-{[(2-methoxy-7-oxo-7,8-dihydropyrido[2,3-d]pyrimidin-6-yl)carbonyl]amino}benzoate"
DYRK1A,4mq2,C,2C4,388.762,"methyl 4-chloro-3-{[(2-methoxy-7-oxo-7,8-dihydropyrido[2,3-d]pyrimidin-6-yl)carbonyl]amino}benzoate"
DYRK1A,4mq2,D,2C4,388.762,"methyl 4-chloro-3-{[(2-methoxy-7-oxo-7,8-dihydropyrido[2,3-d]pyrimidin-6-yl)carbonyl]amino}benzoate"
DYRK1A,4ylj,A,4E1,388.159,"10-iodo-11H-indolo[3,2-c]quinoline-6-carboxylic acid"
DYRK1A,4ylj,B,4E1,388.159,"10-iodo-11H-indolo[3,2-c]quinoline-6-carboxylic acid"
DYRK1A,4ylj,C,4E1,388.159,"10-iodo-11H-indolo[3,2-c]quinoline-6-carboxylic acid"
DYRK1A,4ylj,D,4E1,388.159,"10-iodo-11H-indolo[3,2-c]quinoline-6-carboxylic acid"
DYRK1A,2vx3,A,D15,447.917,N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide
