Ligand,Name,Formula,Type,SMILES,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
2NC,,,,CCCC[C@@H](CN[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]([C@@H](C)O)NC(=O)C,CCCC[C@@H](CN[C@@H](CCCC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@@H](C)CC,"InChI=1S/C35H67N11O8/c1-7-10-13-23(43-33(53)28(20(4)9-3)46-34(54)29(21(5)47)42-22(6)48)19-41-25(14-11-8-2)31(51)45-26(16-17-27(36)49)32(52)44-24(30(37)50)15-12-18-40-35(38)39/h20-21,23-26,28-29,41,47H,7-19H2,1-6H3,(H2,36,49)(H2,37,50)(H,42,48)(H,43,53)(H,44,52)(H,45,51)(H,46,54)(H4,38,39,40)/p+1/t20-,21+,23-,24-,25-,26-,28-,29-/m0/s1",MQPXOVRKKPPKFZ-QYKDHROSSA-O,770.9980000000002,-3.6098000000000168,327.58,9,12,29,0,0,0.7714285714285715,54,8,1,0.020023349496048764,1235.5206716332334,-4.520000000000001,49.48,27.121280822562333,20.64957693055951,0,0,0,0,0,19,203.2832999999996,,False,False,False,False,False,None,Aliphatic_long_chain; imine_1; imine_2
DR7,,,,CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,"InChI=1S/C38H52N6O7/c1-37(2,3)31(41-35(48)50-7)33(46)40-29(22-25-14-10-9-11-15-25)30(45)24-44(43-34(47)32(38(4,5)6)42-36(49)51-8)23-26-17-19-27(20-18-26)28-16-12-13-21-39-28/h9-21,29-32,45H,22-24H2,1-8H3,(H,40,46)(H,41,48)(H,42,49)(H,43,47)/t29-,30-,31+,32+/m0/s1",AXRYRYVKAWYZBR-GASGPIRDSA-N,704.8690000000001,4.2116000000000025,171.22,9,5,14,3,3,0.4473684210526316,51,4,0,0.15431195958816882,1574.2277692726852,-5.01,40.419775408600145,18.291597116963185,12.676170892886663,0,0,0,3,0,13,193.87659999999948,,True,False,False,False,False,None,Oxygen-nitrogen_single_bond
017,,,,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,"InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26+/m0/s1",CJBJHOAVZSMMDJ-HEXNFIEUSA-N,547.6740000000003,2.3752999999999997,140.42000000000002,8,3,11,4,2,0.5185185185185185,38,5,0,0.36442311667248134,1160.9535123927155,-2.6999999999999993,28.311664132961564,12.437477968274312,7.02972972972973,0,0,2,2,2,11,141.59569999999994,,True,False,False,False,True,None,aniline
1UN,,,,Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,"InChI=1S/C32H45N3O4S/c1-21-25(15-10-16-28(21)36)30(38)33-26(20-40-24-13-6-5-7-14-24)29(37)19-35-18-23-12-9-8-11-22(23)17-27(35)31(39)34-32(2,3)4/h5-7,10,13-16,22-23,26-27,29,36-37H,8-9,11-12,17-20H2,1-4H3,(H,33,38)(H,34,39)/t22-,23+,26-,27-,29+/m0/s1",QAGYKUNXZHXKMR-HKWSIXNMSA-N,567.7960000000004,4.747620000000005,101.9,6,4,9,4,2,0.5625,40,5,0,0.3265009773626079,1152.5947105502235,-2.5499999999999994,30.409538932375426,13.407906745472761,8.015265495682277,0,0,2,2,2,8,160.5924999999997,,True,True,True,False,True,None,None
ROC,,,,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@]1C[C@H]([C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4)O,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,"InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)/t26-,27+,30-,31-,32-,33+/m0/s1",QWAXKHKRTORLEM-UGJKXSETSA-N,670.8550000000001,3.0924000000000036,166.74999999999997,7,5,12,5,3,0.5,49,6,0,0.19750207121883465,1625.6024314296826,-4.3500000000000005,35.943823258820636,15.907355493348835,9.85622067816918,0,0,2,3,2,11,188.21379999999954,,True,False,False,False,False,None,None
478,,,,CC(C)C[N@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)c3ccc(cc3)N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,"InChI=1S/C25H35N3O6S/c1-18(2)15-28(35(31,32)22-10-8-20(26)9-11-22)16-24(29)23(14-19-6-4-3-5-7-19)27-25(30)34-21-12-13-33-17-21/h3-11,18,21,23-24,29H,12-17,26H2,1-2H3,(H,27,30)/t21-,23-,24+/m0/s1",YMARZQAQMVYCKC-OEMFJLHTSA-N,505.63700000000034,2.4028,131.19000000000003,7,3,11,3,2,0.48,35,3,0,0.3997403747719006,1040.6316495890258,-2.6599999999999993,26.936267616072655,12.345732221204479,7.9265893890495,0,0,1,2,1,10,133.23270000000002,,True,False,False,False,True,None,aniline
DRS,,,,CC(C)[C@H]1C(=O)N[C@@H](Cc2ccc(cc2)OCCCCC(=O)N1)C(=O)O,CC(C)[C@@H]1NC(=O)CCCCOc2ccc(cc2)C[C@@H](C(=O)O)NC1=O,"InChI=1S/C19H26N2O5/c1-12(2)17-18(23)20-15(19(24)25)11-13-6-8-14(9-7-13)26-10-4-3-5-16(22)21-17/h6-9,12,15,17H,3-5,10-11H2,1-2H3,(H,20,23)(H,21,22)(H,24,25)/t15-,17-/m0/s1",RRAAROKJUVKWAF-RDJZCZTQSA-N,362.42600000000016,1.5019999999999996,104.73,4,3,2,3,1,0.5263157894736842,26,2,0,0.7395012615360809,641.8344945989015,-2.5700000000000003,19.750764096806282,9.21723929142728,5.753145400192664,0,2,2,1,0,7,95.82720000000008,,True,True,True,True,True,None,None
PI8,,,,CC[C@H](C)[C@H]1C(=O)NCCCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC[C@H](C[C@@H](Cc3ccccc3)C(=O)N[C@H]4c5ccccc5C[C@H]4O)O,CC[C@H](C)[C@@H]1NC(=O)[C@@H](NC[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)Cc2ccc(cc2)OCCCCCNC1=O,"InChI=1S/C41H54N4O6/c1-3-27(2)37-41(50)42-20-10-5-11-21-51-33-18-16-29(17-19-33)23-35(40(49)44-37)43-26-32(46)24-31(22-28-12-6-4-7-13-28)39(48)45-38-34-15-9-8-14-30(34)25-36(38)47/h4,6-9,12-19,27,31-32,35-38,43,46-47H,3,5,10-11,20-26H2,1-2H3,(H,42,50)(H,44,49)(H,45,48)/t27-,31+,32-,35-,36+,37-,38-/m0/s1",ZXUOAWXMXWTRGE-ZKQACQBYSA-N,698.9050000000002,3.7815000000000043,149.01999999999998,7,6,11,6,3,0.4878048780487805,51,7,0,0.17865090192047126,1567.8420326826356,-4.249999999999999,37.99196170739402,18.831666473966163,10.871220350555939,0,2,3,3,0,10,196.97439999999943,,False,False,False,False,False,None,None
KVS,,,,[H]/N=C(\N)/NCCC[C@@H](C(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCC)CC([C@H](CCCC)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]([C@@H](C)O)NC(=O)C)(O)O,[H]/N=C(\N)NCCC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCC)CC(O)(O)[C@H](CCCC)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(N)=O,"InChI=1S/C36H68N10O10/c1-7-10-13-23(31(51)44-25(16-17-27(37)49)32(52)43-24(30(38)50)14-12-18-41-35(39)40)19-36(55,56)26(15-11-8-2)45-33(53)28(20(4)9-3)46-34(54)29(21(5)47)42-22(6)48/h20-21,23-26,28-29,47,55-56H,7-19H2,1-6H3,(H2,37,49)(H2,38,50)(H,42,48)(H,43,52)(H,44,51)(H,45,53)(H,46,54)(H4,39,40,41)/t20-,21+,23+,24-,25-,26-,28-,29-/m0/s1",GHZIZWOGRIROFP-WZGNFWQUSA-N,801.0000000000005,-2.0611299999999964,354.27000000000004,11,13,29,0,0,0.7777777777777778,56,8,0,0.016814222223793366,1352.531479633482,-4.560000000000001,49.459440124416794,26.321582745264674,19.853879161131907,0,0,0,0,0,20,207.56249999999957,,False,False,False,False,False,None,Aliphatic_long_chain; het-C-het_not_in_ring; imine_1; imine_2
DRR,,,,CC[C@H](C)[C@H]1C(=O)NCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC(=O)[C@@H]3Cc4ccc(cc4)OCCCCC(=O)N[C@H](C(=O)N3)C(C)C,CC[C@H](C)[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H]2Cc3ccc(cc3)OCCCCC(=O)N[C@@H](C(C)C)C(=O)N2)Cc2ccc(cc2)OCCCNC1=O,"InChI=1S/C37H51N5O7/c1-5-24(4)33-36(46)38-18-8-20-49-28-16-12-26(13-17-28)22-30(35(45)42-33)39-34(44)29-21-25-10-14-27(15-11-25)48-19-7-6-9-31(43)41-32(23(2)3)37(47)40-29/h10-17,23-24,29-30,32-33H,5-9,18-22H2,1-4H3,(H,38,46)(H,39,44)(H,40,47)(H,41,43)(H,42,45)/t24-,29-,30-,32-,33-/m0/s1",LMXVYRBJYYRIPR-JNGVDVETSA-N,677.8430000000001,2.574500000000003,163.96,7,5,5,6,2,0.5405405405405406,49,5,0,0.32484712137051713,1429.6266440441452,-4.609999999999999,37.21268681338034,18.234497872131733,11.221176821584775,0,4,4,2,0,12,184.77549999999948,,True,False,False,False,False,None,None
