Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
Protease,Protease_SCAF_1,,,Unknown,,,,1,1,0.06666666666666667
Protease,Protease_SCAF_10,O=C1CCCCOc2ccc(cc2)C[C@@H](C(=O)N[C@H]2Cc3ccc(cc3)OCCCNC(=O)CNC2=O)NC(=O)CN1,O=C1CCCCOc2ccc(cc2)C[C@@H](C(=O)N[C@H]2Cc3ccc(cc3)OCCCNC(=O)CNC2=O)NC(=O)CN1,Polycyclic_Hetero,4.886105584831322e-14,-1.4171505038379847e-14,0.020178271818228635,1,1,0.06666666666666667
Protease,Protease_SCAF_11,O=C1CCCCCOc2ccc(cc2)C[C@@H](CCNS(=O)(=O)c2ccccc2)NC(=O)CN1,O=C1CCCCCOc2ccc(cc2)C[C@@H](CCNS(=O)(=O)c2ccccc2)NC(=O)CN1,Polycyclic_Hetero,-1.8905016441195244e-14,-1.1310397063368782e-15,0.03731790684670775,1,1,0.06666666666666667
Protease,Protease_SCAF_12,O=C1CCCOc2ccc(cc2)C[C@@H](CCNS(=O)(=O)c2ccccc2)NC(=O)CN1,O=C1CCCOc2ccc(cc2)C[C@@H](CCNS(=O)(=O)c2ccccc2)NC(=O)CN1,Polycyclic_Hetero,-2.0259656021780442e-14,-0.11584604701283288,-8.981321433691784e-15,1,2,0.13333333333333333
Protease,Protease_SCAF_13,O=C(N[C@H](CCNS(=O)(=O)c1ccc2ncsc2c1)Cc1ccccc1)[C@@H]1CN(c2ccccc2)C(=O)O1,O=C(N[C@H](CCNS(=O)(=O)c1ccc2ncsc2c1)Cc1ccccc1)[C@@H]1CN(c2ccccc2)C(=O)O1,Polycyclic_Hetero,1.2614909117303341e-14,4.891920202254596e-16,-1.7139067942650854e-14,1,1,0.06666666666666667
Protease,Protease_SCAF_14,O=C(N[C@H](CCNS(=O)(=O)c1ccc2c(c1)OCO2)Cc1ccccc1)[C@@H]1CN(c2ccccc2)C(=O)O1,O=C(N[C@H](CCNS(=O)(=O)c1ccc2c(c1)OCO2)Cc1ccccc1)[C@@H]1CN(c2ccccc2)C(=O)O1,Polycyclic_Hetero,-3.8123350630205374e-15,-2.878381293997406e-14,0.046102880729452934,1,1,0.06666666666666667
Protease,Protease_SCAF_2,c1ccc(CCCCNCc2ccc(-c3ccccn3)cc2)cc1,c1ccc(CCCCNCc2ccc(-c3ccccn3)cc2)cc1,Polycyclic_Hetero,1.217544583672255e-14,3.7562545666484466e-15,-0.011776142395986384,1,1,0.06666666666666667
Protease,Protease_SCAF_3,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CO[C@H]2OCC[C@H]21,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CO[C@H]2OCC[C@H]21,Polycyclic_Hetero,2.6541731775372075e-14,1.0680345496894006e-14,6.557717332119258e-15,1,1,0.06666666666666667
Protease,Protease_SCAF_4,O=C(N[C@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)CSc1ccccc1)c1ccccc1,O=C(N[C@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)CSc1ccccc1)c1ccccc1,Polycyclic_Hetero,5.113964807179627e-15,5.117434254131581e-16,5.665606872540252e-15,1,1,0.06666666666666667
Protease,Protease_SCAF_5,O=C(CNC(=O)c1ccc2ccccc2n1)N[C@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)Cc1ccccc1,O=C(CNC(=O)c1ccc2ccccc2n1)N[C@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)Cc1ccccc1,Polycyclic_Hetero,-1.1543358861369294e-13,-0.05324236738175939,7.413625269236945e-14,1,1,0.06666666666666667
Protease,Protease_SCAF_6,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CCOC1,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CCOC1,Polycyclic_Hetero,-4.731568672220667e-15,-6.459479416000911e-16,0.03236570947177521,1,1,0.06666666666666667
Protease,Protease_SCAF_7,O=C1CCCCOc2ccc(cc2)CCNC(=O)CN1,O=C1CCCCOc2ccc(cc2)CCNC(=O)CN1,Polycyclic_Hetero,-8.493206138382448e-16,6.661338147750939e-17,-0.0765823715613991,1,1,0.06666666666666667
Protease,Protease_SCAF_8,O=C1CNC(=O)[C@@H](NCCC[C@@H](Cc2ccccc2)C(=O)N[C@@H]2CCc3ccccc32)Cc2ccc(cc2)OCCCCCN1,O=C1CNC(=O)[C@@H](NCCC[C@@H](Cc2ccccc2)C(=O)N[C@@H]2CCc3ccccc32)Cc2ccc(cc2)OCCCCCN1,Polycyclic_Hetero,-1.5869503513485952e-12,0.056889998134949486,-1.5747110575210792e-13,1,1,0.06666666666666667
Protease,Protease_SCAF_9,,,Unknown,,,,1,1,0.06666666666666667
