pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
3eaw,3EAW,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3EAW.cif,verified,WAR/TYMS/3eaw.cif,WAR/TYMS/3eaw.cif,true,286172,,2026-06-05T12:11:08Z
3edw,3EDW,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3EDW.cif,verified,WAR/TYMS/3edw.cif,WAR/TYMS/3edw.cif,true,280776,,2026-06-05T12:11:08Z
3ehi,3EHI,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3EHI.cif,verified,WAR/TYMS/3ehi.cif,WAR/TYMS/3ehi.cif,true,303205,,2026-06-05T12:11:08Z
1ypv,1YPV,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/1YPV.cif,verified,WAR/TYMS/1ypv.cif,WAR/TYMS/1ypv.cif,true,258173,,2026-06-05T12:11:08Z
3ebu,3EBU,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3EBU.cif,verified,WAR/TYMS/3ebu.cif,WAR/TYMS/3ebu.cif,true,292821,,2026-06-05T12:11:08Z
3egy,3EGY,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3EGY.cif,verified,WAR/TYMS/3egy.cif,WAR/TYMS/3egy.cif,true,269623,,2026-06-05T12:11:08Z
3ef9,3EF9,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3EF9.cif,verified,WAR/TYMS/3ef9.cif,WAR/TYMS/3ef9.cif,true,266854,,2026-06-05T12:11:08Z
3ed7,3ED7,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3ED7.cif,verified,WAR/TYMS/3ed7.cif,WAR/TYMS/3ed7.cif,true,298831,,2026-06-05T12:11:08Z
2rd8,2RD8,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/2RD8.cif,verified,WAR/TYMS/2rd8.cif,WAR/TYMS/2rd8.cif,true,506293,,2026-06-05T12:11:08Z
3gh0,3GH0,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3GH0.cif,verified,WAR/TYMS/3gh0.cif,WAR/TYMS/3gh0.cif,true,296807,,2026-06-05T12:11:08Z
3ejl,3EJL,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3EJL.cif,verified,WAR/TYMS/3ejl.cif,WAR/TYMS/3ejl.cif,true,999670,,2026-06-05T12:11:08Z
3gh2,3GH2,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3GH2.cif,verified,WAR/TYMS/3gh2.cif,WAR/TYMS/3gh2.cif,true,293938,,2026-06-05T12:11:08Z
3gg5,3GG5,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3GG5.cif,verified,WAR/TYMS/3gg5.cif,WAR/TYMS/3gg5.cif,true,986599,,2026-06-05T12:11:08Z
3n5g,3N5G,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3N5G.cif,verified,WAR/TYMS/3n5g.cif,WAR/TYMS/3n5g.cif,true,484203,,2026-06-05T12:11:08Z
3n5e,3N5E,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3N5E.cif,verified,WAR/TYMS/3n5e.cif,WAR/TYMS/3n5e.cif,true,519546,,2026-06-05T12:11:08Z
4e28,4E28,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/4E28.cif,verified,WAR/TYMS/4e28.cif,WAR/TYMS/4e28.cif,true,479874,,2026-06-05T12:11:08Z
3ihi,3IHI,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3IHI.cif,verified,WAR/TYMS/3ihi.cif,WAR/TYMS/3ihi.cif,true,532320,,2026-06-05T12:11:08Z
3h9k,3H9K,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/3H9K.cif,verified,WAR/TYMS/3h9k.cif,WAR/TYMS/3h9k.cif,true,1234780,,2026-06-05T12:11:08Z
2rda,2RDA,TYMS,rcsb,Thymidylate_synthase,https://files.rcsb.org/download/2RDA.cif,verified,WAR/TYMS/2rda.cif,WAR/TYMS/2rda.cif,true,1428599,,2026-06-05T12:11:08Z
