Ligand,Name,Formula,Type,SMILES,Parent_SMILES,Salt_Stripped,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
GSH,Glutathione,C10 H17 N3 O6 S,peptide-like,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,False,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1",RWSXRVCMGQZWBV-WDSKDSINSA-N,307.32800000000003,-2.2060999999999984,158.82000000000002,6,6,9,0,0,0.6,20,0,0,0.26343729334807475,389.18921854622977,-1.81,18.19,9.15071374245247,7.586610574291715,0,0,0,0,0,10,71.27440000000003,nan,True,False,False,False,False,None,thiol_2
0MZ,"2-{(2Z,5S)-4-hydroxy-2-[(2E)-(2-hydroxybenzylidene)hydrazinylidene]-2,5-dihydro-1,3-thiazol-5-yl}-N-[3-(trifluoromethyl)phenyl]acetamide",C19 H15 F3 N4 O3 S,non-polymer,c1ccc(c(c1)/C=N/N=C\2/N=C([C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O)O,O=C(C[C@@H]1S/C(=N\N=C\c2ccccc2O)N=C1O)Nc1cccc(C(F)(F)F)c1,False,O=C(C[C@@H]1S/C(=N\N=C\c2ccccc2O)N=C1O)Nc1cccc(C(F)(F)F)c1,"InChI=1S/C19H15F3N4O3S/c20-19(21,22)12-5-3-6-13(8-12)24-16(28)9-15-17(29)25-18(30-15)26-23-10-11-4-1-2-7-14(11)27/h1-8,10,15,27H,9H2,(H,24,28)(H,25,26,29)/b23-10+/t15-/m0/s1",OBVIGUGYWMTZGZ-MQEPLNOPSA-N,436.415,4.201600000000002,106.64,5,3,5,3,2,0.15789473684210525,30,0,0,0.48234457845687273,1037.6798541538917,-3.339999999999999,21.370814618437205,8.99092273160249,5.597693593925603,0,0,1,2,0,11,109.26930000000002,nan,True,True,True,True,True,hzone_phenol_A(479),imine_1; Oxygen-nitrogen_single_bond
9MZ,"2-{(5S)-2-[(2E)-2-(2-hydroxybenzylidene)hydrazinyl]-4-oxo-4,5-dihydro-1,3-thiazol-5-yl}-N-[3-(trifluoromethyl)phenyl]acetamide",C19 H15 F3 N4 O3 S,non-polymer,c1ccc(c(c1)/C=N/NC2=NC(=O)[C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O,O=C(C[C@@H]1SC(N/N=C/c2ccccc2O)=NC1=O)Nc1cccc(C(F)(F)F)c1,False,O=C(C[C@@H]1SC(N/N=C/c2ccccc2O)=NC1=O)Nc1cccc(C(F)(F)F)c1,"InChI=1S/C19H15F3N4O3S/c20-19(21,22)12-5-3-6-13(8-12)24-16(28)9-15-17(29)25-18(30-15)26-23-10-11-4-1-2-7-14(11)27/h1-8,10,15,27H,9H2,(H,24,28)(H,25,26,29)/b23-10+/t15-/m0/s1",OBVIGUGYWMTZGZ-MQEPLNOPSA-N,436.415,3.3613000000000013,103.15,6,3,5,3,2,0.15789473684210525,30,0,0,0.4927451274702877,1024.079377942998,-3.339999999999999,21.370814618437205,8.99092273160249,5.597693593925603,0,0,1,2,0,11,107.34819999999999,nan,True,True,True,True,True,hzone_phenol_A(479),imine_1; Oxygen-nitrogen_single_bond
TIY,"2,3,4,6-tetrahydroxy-5H-benzo[7]annulen-5-one",C11 H8 O5,non-polymer,c1c2c(c(c(c1O)O)O)C(=O)C(=CC=C2)O,O=c1c(O)cccc2cc(O)c(O)c(O)c12,False,O=c1c(O)cccc2cc(O)c(O)c(O)c12,"InChI=1S/C11H8O5/c12-6-3-1-2-5-4-7(13)10(15)11(16)8(5)9(6)14/h1-4,13,15-16H,(H,12,14)",WDGFFVCWBZVLCE-UHFFFAOYSA-N,220.17999999999998,1.0223999999999998,97.99,5,4,0,2,2,0.0,16,0,0,0.4967716692942413,633.278820392749,-2.4299999999999997,10.100230836013301,3.3032304812929754,1.2969826598689291,0,0,0,2,0,5,56.87720000000002,nan,True,True,True,False,True,catechol_A(92),catechol
DHF,DIHYDROFOLIC ACID,C19 H21 N7 O6,non-polymer,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=NC3=C(NC2)NC(=NC3=O)N,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)=N2,False,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)=N2,"InChI=1S/C19H21N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,12,21H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t12-/m0/s1",OZRNSSUDZOLUSN-LBPRGKRZSA-N,443.4200000000002,0.01000000000000173,211.89000000000001,9,7,9,3,2,0.2631578947368421,32,0,0,0.27561126712723827,1125.9766231088117,-4.420000000000001,22.26936716464581,9.592785702640027,5.5901457815879025,0,0,1,2,0,13,115.54630000000002,nan,True,False,False,True,False,None,None
NOH,2'-deoxy-N-hydroxycytidine 5'-(dihydrogen phosphate),C9 H14 N3 O8 P,non-polymer,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)NO)COP(=O)(O)O)O,O=c1nc(NO)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,False,O=c1nc(NO)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,"InChI=1S/C9H14N3O8P/c13-5-3-8(20-6(5)4-19-21(16,17)18)12-2-1-7(11-15)10-9(12)14/h1-2,5-6,8,13,15H,3-4H2,(H,10,11,14)(H2,16,17,18)/t5-,6+,8+/m0/s1",YKOWBJJOJNGCAD-SHYZEUOFSA-N,323.19800000000004,-1.1979,163.37,9,5,5,2,1,0.5555555555555556,21,0,0,0.3282974553474924,600.9007146170702,-1.3300000000000003,16.04767212507744,6.1971194172448385,4.077643925341546,0,0,1,1,1,12,66.43610000000001,nan,True,False,False,False,False,None,Oxygen-nitrogen_single_bond; phosphor
PBX,"4-bromobenzene-1,2,3-triol",C6 H5 Br O3,non-polymer,c1cc(c(c(c1O)O)O)Br,Oc1ccc(Br)c(O)c1O,False,Oc1ccc(Br)c(O)c1O,"InChI=1S/C6H5BrO3/c7-3-1-2-4(8)6(10)5(3)9/h1-2,8-10H",TYRFQQZIVRBJAK-UHFFFAOYSA-N,205.00699999999995,1.5659000000000005,60.69,3,3,0,1,1,0.0,10,0,0,0.5629520174262779,232.41499587006638,-0.8999999999999999,7.20989010989011,2.379354349979605,1.0192160796265575,0,0,0,1,0,4,39.136400000000016,nan,True,True,True,False,True,catechol_A(92),catechol
KI3,"3-amino-2-benzoyl-4-methylthieno[2,3-b]pyridin-6-ol",C15 H12 N2 O2 S,non-polymer,Cc1cc(nc2c1c(c(s2)C(=O)c3ccccc3)N)O,Cc1cc(O)nc2sc(C(=O)c3ccccc3)c(N)c12,False,Cc1cc(O)nc2sc(C(=O)c3ccccc3)c(N)c12,"InChI=1S/C15H12N2O2S/c1-8-7-10(18)17-15-11(8)12(16)14(20-15)13(19)9-5-3-2-4-6-9/h2-7H,16H2,1H3,(H,17,18)",PNCPOBGZUHFDDF-UHFFFAOYSA-N,284.34000000000003,3.1235200000000014,76.21000000000001,5,2,2,3,3,0.06666666666666667,20,0,0,0.7088099663041817,809.601619636988,-2.4,12.624573094543939,4.610774287801315,1.9215144230769237,0,0,0,3,0,5,80.30870000000003,nan,True,True,True,True,True,None,None
DCM,2'-DEOXYCYTIDINE-5'-MONOPHOSPHATE,C9 H14 N3 O7 P,non-polymer,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,False,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,"InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1",NCMVOABPESMRCP-SHYZEUOFSA-N,307.19899999999996,-1.4167999999999998,157.13,8,4,4,2,1,0.5555555555555556,20,0,0,0.48991422293348935,585.1490618746324,-1.2900000000000003,15.105588905697815,5.602297368900154,3.6292034489649936,0,0,1,1,1,11,65.43930000000002,nan,True,False,False,False,False,None,phosphor
D16,TOMUDEX,C21 H22 N4 O6 S,non-polymer,CC1=NC(=O)c2cc(ccc2N1)CN(C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,False,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,"InChI=1S/C21H22N4O6S/c1-11-22-14-4-3-12(9-13(14)19(28)23-11)10-25(2)17-7-6-16(32-17)20(29)24-15(21(30)31)5-8-18(26)27/h3-4,6-7,9,15H,5,8,10H2,1-2H3,(H,24,29)(H,26,27)(H,30,31)(H,22,23,28)/t15-/m0/s1",IVTVGDXNLFLDRM-HNNXBMFYSA-N,458.4960000000002,1.97722,152.69,7,4,9,3,3,0.2857142857142857,32,0,0,0.3796834810105909,1234.4980767269817,-3.73,22.944111391922647,9.60254253462119,5.491508086574946,0,0,0,3,0,11,119.28650000000007,nan,True,False,False,True,False,None,None
7Z9,2-azanyl-6-methyl-5-pyridin-4-ylsulfanyl-3H-quinazolin-4-one,C14 H12 N4 O S,non-polymer,Cc1ccc2c(c1Sc3ccncc3)C(=O)NC(=N2)N,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,False,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,"InChI=1S/C14H12N4OS/c1-8-2-3-10-11(13(19)18-14(15)17-10)12(8)20-9-4-6-16-7-5-9/h2-7H,1H3,(H3,15,17,18,19)",XHWRWCSCBDLOLM-UHFFFAOYSA-N,284.34400000000005,2.3599200000000002,84.66,5,2,2,3,3,0.07142857142857142,20,0,0,0.7542952775207158,829.691781992004,-2.34,12.681588779340341,4.974004116895683,2.2518320648073638,0,0,0,3,0,6,79.87310000000001,nan,True,True,True,True,True,None,None
MTX,METHOTREXATE,C20 H22 N8 O5,non-polymer,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,False,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)/t13-/m0/s1",FBOZXECLQNJBKD-ZDUSSCGKSA-N,454.44700000000023,0.2684000000000003,210.53999999999996,10,5,9,3,3,0.25,33,0,0,0.29472034504927447,1201.0294275064248,-4.55,23.12024193744085,9.71963980458573,5.782489078211631,0,0,0,3,0,13,118.26160000000006,nan,True,False,False,True,False,None,None
