Target,pdb_id,Warhead,Residue_ID,Total_atoms,Exposed_atoms,SASA_in_complex_A2,%Exposed,%Buried,Chain,LigandX_Source,Ligand5_Source,Ligand_Resolved,Warhead_5,SMILES,Ion_Dropped,Ion_Drop_Reason,Parent_SMILES,Salt_Stripped
TYMS,3ob7,GSH,314,20,19,177.603,0.95,0.05,A,GSH,GSH,GSH,,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,False,,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,False
TYMS,4e28,9MZ,404,43,29,252.587,0.674,0.326,A,9MZ,9MZ,9MZ,,c1ccc(c(c1)/C=N/NC2=NC(=O)[C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O,False,,O=C(C[C@@H]1SC(N/N=C/c2ccccc2O)=NC1=O)Nc1cccc(C(F)(F)F)c1,False
TYMS,4e28,0MZ,403,44,32,261.205,0.727,0.273,A,0MZ,0MZ,0MZ,,c1ccc(c(c1)/C=N/N=C\2/N=C([C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O)O,False,,O=C(C[C@@H]1S/C(=N\N=C\c2ccccc2O)N=C1O)Nc1cccc(C(F)(F)F)c1,False
TYMS,3ob7,GSH,581,20,17,175.185,0.85,0.15,D,GSH,GSH,GSH,,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,False,,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,False
TYMS,4g2o,TIY,500,16,11,203.72,0.688,0.312,X,TIY,TIY,TIY,,c1c2c(c(c(c1O)O)O)C(=O)C(=CC=C2)O,False,,O=c1c(O)cccc2cc(O)c(O)c(O)c12,False
TYMS,4ez8,DHF,402,32,24,151.815,0.75,0.25,A,DHF,DHF,DHF,,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=NC3=C(NC2)NC(=NC3=O)N,False,,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)=N2,False
TYMS,4ez8,NOH,401,21,14,80.699,0.667,0.333,A,NOH,NOH,NOH,,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)NO)COP(=O)(O)O)O,False,,O=c1nc(NO)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,False
TYMS,4g6w,PBX,600,10,6,130.858,0.6,0.4,X,PBX,PBX,PBX,,c1cc(c(c(c1O)O)O)Br,False,,Oc1ccc(Br)c(O)c1O,False
TYMS,5hs3,KI3,401,32,22,57.092,0.688,0.312,A,KI3,KI3,KI3,,Cc1cc(nc2c1c(c(s2)C(=O)c3ccccc3)N)O,False,,Cc1cc(O)nc2sc(C(=O)c3ccccc3)c(N)c12,False
TYMS,5hs3,KI3,401,32,18,53.719,0.562,0.438,B,KI3,KI3,KI3,,Cc1cc(nc2c1c(c(s2)C(=O)c3ccccc3)N)O,False,,Cc1cc(O)nc2sc(C(=O)c3ccccc3)c(N)c12,False
TYMS,5hs3,KI3,401,32,24,135.594,0.75,0.25,E,KI3,KI3,KI3,,Cc1cc(nc2c1c(c(s2)C(=O)c3ccccc3)N)O,False,,Cc1cc(O)nc2sc(C(=O)c3ccccc3)c(N)c12,False
TYMS,5wrn,DCM,400,20,14,140.023,0.7,0.3,A,DCM,DCM,DCM,,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,False,,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,False
TYMS,5wrn,DCM,400,20,16,175.804,0.8,0.2,B,DCM,DCM,DCM,,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,False,,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,False
