Target,pdb_id,Chain,Warhead,Residue_ID,SMILES,%Exposed,pdb_path,sdf_path,sdf_available
TYMS,3ob7,A,GSH,581,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0.95,/app/jobs/e5bc5765/WAR_PDB/TYMS/3ob7_A_GSH.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/3ob7_A_GSH_581.sdf,True
TYMS,3ob7,D,GSH,314,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0.85,/app/jobs/e5bc5765/WAR_PDB/TYMS/3ob7_D_GSH.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/3ob7_D_GSH_314.sdf,True
TYMS,5x66,A,MTX,402,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.848,/app/jobs/e5bc5765/WAR_PDB/TYMS/5x66_A_MTX.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5x66_A_MTX_402.sdf,True
TYMS,5x66,D,MTX,402,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.818,/app/jobs/e5bc5765/WAR_PDB/TYMS/5x66_D_MTX.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5x66_D_MTX_402.sdf,True
TYMS,5x5q,E,D16,402,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,0.812,/app/jobs/e5bc5765/WAR_PDB/TYMS/5x5q_E_D16.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5x5q_E_D16_402.sdf,True
TYMS,5x5q,F,D16,402,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,0.812,/app/jobs/e5bc5765/WAR_PDB/TYMS/5x5q_F_D16.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5x5q_F_D16_402.sdf,True
TYMS,5wrn,B,DCM,400,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,0.8,/app/jobs/e5bc5765/WAR_PDB/TYMS/5wrn_B_DCM.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5wrn_B_DCM_400.sdf,True
TYMS,5wrn,D,DCM,400,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,0.8,/app/jobs/e5bc5765/WAR_PDB/TYMS/5wrn_D_DCM.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5wrn_D_DCM_400.sdf,True
TYMS,5x67,A,7Z9,402,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,0.8,/app/jobs/e5bc5765/WAR_PDB/TYMS/5x67_A_7Z9.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5x67_A_7Z9_402.sdf,True
TYMS,5x66,C,MTX,402,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.788,/app/jobs/e5bc5765/WAR_PDB/TYMS/5x66_C_MTX.pdb,/app/jobs/e5bc5765/TARGET_RESULTS/MCS_Output/MCS_SDF/5x66_C_MTX_402.sdf,True
