Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
TYMS,GSH,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,TYMS_SCAF_1,,e18f9f7a
TYMS,9MZ,c1ccc(c(c1)/C=N/NC2=NC(=O)[C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O,TYMS_SCAF_2,O=C(C[C@@H]1SC(N/N=C/c2ccccc2)=NC1=O)Nc1ccccc1,001ae5e1
TYMS,0MZ,c1ccc(c(c1)/C=N/N=C\2/N=C([C@@H](S2)CC(=O)Nc3cccc(c3)C(F)(F)F)O)O,TYMS_SCAF_3,O=C(C[C@H]1C=N/C(=N/N=C/c2ccccc2)S1)Nc1ccccc1,9e9caf51
TYMS,TIY,c1c2c(c(c(c1O)O)O)C(=O)C(=CC=C2)O,TYMS_SCAF_4,O=c1ccccc2ccccc12,bace2705
TYMS,DHF,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=NC3=C(NC2)NC(=NC3=O)N,TYMS_SCAF_5,O=c1nc[nH]c2c1N=C(CNc1ccccc1)CN2,7e9b11a2
TYMS,NOH,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)NO)COP(=O)(O)O)O,TYMS_SCAF_6,O=c1ncccn1[C@H]1CCCO1,dd2ba3e3
TYMS,PBX,c1cc(c(c(c1O)O)O)Br,TYMS_SCAF_7,c1ccccc1,84480431
TYMS,KI3,Cc1cc(nc2c1c(c(s2)C(=O)c3ccccc3)N)O,TYMS_SCAF_8,O=C(c1ccccc1)c1cc2cccnc2s1,368a6abd
TYMS,DCM,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,TYMS_SCAF_6,O=c1ncccn1[C@H]1CCCO1,dd2ba3e3
TYMS,D16,CC1=NC(=O)c2cc(ccc2N1)CN(C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,TYMS_SCAF_9,O=c1nc[nH]c2ccc(CNc3cccs3)cc12,c4b7aca3
TYMS,MTX,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,TYMS_SCAF_10,c1ccc(NCc2cnc3ncncc3n2)cc1,7e659486
TYMS,7Z9,Cc1ccc2c(c1Sc3ccncc3)C(=O)NC(=N2)N,TYMS_SCAF_11,O=c1[nH]cnc2cccc(Sc3ccncc3)c12,30ce1a06
TYMS,7ZC,CN(C)Cc1c[nH]c2c1cc(cc2)OC,TYMS_SCAF_12,c1ccc2[nH]ccc2c1,76e053ce
TYMS,TGQ,CN(C[C@H]1CNC2=C(N1)C(=O)N=C(N2)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,TYMS_SCAF_13,O=c1nc[nH]c2c1N[C@@H](CNc1ccccc1)CN2,32f99bd1
TYMS,FGT,c1ccc2c(c1)C(=O)OC2(c3ccc(cc3)O)c4ccc(cc4)O,TYMS_SCAF_14,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,911e08f0
TYMS,D96,c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)N[C@H](CCC(=O)O)C(=O)O,TYMS_SCAF_15,O=c1[nH]cnc2[nH]cc(Cc3ccccc3)c12,759f0913
TYMS,2XB,c1cc(ccc1Cc2c[nH]c3c2c(nc(n3)N)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,TYMS_SCAF_16,c1ccc(Cc2c[nH]c3ncncc23)cc1,86a1882a
TYMS,OE7,c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)Nc4cc(ccc4C(=O)O)Cl,TYMS_SCAF_17,O=C(Nc1ccccc1)c1ccc(Cc2c[nH]c3nc[nH]c(=O)c23)cc1,bc5ef916
TYMS,OEJ,c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)Nc4cc(ccc4C(=O)O)C(=O)O,TYMS_SCAF_17,O=C(Nc1ccccc1)c1ccc(Cc2c[nH]c3nc[nH]c(=O)c23)cc1,bc5ef916
TYMS,FFO,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCC2CNC3=C(N2C=O)C(=O)NC(=N3)N,TYMS_SCAF_18,O=c1[nH]cnc2c1NC(CNc1ccccc1)CN2,a60c2f9e
TYMS,08D,Cc1cc(no1)NS(=O)(=O)c2ccc(cc2)N,TYMS_SCAF_19,O=S(=O)(Nc1ccon1)c1ccccc1,538d8079
