Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
TYMS,TYMS_SCAF_1,,,Unknown,,,,1,1,0.047619047619047616
TYMS,TYMS_SCAF_10,c1ccc(NCc2cnc3ncncc3n2)cc1,c1ccc(NCc2cnc3ncncc3n2)cc1,Polycyclic_Hetero,8.74396340773744e-15,7.932352093183877e-15,-6.423980121796595e-15,1,1,0.047619047619047616
TYMS,TYMS_SCAF_11,O=c1[nH]cnc2cccc(Sc3ccncc3)c12,O=c1[nH]cnc2cccc(Sc3ccncc3)c12,Polycyclic_Hetero,-1.8043180118722913e-14,-9.482127017724485e-15,-0.04483790834367219,1,1,0.047619047619047616
TYMS,TYMS_SCAF_12,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,Bicyclic_Hetero,-4.510281037539698e-16,1.27675647831893e-15,1.8041124150158794e-16,1,1,0.047619047619047616
TYMS,TYMS_SCAF_13,O=c1nc[nH]c2c1N[C@@H](CNc1ccccc1)CN2,O=c1nc[nH]c2c1N[C@@H](CNc1ccccc1)CN2,Polycyclic_Hetero,1.9004405892112975e-14,1.697988155309063e-15,-0.012421341158840115,1,1,0.047619047619047616
TYMS,TYMS_SCAF_14,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,Polycyclic_Hetero,-3.8611089634186e-15,-1.9194522514630484e-14,5.2057124043535114e-15,1,1,0.047619047619047616
TYMS,TYMS_SCAF_15,O=c1[nH]cnc2[nH]cc(Cc3ccccc3)c12,O=c1[nH]cnc2[nH]cc(Cc3ccccc3)c12,Polycyclic_Hetero,-3.251367429259387e-15,3.4575517052612017e-15,0.14205663664457616,1,1,0.047619047619047616
TYMS,TYMS_SCAF_16,c1ccc(Cc2c[nH]c3ncncc23)cc1,c1ccc(Cc2c[nH]c3ncncc23)cc1,Polycyclic_Hetero,-6.97384536949728e-15,2.0066253185817643e-15,-0.04483790834367585,1,1,0.047619047619047616
TYMS,TYMS_SCAF_17,O=C(Nc1ccccc1)c1ccc(Cc2c[nH]c3nc[nH]c(=O)c23)cc1,O=C(Nc1ccccc1)c1ccc(Cc2c[nH]c3nc[nH]c(=O)c23)cc1,Polycyclic_Hetero,1.979897727248196e-14,-0.060697795214516494,6.106226635438361e-15,1,2,0.09523809523809523
TYMS,TYMS_SCAF_18,O=c1[nH]cnc2c1NC(CNc1ccccc1)CN2,O=c1[nH]cnc2c1NC(CNc1ccccc1)CN2,Polycyclic_Hetero,5.289886176155158e-15,-1.730641773680391e-14,-0.012421341158854834,1,1,0.047619047619047616
TYMS,TYMS_SCAF_19,O=S(=O)(Nc1ccon1)c1ccccc1,O=S(=O)(Nc1ccon1)c1ccccc1,Bicyclic_Hetero,3.1424138653520736e-15,-1.5060416681871689e-15,-0.05726419155676737,1,1,0.047619047619047616
TYMS,TYMS_SCAF_2,O=C(C[C@@H]1SC(N/N=C/c2ccccc2)=NC1=O)Nc1ccccc1,O=C(C[C@@H]1SC(N/N=C/c2ccccc2)=NC1=O)Nc1ccccc1,Polycyclic_Hetero,1.9691565451400338e-14,-1.2680913230047825e-14,0.030660133428539633,1,1,0.047619047619047616
TYMS,TYMS_SCAF_3,O=C(C[C@H]1C=N/C(=N/N=C/c2ccccc2)S1)Nc1ccccc1,O=C(C[C@H]1C=N/C(=N/N=C/c2ccccc2)S1)Nc1ccccc1,Polycyclic_Hetero,4.884981308350689e-14,-0.0034943262845768207,-3.228028955248874e-13,1,1,0.047619047619047616
TYMS,TYMS_SCAF_4,O=c1ccccc2ccccc12,O=c1ccccc2ccccc12,Bicyclic_Hetero,-1.0658141036401502e-15,6.1728400169158705e-15,1.5404344466674047e-16,1,1,0.047619047619047616
TYMS,TYMS_SCAF_5,O=c1nc[nH]c2c1N=C(CNc1ccccc1)CN2,O=c1nc[nH]c2c1N=C(CNc1ccccc1)CN2,Polycyclic_Hetero,-1.099120794378905e-14,-2.706168622523819e-15,-0.16047363594800937,1,1,0.047619047619047616
TYMS,TYMS_SCAF_6,O=c1ncccn1[C@H]1CCCO1,O=c1ncccn1[C@H]1CCCO1,Bicyclic_Hetero,1.459438630552706e-14,3.3811337568129766e-15,-0.027459946190263852,1,2,0.09523809523809523
TYMS,TYMS_SCAF_7,c1ccccc1,c1ccccc1,Monocyclic,-8.511709855459534e-16,-4.255854927729767e-15,6.15537713392437e-16,1,1,0.047619047619047616
TYMS,TYMS_SCAF_8,O=C(c1ccccc1)c1cc2cccnc2s1,O=C(c1ccccc1)c1cc2cccnc2s1,Polycyclic_Hetero,-3.2452673027504575e-15,-1.2827346022976808e-14,0.015641578810097735,1,1,0.047619047619047616
TYMS,TYMS_SCAF_9,O=c1nc[nH]c2ccc(CNc3cccs3)cc12,O=c1nc[nH]c2ccc(CNc3cccs3)cc12,Polycyclic_Hetero,1.0834245378238597e-15,9.800589458760002e-16,-0.06005862168138364,1,1,0.047619047619047616
