Rank,Ligand_Resolved,PDB_List,Count
1,44T,['7u9i'],1
2,4IK,['4ikp'],1
3,4R7,['7pu8'],1
4,5N5,['5isi'],1
5,6CX,['5isb'],1
6,6CZ,['5isd'],1
7,6D0,['5isc'],1
8,6D1,['5is8'],1
9,6D2,['5ise'],1
10,6D3,['5is9'],1
11,6D4,['5isf'],1
12,6D5,['5isa'],1
13,6D6,['5isg'],1
14,6L7,['5ntc'],1
15,6RE,['5k8v'],1
16,6YB,['5lkj'],1
17,6ZH,['5k8x'],1
18,765,['5ish'],1
19,78K,['5tbh'],1
20,78V,['5tbi'],1
21,7VM,['5u4x'],1
22,7ZH,['7ppy'],1
23,85U,['7puc'],1
24,867,['7puq'],1
25,8ZB,['5lgq'],1
26,A1B7X,['9o37'],1
27,A1B9W,['9o6h'],1
28,A1I1H,['9i9u'],1
29,A1IZ2,['9i1t'],1
30,A1IZI,['9i0a'],1
31,BW4,['6arj'],1
32,BW7,['6arv'],1
33,DSH,['5is7'],1
34,DXE,"['5ih3', '5is6', '5is9', '5isa', '5isc', '5ise', '5isf', '5isg', '5ish', '5isi', '5k8v', '5k8w', '5k8x', '5lgq', '5lgr', '5lgs', '5lkj', '5lv2', '5ntc', '5tbj']",20
35,FTG,['6d2l'],1
36,GJV,['5k8w'],1
37,GWU,['8sig'],1
38,HDG,['6dvr'],1
39,I0B,['8g2i'],1
40,I1K,['8sih'],1
41,KXW,"['6s77', '6s79']",2
42,KY2,['6s7c'],1
43,KY5,['6s7a'],1
44,KY8,['6s74'],1
45,KYB,['6s70'],1
46,KYE,['6s71'],1
47,KYH,['6s7b'],1
48,LHB,['5lv2'],1
49,LHD,['5tbj'],1
50,LHF,['5lv3'],1
51,LPD,['5lgr'],1
52,LRZ,['7pv6'],1
53,LSK,['7ppq'],1
54,M2M,"['5is9', '5isa', '5isb', '5isc', '5isd', '5isf', '5isg', '5ish', '5k8x', '5lv2', '5ntc', '5tbh']",12
55,P15,['6dvr'],1
56,P33,['5lkj'],1
57,PE8,"['5ih3', '5ise', '5k8x', '5tbi']",4
58,PG6,"['5isg', '5k8v', '5lgq', '5lgr', '5tbj']",5
59,QVR,"['5lgr', '5lgs', '7okp', '7os4', '7qph', '7qrd']",6
60,SAH,"['3b3f', '5ih3', '5is8', '5lv3', '5u4x', '6arj', '6arv', '7qrd']",8
61,SAO,"['5isc', '5isd', '5isf', '5lv2', '5tbh', '5tbi']",6
62,SFG,"['5dwq', '5dx0', '5dx1', '5dx8', '5dxa', '5dxj', '5is6']",7
63,X9L,['8uqh'],1
64,XJ2,['6izq'],1
65,XJ3,['7fai'],1
66,XJ4,['7faj'],1
67,YVU,['8g2h'],1
