Ligand,PDB,Error
4IK,4ikp,Size mismatch: SMILES=28 vs 3D=33
4R7,7pu8,Size mismatch: SMILES=47 vs 3D=82
4R7,7pu8,GRAPH_FULL skipped: size>80
4R7,7pu8,Size mismatch: SMILES=47 vs 3D=82
4R7,7pu8,GRAPH_FULL skipped: size>80
4R7,7pu8,Size mismatch: SMILES=47 vs 3D=82
4R7,7pu8,GRAPH_FULL skipped: size>80
4R7,7pu8,Size mismatch: SMILES=47 vs 3D=82
4R7,7pu8,GRAPH_FULL skipped: size>80
5N5,5isi,Size mismatch: SMILES=19 vs 3D=33
5N5,5isi,Size mismatch: SMILES=19 vs 3D=33
5N5,5isi,Size mismatch: SMILES=19 vs 3D=33
5N5,5isi,Size mismatch: SMILES=19 vs 3D=33
6CX,5isb,Size mismatch: SMILES=32 vs 3D=56
6CX,5isb,Size mismatch: SMILES=32 vs 3D=56
6CX,5isb,Size mismatch: SMILES=32 vs 3D=56
6CX,5isb,Size mismatch: SMILES=32 vs 3D=56
6CZ,5isd,Size mismatch: SMILES=34 vs 3D=60
6D0,5isc,Size mismatch: SMILES=31 vs 3D=54
6D0,5isc,Size mismatch: SMILES=31 vs 3D=54
6D1,5is8,Size mismatch: SMILES=29 vs 3D=52
6D1,5is8,Size mismatch: SMILES=29 vs 3D=52
6D1,5is8,Size mismatch: SMILES=29 vs 3D=52
6D2,5ise,Size mismatch: SMILES=34 vs 3D=61
6D2,5ise,Size mismatch: SMILES=34 vs 3D=61
6D2,5ise,Size mismatch: SMILES=34 vs 3D=61
6D2,5ise,Size mismatch: SMILES=34 vs 3D=61
6D3,5is9,Size mismatch: SMILES=40 vs 3D=71
6D3,5is9,Size mismatch: SMILES=40 vs 3D=71
6D3,5is9,Size mismatch: SMILES=40 vs 3D=71
6D3,5is9,Size mismatch: SMILES=40 vs 3D=71
6D4,5isf,Size mismatch: SMILES=31 vs 3D=55
6D4,5isf,Size mismatch: SMILES=31 vs 3D=55
6D4,5isf,Size mismatch: SMILES=31 vs 3D=55
6D5,5isa,Size mismatch: SMILES=32 vs 3D=57
6D5,5isa,Size mismatch: SMILES=32 vs 3D=57
6D5,5isa,Size mismatch: SMILES=32 vs 3D=57
6D5,5isa,Size mismatch: SMILES=32 vs 3D=57
6D6,5isg,Size mismatch: SMILES=30 vs 3D=57
6D6,5isg,Size mismatch: SMILES=30 vs 3D=57
6D6,5isg,Size mismatch: SMILES=30 vs 3D=57
6D6,5isg,Size mismatch: SMILES=30 vs 3D=57
6L7,5ntc,Size mismatch: SMILES=29 vs 3D=57
6L7,5ntc,Size mismatch: SMILES=29 vs 3D=57
6L7,5ntc,Size mismatch: SMILES=29 vs 3D=57
6L7,5ntc,Size mismatch: SMILES=29 vs 3D=57
6RE,5k8v,Size mismatch: SMILES=23 vs 3D=42
6RE,5k8v,Size mismatch: SMILES=23 vs 3D=42
6RE,5k8v,Size mismatch: SMILES=23 vs 3D=42
6RE,5k8v,Size mismatch: SMILES=23 vs 3D=42
6YB,5lkj,Size mismatch: SMILES=33 vs 3D=59
6YB,5lkj,Size mismatch: SMILES=33 vs 3D=59
6YB,5lkj,Size mismatch: SMILES=33 vs 3D=59
6YB,5lkj,Size mismatch: SMILES=33 vs 3D=59
6ZH,5k8x,Size mismatch: SMILES=24 vs 3D=43
6ZH,5k8x,Size mismatch: SMILES=24 vs 3D=43
6ZH,5k8x,Size mismatch: SMILES=24 vs 3D=43
6ZH,5k8x,Size mismatch: SMILES=24 vs 3D=43
765,5ish,Size mismatch: SMILES=28 vs 3D=51
765,5ish,Size mismatch: SMILES=28 vs 3D=51
765,5ish,Size mismatch: SMILES=28 vs 3D=51
765,5ish,Size mismatch: SMILES=28 vs 3D=51
78K,5tbh,Size mismatch: SMILES=38 vs 3D=68
78K,5tbh,Size mismatch: SMILES=38 vs 3D=68
78V,5tbi,Size mismatch: SMILES=32 vs 3D=57
78V,5tbi,Size mismatch: SMILES=32 vs 3D=57
7ZH,7ppy,Size mismatch: SMILES=46 vs 3D=79
7ZH,7ppy,Size mismatch: SMILES=46 vs 3D=79
7ZH,7ppy,Size mismatch: SMILES=46 vs 3D=79
7ZH,7ppy,Size mismatch: SMILES=46 vs 3D=79
85U,7puc,Size mismatch: SMILES=48 vs 3D=83
85U,7puc,GRAPH_FULL skipped: size>80
85U,7puc,Size mismatch: SMILES=48 vs 3D=83
85U,7puc,GRAPH_FULL skipped: size>80
85U,7puc,Size mismatch: SMILES=48 vs 3D=83
85U,7puc,GRAPH_FULL skipped: size>80
85U,7puc,Size mismatch: SMILES=48 vs 3D=83
