Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
PRMT4,SAH,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,4IK,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)CN)O)O)N,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,SFG,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,DXE,COCCOC,PRMT4_SCAF_2,,baa9c464
PRMT4,PE8,C(COCCOCCOCCOCCOCCOCCOCCO)O,PRMT4_SCAF_3,,e0f7b0cd
PRMT4,DSH,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCCCN)O)O)N,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,6D1,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CC[C@@H](C(=O)O)N)CCCl)O)O)N,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,6D3,c1c(nnn1CCCN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)C[C@@H](C(=O)O)N,PRMT4_SCAF_4,c1cn(CCCNC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)nn1,019e1396
PRMT4,M2M,COCCOCCOC,PRMT4_SCAF_5,,0f38bf04
PRMT4,6D5,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CN(CCCN=[N+]=[N-])CC[C@@H](C(=O)O)N)O)O)N,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
